PAO1_ID,Name,Product.Name,PA14_ID
PA0085,hcp1,Hcp1,PA14_01030
PA0086,tagJ1,TagJ1,PA14_01040
PA0087,tssE1,TssE1,PA14_01060
PA0088,tssF1,TssF1,PA14_01070
PA0089,tssG1,TssG1,PA14_01080
PA0090,clpV1,ClpV1,PA14_01100
PA0091,vgrG1,VgrG1,PA14_01110
PA0092,tsi6,Tsi6,PA14_01120
PA0093,tse6,Tse6,PA14_01140
PA0094,eagT6,EagT6,PA14_01150
PA0095,,conserved hypothetical protein,
PA0096,,hypothetical protein,PA14_01170
PA0097,,hypothetical protein,PA14_01180
PA0098,,hypothetical protein,PA14_01190
PA0099,,hypothetical protein,PA14_01200
PA0100,,hypothetical protein,
PA0101,,hypothetical protein,PA14_01230
PA0102,,probable carbonic anhydrase,PA14_01240
PA0103,,probable sulfate transporter,PA14_01250
PA0104,,hypothetical protein,PA14_01270
PA0105,coxB,"cytochrome c oxidase, subunit II",PA14_01290
PA0106,coxA,"cytochrome c oxidase, subunit I",PA14_01300
PA0107,,conserved hypothetical protein,PA14_01310
PA0108,coIII,"cytochrome c oxidase, subunit III",PA14_01320
PA0109,,hypothetical protein,PA14_01330
PA0110,,hypothetical protein,PA14_01340
PA0111,,hypothetical protein,PA14_01350
PA0112,,hypothetical protein,PA14_01360
PA0113,,probable cytochrome c oxidase assembly factor,PA14_01380
PA0114,senC,SenC,PA14_01390
PA0115,,conserved hypothetical protein,PA14_01400
PA0116,,hypothetical protein,PA14_01410
PA0117,,probable short chain dehydrogenase,PA14_01430
PA0118,,hypothetical protein,PA14_01440
PA0119,,probable dicarboxylate transporter,PA14_01460
PA0120,,probable transcriptional regulator,PA14_01470
PA0121,,hypothetical protein,PA14_01480
PA0122,rahU,rahU,PA14_01490
PA0123,,probable transcriptional regulator,PA14_01500
PA0124,,hypothetical protein,PA14_01510
PA0125,,hypothetical protein,PA14_01520
PA0126,,hypothetical protein,PA14_01540
PA0127,,hypothetical protein,PA14_01550
PA0128,,conserved hypothetical protein,PA14_01560
PA0129,bauD,Amino acid permease,PA14_01580
PA0130,bauC,3-Oxopropanoate dehydrogenase,PA14_01600
PA0131,bauB,BauB,PA14_01610
PA0132,bauA,Beta-alanine:pyruvate transaminase,PA14_01620
PA0133,bauR,BauR,PA14_01640
PA0134,,probable guanine deaminase,PA14_01660
PA0135,,hypothetical protein,
PA0136,,probable ATP-binding component of ABC transporter,PA14_01670
PA0137,,probable permease of ABC transporter,PA14_01680
PA0138,,probable permease of ABC transporter,PA14_01690
PA0139,ahpC,alkyl hydroperoxide reductase subunit C,PA14_01710
PA0140,ahpF,alkyl hydroperoxide reductase subunit F,PA14_01720
PA0141,,conserved hypothetical protein,PA14_01730
PA0142,,hypothetical protein,PA14_01750
PA0143,nuh,purine nucleosidase Nuh,PA14_01760
PA0144,,hypothetical protein,PA14_01780
PA0145,,hypothetical protein,PA14_01790
PA0146,,conserved hypothetical protein,PA14_01800
PA0147,,probable oxidoreductase,PA14_01810
PA0148,,adenine deaminase,PA14_01830
PA0149,,"probable sigma-70 factor, ECF subfamily",PA14_01840
PA0150,,anti-sigma factor,PA14_01860
PA0151,,probable TonB-dependent receptor,PA14_01870
PA0152,pcaQ,transcriptional regulator PcaQ,PA14_01890
PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit",PA14_01900
PA0154,pcaG,"protocatechuate 3,4-dioxygenase, alpha subunit",PA14_01910
PA0155,pcaR,transcriptional regulator PcaR,PA14_01930
PA0156,triA,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA",PA14_01940
PA0157,triB,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB",PA14_01960
PA0158,triC,"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC",PA14_01970
PA0159,,probable transcriptional regulator,PA14_01980
PA0160,,hypothetical protein,PA14_01990
PA0161,,hypothetical protein,PA14_02010
PA0162,opdC,histidine porin OpdC,PA14_02020
PA0163,,probable transcriptional regulator,PA14_02030
PA0164,,probable gamma-glutamyltranspeptidase,PA14_02050
PA0165,,hypothetical protein,PA14_02060
PA0166,,probable transporter,PA14_02070
PA0167,,probable transcriptional regulator,PA14_02090
PA0168,,conserved hypothetical protein,PA14_02100
PA0169,siaD,SiaD,PA14_02110
PA0170,,hypothetical protein,PA14_02130
PA0171,,hypothetical protein,PA14_02140
PA0172,siaA,SiaA,PA14_02150
PA0173,,probable methylesterase,PA14_02180
PA0174,,conserved hypothetical protein,PA14_02190
PA0175,,probable chemotaxis protein methyltransferase,PA14_02200
PA0176,aer2,aerotaxis transducer Aer2,PA14_02220
PA0177,,probable purine-binding chemotaxis protein,PA14_02230
PA0178,,probable two-component sensor,PA14_02250
PA0179,,probable two-component response regulator,PA14_02260
PA0180,cttP,"chemotactic transducer for trichloroethylene [positive chemotaxis], CttP",PA14_02270
PA0181,,probable transcriptional regulator,PA14_02290
PA0182,,probable short-chain dehydrogenase,PA14_02300
PA0183,atsA,arylsulfatase,PA14_02310
PA0184,,probable ATP-binding component of ABC transporter,PA14_02330
PA0185,,probable permease of ABC transporter,PA14_02340
PA0186,,probable binding protein component of ABC transporter,PA14_02360
PA0187,,hypothetical protein,
PA0188,,hypothetical protein,
PA0189,,probable porin,PA14_02370
PA0190,,probable acid phosphatase,PA14_02380
PA0191,,probable transcriptional regulator,PA14_02390
PA0192,,probable TonB-dependent receptor,PA14_02410
PA0193,,hypothetical protein,PA14_02420
PA0194,,hypothetical protein,PA14_02435
PA0195,pntAA,"putative NAD(P) transhydrogenase, subunit alpha part 1",PA14_02450
PA0196,pntB,"pyridine nucleotide transhydrogenase, beta subunit",PA14_02470
PA0197,tonB2,TonB2,PA14_02490
PA0198,exbB1,transport protein ExbB,PA14_02500
PA0199,exbD1,transport protein ExbD,PA14_02510
PA0200,,hypothetical protein,PA14_02520
PA0201,,hypothetical protein,PA14_02530
PA0202,,probable amidase,
PA0203,,probable binding protein component of ABC transporter,
PA0204,,probable permease of ABC transporter,
PA0205,,probable permease of ABC transporter,
PA0206,,probable ATP-binding component of ABC transporter,
PA0207,,probable transcriptional regulator,
PA0208,mdcA,malonate decarboxylase alpha subunit,PA14_02550
PA0209,,conserved hypothetical protein,PA14_02560
PA0210,mdcC,malonate decarboxylase delta subunit,PA14_02570
PA0211,mdcD,malonate decarboxylase beta subunit,PA14_02580
PA0212,mdcE,malonate decarboxylase gamma subunit,PA14_02590
PA0213,,hypothetical protein,PA14_02610
PA0214,,probable acyl transferase,PA14_02620
PA0215,,malonate transporter MadL,PA14_02630
PA0216,,malonate transporter MadM,PA14_02640
PA0217,,probable transcriptional regulator,PA14_02650
PA0218,,probable transcriptional regulator,PA14_02660
PA0219,,probable aldehyde dehydrogenase,PA14_02680
PA0220,,amino acid APC family transporter,PA14_02690
PA0221,,probable aminotransferase,PA14_02700
PA0222,,hypothetical protein,PA14_02720
PA0223,,probable dihydrodipicolinate synthetase,PA14_02730
PA0224,,probable aldolase,PA14_02740
PA0225,,probable transcriptional regulator,PA14_02750
PA0226,,"probable CoA transferase, subunit A",PA14_02760
PA0227,,"probable CoA transferase, subunit B",PA14_02770
PA0228,pcaF,beta-ketoadipyl CoA thiolase PcaF,PA14_02790
PA0229,pcaT,dicarboxylic acid transporter PcaT,PA14_02810
PA0230,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase",PA14_02830
PA0231,pcaD,beta-ketoadipate enol-lactone hydrolase,PA14_02840
PA0232,pcaC,gamma-carboxymuconolactone decarboxylase,PA14_02850
PA0233,,probable transcriptional regulator,PA14_02870
PA0234,,hypothetical protein,PA14_02890
PA0235,pcaK,4-hydroxybenzoate transporter PcaK,PA14_02900
PA0236,,probable transcriptional regulator,PA14_02910
PA0237,,probable oxidoreductase,PA14_02930
PA0238,,hypothetical protein,PA14_02960
PA0239,,hypothetical protein,PA14_02970
PA0240,,probable porin,PA14_02980
PA0241,,probable major facilitator superfamily (MFS) transporter,PA14_02990
PA0242,,hypothetical protein,PA14_03000
PA0243,,probable transcriptional regulator,PA14_03010
PA0244,,hypothetical protein,PA14_03020
PA0245,aroQ2,3-dehydroquinate dehydratase,PA14_03030
PA0246,,probable major facilitator superfamily (MFS) transporter,PA14_03040
PA0247,pobA,p-hydroxybenzoate hydroxylase,PA14_03050
PA0248,,probable transcriptional regulator,PA14_03070
PA0249,,probable acetyltransferase,PA14_03080
PA0250,,conserved hypothetical protein,PA14_03090
PA0251,,hypothetical protein,PA14_03100
PA0252,,hypothetical protein,PA14_03110
PA0253,hudR,HudR,PA14_03120
PA0254,hudA,HudA,PA14_03130
PA0255,,conserved hypothetical protein,PA14_03150
PA0256,,hypothetical protein,PA14_03160
PA0257,,hypothetical protein,
PA0258,,hypothetical protein,
PA0259,tli3,Tli3,PA14_03190
PA0260,tle3,Tle3,PA14_03200
PA0261,,hypothetical protein,PA14_03210
PA0262,vgrG2b,VgrG2b,PA14_03220
PA0263,hcpC,secreted protein Hcp,"PA14_03240, PA14_43070, PA14_44890, PA14_69560"
PA0264,,hypothetical protein,PA14_03420
PA0265,davD,glutaric semialdehyde dehydrogenase,PA14_03430
PA0266,davT,delta-aminovalerate aminotransferase,PA14_03450
PA0267,,hypothetical protein,PA14_03470
PA0268,,probable transcriptional regulator,PA14_03480
PA0269,,conserved hypothetical protein,PA14_03490
PA0270,,hypothetical protein,PA14_03510
PA0271,,hypothetical protein,PA14_03520
PA0272,,probable transcriptional regulator,PA14_03530
PA0273,,probable major facilitator superfamily (MFS) transporter,PA14_03550
PA0274,,hypothetical protein,PA14_03560
PA0275,,probable transcriptional regulator,PA14_03580
PA0276,,hypothetical protein,PA14_03590
PA0277,,conserved hypothetical protein,PA14_03610
PA0278,,hypothetical protein,PA14_03620
PA0279,,probable transcriptional regulator,PA14_03630
PA0280,cysA,sulfate transport protein CysA,PA14_03650
PA0281,cysW,sulfate transport protein CysW,PA14_03670
PA0282,cysT,sulfate transport protein CysT,PA14_03680
PA0283,sbp,sulfate-binding protein precursor,PA14_03700
PA0284,,hypothetical protein,PA14_03710
PA0285,,conserved hypothetical protein,PA14_03720
PA0286,desA,"delta-9 fatty acid desaturase, DesA",PA14_03730
PA0287,gpuP,3-guanidinopropionate transport protein,PA14_03760
PA0288,gpuA,3-guanidinopropionase,PA14_03770
PA0289,gpuR,transcriptional activator GpuR,PA14_03780
PA0290,,hypothetical protein,PA14_03790
PA0291,oprE,Anaerobically-induced outer membrane porin OprE precursor,PA14_03800
PA0292,aguA,agmatine deiminase,PA14_03810
PA0293,aguB,N-carbamoylputrescine amidohydrolase,PA14_03830
PA0294,aguR,transcriptional regulator AguR,PA14_03840
PA0295,,probable periplasmic polyamine binding protein,PA14_03855
PA0296,spuI,Glutamylpolyamine synthetase,PA14_03860
PA0297,spuA,probable glutamine amidotransferase,PA14_03870
PA0298,spuB,Glutamylpolyamine synthetase,PA14_03880
PA0299,spuC,Polyamine:pyruvate transaminase,PA14_03900
PA0300,spuD,polyamine transport protein,PA14_03920
PA0301,spuE,polyamine transport protein,PA14_03930
PA0302,spuF,polyamine transport protein PotG,PA14_03940
PA0303,spuG,polyamine transport protein PotH,PA14_03950
PA0304,spuH,polyamine transport protein PotI,PA14_03960
PA0305,hacB,acylhomoserine lactone acylase B,PA14_03980
PA0306,,probable transcriptional regulator,PA14_04000
PA0307,,hypothetical protein,PA14_04020
PA0308,,hypothetical protein,PA14_04030
PA0309,,hypothetical protein,PA14_04040
PA0310,,hypothetical protein,PA14_04050
PA0311,,hypothetical protein,PA14_04060
PA0312,,conserved hypothetical protein,PA14_04070
PA0313,,L-cysteine transporter of ABC system YecS,PA14_04080
PA0314,,L-cysteine transporter of ABC system FliY,PA14_04090
PA0315,,hypothetical protein,PA14_04100
PA0316,serA,D-3-phosphoglycerate dehydrogenase,PA14_04110
PA0317,,hypothetical protein,PA14_04140
PA0318,,conserved hypothetical protein,PA14_04150
PA0319,,hypothetical protein,PA14_04160
PA0320,carO,calcium-regulated OB-fold protein CarO,PA14_04180
PA0321,,acetylpolyamine amidohydrolase,PA14_04190
PA0322,,probable transporter,PA14_04210
PA0323,,probable binding protein component of ABC transporter,PA14_04220
PA0324,,probable permease of ABC transporter,PA14_04230
PA0325,,probable permease of ABC transporter,PA14_04240
PA0326,,probable ATP-binding component of ABC transporter,PA14_04250
PA0327,carP,calcium-regulated beta-propeller protein CarP,PA14_04270
PA0328,aaaA,"arginine-specific autotransporter of Pseudomonas aeruginosa, AaaA",PA14_04290
PA0329,,conserved hypothetical protein,PA14_04300
PA0330,rpiA,ribose 5-phosphate isomerase,PA14_04310
PA0331,ilvA1,"threonine dehydratase, biosynthetic",PA14_04320
PA0332,,hypothetical protein,PA14_04330
PA0333,,hypothetical protein,PA14_04340
PA0334,,probable major facilitator superfamily (MFS) transporter,PA14_04370
PA0335,,hypothetical protein,PA14_04380
PA0336,ygdP,Nudix hydrolase YgdP,PA14_04390
PA0337,ptsP,phosphoenolpyruvate-protein phosphotransferase PtsP,PA14_04410
PA0338,,hypothetical protein,PA14_04420
PA0339,,hypothetical protein,PA14_04430
PA0340,,conserved hypothetical protein,PA14_04440
PA0341,lgt,prolipoprotein diacylglyceryl transferase,PA14_04460
PA0342,thyA,thymidylate synthase,PA14_04480
PA0343,,hypothetical protein,PA14_04490
PA0344,,hypothetical protein,PA14_04510
PA0345,,hypothetical protein,PA14_04520
PA0346,,hypothetical protein,PA14_04530
PA0347,glpQ,"glycerophosphoryl diester phosphodiesterase, periplasmic",PA14_04550
PA0348,,hypothetical protein,PA14_04560
PA0349,,hypothetical protein,PA14_04570
PA0350,folA,dihydrofolate reductase,PA14_04580
PA0351,,conserved hypothetical protein,PA14_04590
PA0352,,probable transporter,PA14_04610
PA0353,ilvD,dihydroxy-acid dehydratase,PA14_04630
PA0354,,conserved hypothetical protein,PA14_04640
PA0355,pfpI,protease PfpI,PA14_04650
PA0356,,hypothetical protein,PA14_04660
PA0357,mutM,formamidopyrimidine-DNA glycosylase,PA14_04670
PA0358,,hypothetical protein,PA14_04680
PA0359,,hypothetical protein,PA14_04690
PA0360,,hypothetical protein,PA14_04700
PA0361,,probable gamma-glutamyltranspeptidase precursor,PA14_04730
PA0362,fdx1,ferredoxin [4Fe-4S],PA14_04750
PA0363,coaD,phosphopantetheine adenylyltransferase,PA14_04760
PA0364,,probable oxidoreductase,PA14_04780
PA0365,,hypothetical protein,PA14_04790
PA0366,,probable aldehyde dehydrogenase,PA14_04810
PA0367,,probable transcriptional regulator,PA14_04820
PA0368,,conserved hypothetical protein,PA14_04840
PA0369,,Uncharacterized protein,PA14_04850
PA0370,,conserved hypothetical protein,PA14_04860
PA0371,,hypothetical protein,PA14_04870
PA0372,,probable zinc protease,PA14_04890
PA0373,ftsY,signal recognition particle receptor FtsY,PA14_04900
PA0374,ftsE,cell division protein FtsE,PA14_04910
PA0375,ftsX,cell division protein FtsX,PA14_04920
PA0376,rpoH,sigma factor RpoH,PA14_04930
PA0377,,hypothetical protein,PA14_04940
PA0378,,probable transglycosylase,PA14_04950
PA0379,,conserved hypothetical protein,PA14_04960
PA0380,,conserved hypothetical protein,PA14_04970
PA0381,thiG,"thiamine biosynthesis protein, thiazole moiety",PA14_04980
PA0382,micA,DNA mismatch repair protein MicA,PA14_05000
PA0383,,conserved hypothetical protein,PA14_05010
PA0384,,hypothetical protein,PA14_05020
PA0385,,hypothetical protein,PA14_05030
PA0386,,probable oxidase,PA14_05040
PA0387,,conserved hypothetical protein,PA14_05050
PA0388,,hypothetical protein,PA14_05060
PA0389,,hypothetical protein,PA14_05070
PA0390,metX,homoserine O-acetyltransferase,PA14_05080
PA0391,,hypothetical protein,PA14_05110
PA0392,,conserved hypothetical protein,PA14_05130
PA0393,proC,pyrroline-5-carboxylate reductase,PA14_05150
PA0394,,conserved hypothetical protein,PA14_05160
PA0395,pilT,twitching motility protein PilT,PA14_05180
PA0396,pilU,twitching motility protein PilU,PA14_05190
PA0397,,probable cation efflux system protein,PA14_05200
PA0398,,hypothetical protein,PA14_05210
PA0399,,cystathionine beta-synthase,PA14_05220
PA0400,,probable cystathionine gamma-lyase,PA14_05230
PA0401,,noncatalytic dihydroorotase-like protein,PA14_05250
PA0402,pyrB,aspartate carbamoyltransferase,PA14_05260
PA0403,pyrR,transcriptional regulator PyrR,PA14_05270
PA0404,,conserved hypothetical protein,PA14_05280
PA0405,algH,AlgH,PA14_05290
PA0406,tonB3,TonB3,PA14_05300
PA0407,gshB,glutathione synthetase,PA14_05310
PA0408,pilG,twitching motility protein PilG,PA14_05320
PA0409,pilH,twitching motility protein PilH,PA14_05330
PA0410,pilI,twitching motility protein PilI,PA14_05340
PA0411,pilJ,twitching motility protein PilJ,PA14_05360
PA0412,pilK,methyltransferase PilK,PA14_05380
PA0413,chpA,component of chemotactic signal transduction system,PA14_05390
PA0414,chpB,probable methylesterase,PA14_05400
PA0415,chpC,probable chemotaxis protein,PA14_05410
PA0416,chpD,probable transcriptional regulator,PA14_05420
PA0417,chpE,probable chemotaxis protein,PA14_05430
PA0418,,hypothetical protein,PA14_05440
PA0419,,conserved hypothetical protein,PA14_05450
PA0420,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,PA14_05460
PA0421,,hypothetical protein,PA14_05480
PA0422,,conserved hypothetical protein,PA14_05500
PA0423,pasP,PasP,PA14_05510
PA0424,mexR,multidrug resistance operon repressor MexR,PA14_05520
PA0425,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,PA14_05530
PA0426,mexB,Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB,PA14_05540
PA0427,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,PA14_05550
PA0428,,probable ATP-dependent RNA helicase,PA14_05560
PA0429,,hypothetical protein,PA14_05580
PA0430,metF,"5,10-methylenetetrahydrofolate reductase",PA14_05590
PA0431,,hypothetical protein,PA14_05600
PA0432,sahH,S-adenosyl-L-homocysteine hydrolase,PA14_05620
PA0433,,hypothetical protein,PA14_05630
PA0434,,hypothetical protein,PA14_05640
PA0435,,hypothetical protein,PA14_05650
PA0436,,probable transcriptional regulator,PA14_05660
PA0437,codA,cytosine deaminase,PA14_05690
PA0438,codB,cytosine permease,PA14_05700
PA0439,,probable oxidoreductase,PA14_05740
PA0440,,probable oxidoreductase,PA14_05750
PA0441,dht,dihydropyrimidinase,PA14_05770
PA0442,,hypothetical protein,PA14_05775
PA0443,,probable transporter,PA14_05790
PA0444,,N-carbamoyl-beta-alanine amidohydrolase,PA14_05810
PA0445,,probable transposase,
PA0446,,conserved hypothetical protein,PA14_05820
PA0447,gcdH,glutaryl-CoA dehydrogenase,PA14_05840
PA0448,gcdR,"transcriptional regulator, GcdR",PA14_05850
PA0449,,hypothetical protein,PA14_05860
PA0450,,probable phosphate transporter,PA14_05870
PA0451,,conserved hypothetical protein,PA14_05880
PA0452,,probable stomatin-like protein,PA14_05890
PA0453,,hypothetical protein,
PA0454,,conserved hypothetical protein,PA14_05920
PA0455,dbpA,RNA helicase DbpA,PA14_05950
PA0456,,probable cold-shock protein,PA14_05960
PA0457,,hypothetical protein,PA14_05970
PA0458,,probable major facilitator superfamily (MFS) transporter,PA14_05990
PA0459,,probable ClpA/B protease ATP binding subunit,PA14_06000
PA0460,,hypothetical protein,PA14_06010
PA0461,,conserved hypothetical protein,PA14_06030
PA0462,,hypothetical protein,PA14_06040
PA0463,creB,two-component response regulator CreB,PA14_06060
PA0464,creC,two-component sensor CreC,PA14_06070
PA0465,creD,inner membrane protein CreD,PA14_06080
PA0466,,hypothetical protein,PA14_06090
PA0467,,conserved hypothetical protein,PA14_06120
PA0468,,hypothetical protein,PA14_06130
PA0469,,hypothetical protein,PA14_06150
PA0470,fiuA,Ferrichrome receptor FiuA,PA14_06160
PA0471,fiuR,FiuR,PA14_06170
PA0472,fiuI,FiuI,PA14_06180
PA0473,,probable glutathione S-transferase,PA14_06190
PA0474,,hypothetical protein,PA14_06200
PA0475,,probable transcriptional regulator,PA14_06210
PA0476,,probable permease,PA14_06230
PA0477,,probable transcriptional regulator,PA14_06240
PA0478,,probable N-acetyltransferase,PA14_06250
PA0479,,probable transcriptional regulator,PA14_06260
PA0480,,probable hydrolase,PA14_06270
PA0481,,hypothetical protein,PA14_06280
PA0482,glcB,malate synthase G,PA14_06290
PA0483,,probable acetyltransferase,PA14_06300
PA0484,,conserved hypothetical protein,PA14_06310
PA0485,,conserved hypothetical protein,PA14_06320
PA0486,,conserved hypothetical protein,PA14_06330
PA0487,,probable molybdenum transport regulator,PA14_06340
PA0488,,conserved hypothetical protein,PA14_06350
PA0489,,probable phosphoribosyl transferase,PA14_06360
PA0490,,hypothetical protein,PA14_06390
PA0491,,probable transcriptional regulator,PA14_06400
PA0492,,conserved hypothetical protein,PA14_06420
PA0493,,probable biotin-requiring enzyme,PA14_06430
PA0494,,probable acyl-CoA carboxylase subunit,PA14_06450
PA0495,,hypothetical protein,PA14_06460
PA0496,,conserved hypothetical protein,PA14_06480
PA0497,,hypothetical protein,
PA0498,,hypothetical protein,
PA0499,,probable pili assembly chaperone,
PA0500,bioB,biotin synthase,PA14_06500
PA0501,bioF,8-amino-7-oxononanoate synthase,PA14_06510
PA0502,,probable biotin biosynthesis protein bioH,PA14_06530
PA0503,,probable biotin synthesis protein BioC,PA14_06540
PA0504,bioD,dethiobiotin synthase,PA14_06570
PA0505,,hypothetical protein,PA14_06580
PA0506,,probable acyl-CoA dehydrogenase,PA14_06600
PA0507,,probable acyl-CoA dehydrogenase,PA14_06620
PA0508,,probable acyl-CoA dehydrogenase,PA14_06640
PA0509,nirN,NirN,PA14_06650
PA0510,nirE,NirE,PA14_06660
PA0511,nirJ,heme d1 biosynthesis protein NirJ,PA14_06670
PA0512,nirH,NirH,PA14_06680
PA0513,nirG,NirG,PA14_06690
PA0514,nirL,heme d1 biosynthesis protein NirL,PA14_06700
PA0515,,probable transcriptional regulator,PA14_06710
PA0516,nirF,heme d1 biosynthesis protein NirF,PA14_06720
PA0517,nirC,probable c-type cytochrome precursor,PA14_06730
PA0518,nirM,cytochrome c-551 precursor,PA14_06740
PA0519,nirS,nitrite reductase precursor,PA14_06750
PA0520,nirQ,regulatory protein NirQ,PA14_06770
PA0521,,probable cytochrome c oxidase subunit,PA14_06790
PA0522,,hypothetical protein,PA14_06800
PA0523,norC,nitric-oxide reductase subunit C,PA14_06810
PA0524,norB,nitric-oxide reductase subunit B,PA14_06830
PA0525,,probable dinitrification protein NorD,PA14_06840
PA0526,,hypothetical protein,PA14_06860
PA0527,dnr,transcriptional regulator Dnr,PA14_06870
PA0528,,probable transcriptional regulator,PA14_06880
PA0529,,conserved hypothetical protein,PA14_06890
PA0530,,probable class III pyridoxal phosphate-dependent aminotransferase,PA14_06920
PA0531,,probable glutamine amidotransferase,PA14_06930
PA0532,,hypothetical protein,PA14_06940
PA0533,,probable transcriptional regulator,PA14_06950
PA0534,pauB1,FAD-dependent oxidoreductase,PA14_06960
PA0535,,probable transcriptional regulator,PA14_06970
PA0536,,hypothetical protein,PA14_06980
PA0537,,conserved hypothetical protein,PA14_06990
PA0538,dsbB,disulfide bond formation protein,PA14_07000
PA0539,,hypothetical protein,PA14_07010
PA0540,,hypothetical protein,PA14_07020
PA0541,,hypothetical protein,PA14_07030
PA0542,,conserved hypothetical protein,PA14_07040
PA0543,,hypothetical protein,PA14_07050
PA0544,,hypothetical protein,PA14_07060
PA0545,,hypothetical protein,PA14_07070
PA0546,metK,methionine adenosyltransferase,PA14_07090
