	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	enriched KEGG pathway	p-value	num shared genes	size module	size KEGG pathway	corrected p-value	operon_name	Anr_regulon	PhoB_regulon	PvdR_regulon	PchR_regulon	AlgU_regulon	LasR_regulon	RhlR_regulon	PqsR_regulon	QscR_regulon	VreI_regulon	Zur_regulon	Anr_short_list	PhoB_short_list	AlgU_short_list	LasR_short_list	RhlR_short_list	PqsR_short_list
PA1152	2		37.2719906350903	2046.107142857143	2091.0	1.0	4109.0	4108.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2819	5		80.7855751396301	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA5471.1	5		1.12141989199908	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA3362	7		67.7384324905415	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA	amiLEBCRS	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False
PA4549	2	fimT	20.1092935692281	2046.107142857143	2091.0	1.0	4109.0	4108.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2461	2		159.89947429431498	2046.107142857143	2091.0	1.0	4109.0	4108.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA5264	7		256.796335011538	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0188	7		21.0005741159322	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA	PA0187-PA0188	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2119	7		433.083221129833	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2192	7		12.3903150572572	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False
PA0457.1	7		44.65149046687471	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA4028	5		5.30432457276121	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA3066	7		72.21619840141851	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA	PA3067-PA3066-PA3065	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA1560	5		114.766013536538	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA	PA1559-PA1560	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False
PA1471	7		70.9630953382773	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False
PA0689	5	lapB	148.88733966042201	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0135	5		4.20011482318643	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA1150	2	pys2	876.580809170089	2046.107142857143	2091.0	1.0	4109.0	4108.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA1472	7		44.6787746316415	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA4555	2	pilY2	157.89287030173202	2046.107142857143	2091.0	1.0	4109.0	4108.0	NA	NA	NA	NA	NA	NA	fimU-pilV-pilW-pilX-pilY1-pilY2-pilE	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA3067	7		39.3503285665204	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA	PA3067-PA3066-PA3065	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA3974	5	ladS	425.07331754721395	2021.7644444444443	1889.0	54.0	5336.1	5282.1	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA3841	7	exoS	273.878750630372	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0258	7		52.717757960632	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA	PA0258-PA0257	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2771	7		155.168036922967	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA4802	7		23.499165421607	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA3065	7		31.015156065097603	2006.8005263157893	1861.5	1.0	5165.0	5164.0	NA	NA	NA	NA	NA	NA	PA3067-PA3066-PA3065	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
