PAO1_ID,Name,Product.Name,GeneID.(PAO1),PA14_ID
PA0102,,probable carbonic anhydrase,880767,PA14_01240
PA0103,,probable sulfate transporter,880802,PA14_01250
PA0104,,hypothetical protein,,PA14_01270
PA0105,coxB,"cytochrome c oxidase, subunit II",881940,PA14_01290
PA0106,coxA,"cytochrome c oxidase, subunit I",881877,PA14_01300
PA0107,,conserved hypothetical protein,882009,PA14_01310
PA0108,coIII,"cytochrome c oxidase, subunit III",882001,PA14_01320
PA0109,,hypothetical protein,882044,PA14_01330
PA0110,,hypothetical protein,879416,PA14_01340
PA0111,,hypothetical protein,879275,PA14_01350
PA0112,,hypothetical protein,879408,PA14_01360
PA0113,,probable cytochrome c oxidase assembly factor,879395,PA14_01380
PA0114,senC,SenC,879388,PA14_01390
PA0115,,conserved hypothetical protein,880693,PA14_01400
PA0116,,hypothetical protein,877577,PA14_01410
PA0117,,probable short chain dehydrogenase,878370,PA14_01430
PA0118,,hypothetical protein,877585,PA14_01440
PA0119,,probable dicarboxylate transporter,877578,PA14_01460
PA0120,,probable transcriptional regulator,878231,PA14_01470
PA0121,,hypothetical protein,878358,PA14_01480
PA0122,rahU,rahU,880611,PA14_01490
PA0123,,probable transcriptional regulator,877571,PA14_01500
PA0124,,hypothetical protein,879205,PA14_01510
PA0125,,hypothetical protein,880838,PA14_01520
PA0126,,hypothetical protein,880627,PA14_01540
PA0127,,hypothetical protein,880815,PA14_01550
PA0128,,conserved hypothetical protein,880831,PA14_01560
PA0129,bauD,Amino acid permease,880844,PA14_01580
PA0130,bauC,3-Oxopropanoate dehydrogenase,880875,PA14_01600
PA0131,bauB,BauB,878383,PA14_01610
PA0132,bauA,Beta-alanine:pyruvate transaminase,879350,PA14_01620
PA0133,bauR,BauR,879432,PA14_01640
PA0134,,probable guanine deaminase,879331,PA14_01660
PA0135,,hypothetical protein,879398,
PA0136,,probable ATP-binding component of ABC transporter,879471,PA14_01670
PA0137,,probable permease of ABC transporter,879286,PA14_01680
PA0138,,probable permease of ABC transporter,879399,PA14_01690
PA0139,ahpC,alkyl hydroperoxide reductase subunit C,879431,PA14_01710
PA0140,ahpF,alkyl hydroperoxide reductase subunit F,879326,PA14_01720
PA0141,,conserved hypothetical protein,879494,PA14_01730
PA0142,,hypothetical protein,879447,PA14_01750
PA0143,nuh,purine nucleosidase Nuh,879451,PA14_01760
PA0144,,hypothetical protein,879242,PA14_01780
PA0145,,hypothetical protein,879449,PA14_01790
PA0146,,conserved hypothetical protein,879465,PA14_01800
PA0147,,probable oxidoreductase,879502,PA14_01810
PA0148,,adenine deaminase,879249,PA14_01830
PA0149,,"probable sigma-70 factor, ECF subfamily",879673,PA14_01840
PA0150,,anti-sigma factor,878563,PA14_01860
PA0151,,probable TonB-dependent receptor,877893,PA14_01870
PA0152,pcaQ,transcriptional regulator PcaQ,878518,PA14_01890
PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit",878130,PA14_01900
PA0154,pcaG,"protocatechuate 3,4-dioxygenase, alpha subunit",882145,PA14_01910
PA0155,pcaR,transcriptional regulator PcaR,882136,PA14_01930
PA0156,triA,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA",882149,PA14_01940
PA0157,triB,"Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB",882134,PA14_01960
PA0158,triC,"Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC",882140,PA14_01970
PA0159,,probable transcriptional regulator,882081,PA14_01980
PA0160,,hypothetical protein,882103,PA14_01990
PA0161,,hypothetical protein,,PA14_02010
PA0162,opdC,histidine porin OpdC,879518,PA14_02020
PA0163,,probable transcriptional regulator,882025,PA14_02030
PA0164,,probable gamma-glutamyltranspeptidase,879444,PA14_02050
PA0165,,hypothetical protein,879418,PA14_02060
PA0166,,probable transporter,879314,PA14_02070
PA0167,,probable transcriptional regulator,879316,PA14_02090
PA0168,,conserved hypothetical protein,879343,PA14_02100
PA0169,siaD,SiaD,879346,PA14_02110
PA0170,,hypothetical protein,878493,PA14_02130
PA0171,,hypothetical protein,882156,PA14_02140
PA0172,siaA,SiaA,879545,PA14_02150
PA0173,,probable methylesterase,882256,PA14_02180
PA0174,,conserved hypothetical protein,877836,PA14_02190
PA0175,,probable chemotaxis protein methyltransferase,882282,PA14_02200
PA0176,aer2,aerotaxis transducer Aer2,882219,PA14_02220
PA0177,,probable purine-binding chemotaxis protein,879338,PA14_02230
PA0178,,probable two-component sensor,878420,PA14_02250
PA0179,,probable two-component response regulator,879259,PA14_02260
PA0180,cttP,"chemotactic transducer for trichloroethylene [positive chemotaxis], CttP",879336,PA14_02270
PA0181,,probable transcriptional regulator,879304,PA14_02290
PA0182,,probable short-chain dehydrogenase,878164,PA14_02300
PA0183,atsA,arylsulfatase,879288,PA14_02310
PA0184,,probable ATP-binding component of ABC transporter,882170,PA14_02330
PA0185,,probable permease of ABC transporter,879256,PA14_02340
PA0186,,probable binding protein component of ABC transporter,879411,PA14_02360
PA0187,,hypothetical protein,882255,
PA0188,,hypothetical protein,879289,
PA0189,,probable porin,883120,PA14_02370
PA0190,,probable acid phosphatase,883097,PA14_02380
PA0191,,probable transcriptional regulator,883101,PA14_02390
PA0192,,probable TonB-dependent receptor,882990,PA14_02410
PA0193,,hypothetical protein,883039,PA14_02420
PA0194,,hypothetical protein,879577,PA14_02435
PA0195,pntAA,"putative NAD(P) transhydrogenase, subunit alpha part 1",878345,PA14_02450
PA0195.1,pntAB,"putative NAD(P) transhydrogenase, subunit alpha part 2",878346,PA14_02460
PA0196,pntB,"pyridine nucleotide transhydrogenase, beta subunit",878146,PA14_02470
PA0197,tonB2,TonB2,879472,PA14_02490
PA0198,exbB1,transport protein ExbB,883080,PA14_02500
PA0199,exbD1,transport protein ExbD,879490,PA14_02510
PA0200,,hypothetical protein,879623,PA14_02520
PA0201,,hypothetical protein,879531,PA14_02530
PA0202,,probable amidase,879445,
PA0203,,probable binding protein component of ABC transporter,883108,
PA0204,,probable permease of ABC transporter,878513,
PA0205,,probable permease of ABC transporter,879480,
PA0206,,probable ATP-binding component of ABC transporter,879760,
PA0207,,probable transcriptional regulator,879460,
PA0208,mdcA,malonate decarboxylase alpha subunit,879322,PA14_02550
PA0209,,conserved hypothetical protein,879248,PA14_02560
PA0210,mdcC,malonate decarboxylase delta subunit,883035,PA14_02570
PA0211,mdcD,malonate decarboxylase beta subunit,879489,PA14_02580
PA0212,mdcE,malonate decarboxylase gamma subunit,879507,PA14_02590
PA0213,,hypothetical protein,879254,PA14_02610
PA0214,,probable acyl transferase,879334,PA14_02620
PA0215,,malonate transporter MadL,883110,PA14_02630
PA0216,,malonate transporter MadM,879529,PA14_02640
PA0217,,probable transcriptional regulator,883005,PA14_02650
PA0218,,probable transcriptional regulator,877906,PA14_02660
PA0219,,probable aldehyde dehydrogenase,879237,PA14_02680
PA0220,,amino acid APC family transporter,879442,PA14_02690
PA0221,,probable aminotransferase,879365,PA14_02700
PA0222,,hypothetical protein,877806,PA14_02720
PA0223,,probable dihydrodipicolinate synthetase,878110,PA14_02730
PA0224,,probable aldolase,878177,PA14_02740
PA0225,,probable transcriptional regulator,880191,PA14_02750
PA0226,,"probable CoA transferase, subunit A",878086,PA14_02760
PA0227,,"probable CoA transferase, subunit B",877818,PA14_02770
PA0228,pcaF,beta-ketoadipyl CoA thiolase PcaF,877715,PA14_02790
PA0229,pcaT,dicarboxylic acid transporter PcaT,878155,PA14_02810
PA0230,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase",881957,PA14_02830
PA0231,pcaD,beta-ketoadipate enol-lactone hydrolase,882150,PA14_02840
PA0232,pcaC,gamma-carboxymuconolactone decarboxylase,882116,PA14_02850
PA0233,,probable transcriptional regulator,877707,PA14_02870
PA0234,,hypothetical protein,881909,PA14_02890
PA0235,pcaK,4-hydroxybenzoate transporter PcaK,881907,PA14_02900
PA0236,,probable transcriptional regulator,881730,PA14_02910
PA0237,,probable oxidoreductase,881928,PA14_02930
PA0238,,hypothetical protein,882048,PA14_02960
PA0239,,hypothetical protein,882051,PA14_02970
PA0240,,probable porin,881911,PA14_02980
PA0241,,probable major facilitator superfamily (MFS) transporter,881918,PA14_02990
PA0242,,hypothetical protein,880907,PA14_03000
PA0243,,probable transcriptional regulator,881956,PA14_03010
PA0244,,hypothetical protein,879716,PA14_03020
PA0245,aroQ2,3-dehydroquinate dehydratase,882159,PA14_03030
PA0246,,probable major facilitator superfamily (MFS) transporter,881952,PA14_03040
PA0247,pobA,p-hydroxybenzoate hydroxylase,882128,PA14_03050
PA0248,,probable transcriptional regulator,881969,PA14_03070
PA0249,,probable acetyltransferase,880888,PA14_03080
PA0250,,conserved hypothetical protein,879262,PA14_03090
PA0251,,hypothetical protein,881983,PA14_03100
PA0252,,hypothetical protein,879677,PA14_03110
PA0253,hudR,HudR,881936,PA14_03120
PA0254,hudA,HudA,881878,PA14_03130
PA0255,,conserved hypothetical protein,879587,PA14_03150
PA0256,,hypothetical protein,881894,PA14_03160
PA0257,,hypothetical protein,880116,
PA0258,,hypothetical protein,880870,
PA0259,tli3,Tli3,881892,PA14_03190
PA0260,tle3,Tle3,879499,PA14_03200
PA0261,,hypothetical protein,881884,PA14_03210
PA0262,vgrG2b,VgrG2b,881981,PA14_03220
PA0263,hcpC,secreted protein Hcp,880866,"PA14_03240, PA14_43070, PA14_44890, PA14_69560"
PA0263.1,,tRNA-Arg,3240233,
PA0264,,hypothetical protein,,PA14_03420
PA0265,davD,glutaric semialdehyde dehydrogenase,881913,PA14_03430
PA0266,davT,delta-aminovalerate aminotransferase,880917,PA14_03450
PA0267,,hypothetical protein,880697,PA14_03470
PA0268,,probable transcriptional regulator,880732,PA14_03480
PA0269,,conserved hypothetical protein,883021,PA14_03490
PA0270,,hypothetical protein,880648,PA14_03510
PA0271,,hypothetical protein,880607,PA14_03520
PA0272,,probable transcriptional regulator,877827,PA14_03530
PA0273,,probable major facilitator superfamily (MFS) transporter,883091,PA14_03550
PA0274,,hypothetical protein,880785,PA14_03560
PA0275,,probable transcriptional regulator,880776,PA14_03580
PA0276,,hypothetical protein,880723,PA14_03590
PA0277,,conserved hypothetical protein,883050,PA14_03610
PA0278,,hypothetical protein,880729,PA14_03620
PA0279,,probable transcriptional regulator,883024,PA14_03630
PA0280,cysA,sulfate transport protein CysA,877644,PA14_03650
PA0281,cysW,sulfate transport protein CysW,880705,PA14_03670
PA0282,cysT,sulfate transport protein CysT,880883,PA14_03680
PA0283,sbp,sulfate-binding protein precursor,881922,PA14_03700
PA0284,,hypothetical protein,879699,PA14_03710
PA0285,,conserved hypothetical protein,879674,PA14_03720
PA0286,desA,"delta-9 fatty acid desaturase, DesA",879596,PA14_03730
PA0287,gpuP,3-guanidinopropionate transport protein,879633,PA14_03760
PA0288,gpuA,3-guanidinopropionase,880781,PA14_03770
PA0289,gpuR,transcriptional activator GpuR,879727,PA14_03780
PA0290,,hypothetical protein,880764,PA14_03790
PA0291,oprE,Anaerobically-induced outer membrane porin OprE precursor,879473,PA14_03800
PA0292,aguA,agmatine deiminase,879730,PA14_03810
PA0293,aguB,N-carbamoylputrescine amidohydrolase,880699,PA14_03830
PA0294,aguR,transcriptional regulator AguR,880857,PA14_03840
PA0295,,probable periplasmic polyamine binding protein,880681,PA14_03855
PA0296,spuI,Glutamylpolyamine synthetase,880840,PA14_03860
PA0296.1,P1,P1,,
PA0297,spuA,probable glutamine amidotransferase,880604,PA14_03870
PA0298,spuB,Glutamylpolyamine synthetase,880835,PA14_03880
PA0299,spuC,Polyamine:pyruvate transaminase,878357,PA14_03900
PA0300,spuD,polyamine transport protein,880655,PA14_03920
PA0301,spuE,polyamine transport protein,877626,PA14_03930
PA0302,spuF,polyamine transport protein PotG,877636,PA14_03940
PA0303,spuG,polyamine transport protein PotH,880687,PA14_03950
PA0304,spuH,polyamine transport protein PotI,878265,PA14_03960
PA0305,hacB,acylhomoserine lactone acylase B,877593,PA14_03980
PA0306,,probable transcriptional regulator,877655,PA14_04000
PA0306.1,,Uncharacterized protein,,
PA0307,,hypothetical protein,877629,PA14_04020
PA0308,,hypothetical protein,877780,PA14_04030
PA0309,,hypothetical protein,878386,PA14_04040
PA0310,,hypothetical protein,880668,PA14_04050
PA0311,,hypothetical protein,878303,PA14_04060
PA0312,,conserved hypothetical protein,878375,PA14_04070
PA0313,,L-cysteine transporter of ABC system YecS,878278,PA14_04080
PA0314,,L-cysteine transporter of ABC system FliY,878270,PA14_04090
PA0315,,hypothetical protein,878297,PA14_04100
PA0316,serA,D-3-phosphoglycerate dehydrogenase,878305,PA14_04110
PA0317,,hypothetical protein,878323,PA14_04140
PA0318,,conserved hypothetical protein,878356,PA14_04150
PA0319,,hypothetical protein,878399,PA14_04160
PA0320,carO,calcium-regulated OB-fold protein CarO,878326,PA14_04180
PA0321,,acetylpolyamine amidohydrolase,878360,PA14_04190
PA0322,,probable transporter,878353,PA14_04210
PA0323,,probable binding protein component of ABC transporter,878380,PA14_04220
PA0324,,probable permease of ABC transporter,879407,PA14_04230
PA0325,,probable permease of ABC transporter,879238,PA14_04240
PA0326,,probable ATP-binding component of ABC transporter,880297,PA14_04250
PA0327,carP,calcium-regulated beta-propeller protein CarP,879241,PA14_04270
PA0328,aaaA,"arginine-specific autotransporter of Pseudomonas aeruginosa, AaaA",882183,PA14_04290
PA0329,,conserved hypothetical protein,882179,PA14_04300
PA0330,rpiA,ribose 5-phosphate isomerase,882171,PA14_04310
PA0331,ilvA1,"threonine dehydratase, biosynthetic",879435,PA14_04320
PA0332,,hypothetical protein,879348,PA14_04330
PA0333,,hypothetical protein,882211,PA14_04340
PA0334,,probable major facilitator superfamily (MFS) transporter,882199,PA14_04370
PA0335,,hypothetical protein,882191,PA14_04380
PA0336,ygdP,Nudix hydrolase YgdP,882290,PA14_04390
PA0337,ptsP,phosphoenolpyruvate-protein phosphotransferase PtsP,882232,PA14_04410
PA0338,,hypothetical protein,882246,PA14_04420
PA0339,,hypothetical protein,882266,PA14_04430
PA0340,,conserved hypothetical protein,883093,PA14_04440
PA0341,lgt,prolipoprotein diacylglyceryl transferase,882221,PA14_04460
PA0342,thyA,thymidylate synthase,879417,PA14_04480
PA0343,,hypothetical protein,880294,PA14_04490
PA0344,,hypothetical protein,879284,PA14_04510
PA0345,,hypothetical protein,879415,PA14_04520
PA0346,,hypothetical protein,879318,PA14_04530
PA0347,glpQ,"glycerophosphoryl diester phosphodiesterase, periplasmic",879329,PA14_04550
PA0348,,hypothetical protein,879397,PA14_04560
PA0349,,hypothetical protein,879281,PA14_04570
PA0350,folA,dihydrofolate reductase,879233,PA14_04580
PA0351,,conserved hypothetical protein,879375,PA14_04590
PA0352,,probable transporter,879278,PA14_04610
PA0353,ilvD,dihydroxy-acid dehydratase,879274,PA14_04630
PA0354,,conserved hypothetical protein,879450,PA14_04640
PA0355,pfpI,protease PfpI,879351,PA14_04650
PA0356,,hypothetical protein,879235,PA14_04660
PA0357,mutM,formamidopyrimidine-DNA glycosylase,879307,PA14_04670
PA0358,,hypothetical protein,879453,PA14_04680
PA0359,,hypothetical protein,879498,PA14_04690
PA0360,,hypothetical protein,879422,PA14_04700
PA0361,,probable gamma-glutamyltranspeptidase precursor,879505,PA14_04730
PA0362,fdx1,ferredoxin [4Fe-4S],879523,PA14_04750
PA0363,coaD,phosphopantetheine adenylyltransferase,879847,PA14_04760
PA0364,,probable oxidoreductase,879858,PA14_04780
PA0365,,hypothetical protein,879873,PA14_04790
PA0366,,probable aldehyde dehydrogenase,880299,PA14_04810
PA0367,,probable transcriptional regulator,880928,PA14_04820
PA0368,,conserved hypothetical protein,881245,PA14_04840
PA0369,,Uncharacterized protein,882043,PA14_04850
PA0370,,conserved hypothetical protein,882281,PA14_04860
PA0371,,hypothetical protein,882994,PA14_04870
PA0372,,probable zinc protease,883000,PA14_04890
PA0373,ftsY,signal recognition particle receptor FtsY,883018,PA14_04900
PA0374,ftsE,cell division protein FtsE,883078,PA14_04910
PA0375,ftsX,cell division protein FtsX,883092,PA14_04920
PA0376,rpoH,sigma factor RpoH,883126,PA14_04930
PA0377,,hypothetical protein,883137,PA14_04940
PA0378,,probable transglycosylase,879835,PA14_04950
PA0379,,conserved hypothetical protein,879822,PA14_04960
PA0380,,conserved hypothetical protein,879813,PA14_04970
PA0381,thiG,"thiamine biosynthesis protein, thiazole moiety",879802,PA14_04980
PA0382,micA,DNA mismatch repair protein MicA,879787,PA14_05000
PA0383,,conserved hypothetical protein,879731,PA14_05010
PA0384,,hypothetical protein,879608,PA14_05020
PA0385,,hypothetical protein,879510,PA14_05030
PA0386,,probable oxidase,878688,PA14_05040
PA0387,,conserved hypothetical protein,878675,PA14_05050
PA0388,,hypothetical protein,878619,PA14_05060
PA0389,,hypothetical protein,878577,PA14_05070
PA0390,metX,homoserine O-acetyltransferase,878549,PA14_05080
PA0391,,hypothetical protein,878546,PA14_05110
PA0392,,conserved hypothetical protein,878514,PA14_05130
PA0393,proC,pyrroline-5-carboxylate reductase,878413,PA14_05150
PA0394,,conserved hypothetical protein,878395,PA14_05160
PA0395,pilT,twitching motility protein PilT,878389,PA14_05180
PA0396,pilU,twitching motility protein PilU,878362,PA14_05190
PA0397,,probable cation efflux system protein,878314,PA14_05200
PA0398,,hypothetical protein,878302,PA14_05210
PA0399,,cystathionine beta-synthase,878291,PA14_05220
PA0400,,probable cystathionine gamma-lyase,878286,PA14_05230
PA0401,,noncatalytic dihydroorotase-like protein,878275,PA14_05250
PA0402,pyrB,aspartate carbamoyltransferase,878267,PA14_05260
PA0403,pyrR,transcriptional regulator PyrR,878259,PA14_05270
PA0404,,conserved hypothetical protein,878247,PA14_05280
PA0405,algH,AlgH,878243,PA14_05290
PA0406,tonB3,TonB3,878224,PA14_05300
PA0407,gshB,glutathione synthetase,878223,PA14_05310
PA0408,pilG,twitching motility protein PilG,878203,PA14_05320
PA0409,pilH,twitching motility protein PilH,878198,PA14_05330
PA0410,pilI,twitching motility protein PilI,878186,PA14_05340
PA0411,pilJ,twitching motility protein PilJ,878180,PA14_05360
PA0412,pilK,methyltransferase PilK,878179,PA14_05380
PA0413,chpA,component of chemotactic signal transduction system,878176,PA14_05390
PA0414,chpB,probable methylesterase,878169,PA14_05400
PA0415,chpC,probable chemotaxis protein,878148,PA14_05410
PA0416,chpD,probable transcriptional regulator,878123,PA14_05420
PA0417,chpE,probable chemotaxis protein,878115,PA14_05430
PA0418,,hypothetical protein,878071,PA14_05440
PA0419,,conserved hypothetical protein,878032,PA14_05450
PA0420,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,878017,PA14_05460
PA0421,,hypothetical protein,877975,PA14_05480
PA0422,,conserved hypothetical protein,877961,PA14_05500
PA0423,pasP,PasP,877902,PA14_05510
PA0424,mexR,multidrug resistance operon repressor MexR,877857,PA14_05520
PA0425,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,877855,PA14_05530
PA0426,mexB,Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB,877852,PA14_05540
PA0427,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,877851,PA14_05550
PA0428,,probable ATP-dependent RNA helicase,877822,PA14_05560
PA0429,,hypothetical protein,877779,PA14_05580
PA0430,metF,"5,10-methylenetetrahydrofolate reductase",877765,PA14_05590
PA0431,,hypothetical protein,877761,PA14_05600
PA0432,sahH,S-adenosyl-L-homocysteine hydrolase,877746,PA14_05620
PA0433,,hypothetical protein,877638,PA14_05630
PA0434,,hypothetical protein,877602,PA14_05640
PA0435,,hypothetical protein,877601,PA14_05650
PA0436,,probable transcriptional regulator,877591,PA14_05660
PA0437,codA,cytosine deaminase,877586,PA14_05690
PA0438,codB,cytosine permease,877581,PA14_05700
PA0439,,probable oxidoreductase,877580,PA14_05740
PA0440,,probable oxidoreductase,877574,PA14_05750
PA0441,dht,dihydropyrimidinase,882285,PA14_05770
PA0442,,hypothetical protein,879371,PA14_05775
PA0443,,probable transporter,880435,PA14_05790
PA0444,,N-carbamoyl-beta-alanine amidohydrolase,880960,PA14_05810
PA0445,,probable transposase,879390,
PA0446,,conserved hypothetical protein,880393,PA14_05820
PA0447,gcdH,glutaryl-CoA dehydrogenase,880534,PA14_05840
PA0448,gcdR,"transcriptional regulator, GcdR",881014,PA14_05850
PA0449,,hypothetical protein,881113,PA14_05860
PA0450,,probable phosphate transporter,881068,PA14_05870
PA0451,,conserved hypothetical protein,881211,PA14_05880
PA0452,,probable stomatin-like protein,881157,PA14_05890
PA0453,,hypothetical protein,,
PA0454,,conserved hypothetical protein,881270,PA14_05920
PA0455,dbpA,RNA helicase DbpA,881459,PA14_05950
PA0456,,probable cold-shock protein,881394,PA14_05960
PA0457,,hypothetical protein,881578,PA14_05970
PA0457.1,,hypothetical membrane protein,6965626,
PA0458,,probable major facilitator superfamily (MFS) transporter,881500,PA14_05990
PA0459,,probable ClpA/B protease ATP binding subunit,881659,PA14_06000
PA0460,,hypothetical protein,881603,PA14_06010
PA0461,,conserved hypothetical protein,881755,PA14_06030
PA0462,,hypothetical protein,881706,PA14_06040
PA0463,creB,two-component response regulator CreB,881852,PA14_06060
PA0464,creC,two-component sensor CreC,881807,PA14_06070
PA0465,creD,inner membrane protein CreD,881586,PA14_06080
PA0466,,hypothetical protein,881868,PA14_06090
PA0467,,conserved hypothetical protein,880576,PA14_06120
PA0468,,hypothetical protein,881592,PA14_06130
PA0469,,hypothetical protein,878616,PA14_06150
PA0470,fiuA,Ferrichrome receptor FiuA,880545,PA14_06160
PA0471,fiuR,FiuR,879576,PA14_06170
PA0472,fiuI,FiuI,880895,PA14_06180
PA0473,,probable glutathione S-transferase,878426,PA14_06190
PA0474,,hypothetical protein,877866,PA14_06200
PA0475,,probable transcriptional regulator,879516,PA14_06210
PA0476,,probable permease,877689,PA14_06230
PA0477,,probable transcriptional regulator,878447,PA14_06240
PA0478,,probable N-acetyltransferase,878613,PA14_06250
PA0479,,probable transcriptional regulator,878427,PA14_06260
PA0480,,probable hydrolase,879639,PA14_06270
PA0481,,hypothetical protein,879761,PA14_06280
PA0482,glcB,malate synthase G,879477,PA14_06290
PA0483,,probable acetyltransferase,879556,PA14_06300
