PA14_ID,Name,Product.Name,GeneID.(PAO1),PAO1_ID
PA14_00560,exoT,exoenzyme T,878350,PA0044
PA14_00570,,lipoprotein,878300,PA0045
PA14_00580,,lipoprotein,878290,PA0046
PA14_00590,,lipoprotein,877928,PA0047
PA14_00600,,transcriptional regulator,877666,PA0048
PA14_00620,,hypothetical protein,877595,PA0049
PA14_00630,,hypothetical protein,878575,PA0050
PA14_00640,phzH,potential phenazine-modifying enzyme,878637,PA0051
PA14_00650,,hypothetical protein,877739,PA0052
PA14_00660,,RNA 2'-phosphotransferase-like protein,878088,PA0054
PA14_00670,,hypothetical protein,877862,PA0055
PA14_00680,,LysR family transcriptional regulator,877984,PA0056
PA14_00690,,hypothetical protein,878150,PA0057
PA14_00700,,hypothetical protein,880931,PA0058
PA14_00710,osmC,osmotically inducible protein OsmC,878070,PA0059
PA14_00720,,hypothetical protein,880900,PA0060
PA14_00730,,hypothetical protein,877992,PA0061
PA14_00740,,lipoprotein,878228,PA0062
PA14_00750,,hypothetical protein,877630,PA0063
PA14_00760,,hypothetical protein,878385,PA0064
PA14_00770,,hypothetical protein,878495,PA0065
PA14_00780,,hypothetical protein,879179,PA0066
PA14_00790,prlC,oligopeptidase A,878482,PA0067
PA14_00800,,hypothetical protein,878318,PA0068
PA14_00810,,DNA repair photolyase,878366,PA0069
PA14_00820,,hypothetical protein,879190,PA0070
PA14_00830,,hypothetical protein,879195,PA0071
PA14_00850,,hypothetical protein,879189,PA0072
PA14_00860,,ABC transporter ATP-binding protein,878396,PA0073
PA14_00875,ppkA,serine/threonine protein kinase PpkA,879361,PA0074
PA14_00890,,phosphoprotein phosphatase,879341,PA0075
PA14_00900,,hypothetical protein,879335,PA0076
PA14_00910,,hypothetical protein,879396,PA0077
PA14_00925,,hypothetical protein,879392,PA0078
PA14_00940,,hypothetical protein,879382,PA0079
PA14_00960,,lipoprotein,879436,PA0080
PA14_00970,,hypothetical protein,,
PA14_00980,,hypothetical protein,879413,PA0081
PA14_00990,,hypothetical protein,879402,PA0082
PA14_01010,,hypothetical protein,879476,PA0083
PA14_01020,,hypothetical protein,879464,PA0084
PA14_01030,,hypothetical protein,879446,PA0085
PA14_01040,,secretion protein,879504,PA0086
PA14_01060,,hypothetical protein,879495,PA0087
PA14_01070,,hypothetical protein,879483,PA0088
PA14_01080,,hypothetical protein,879573,PA0089
PA14_01100,,ClpA/B-type chaperone,879553,PA0090
PA14_01110,,hypothetical protein,879511,PA0091
PA14_01120,,hypothetical protein,880664,PA0092
PA14_01130,,hypothetical protein,,
PA14_01140,,hypothetical protein,880654,PA0093
PA14_01150,,hypothetical protein,879595,PA0094
PA14_01160,,hypothetical protein,,
PA14_01170,,hypothetical protein,880714,PA0096
PA14_01180,,hypothetical protein,880677,PA0097
PA14_01190,,3-oxoacyl-ACP synthase,880743,PA0098
PA14_01200,,hypothetical protein,880737,PA0099
PA14_01220,,hypothetical protein,,
PA14_01230,,hypothetical protein,880786,PA0101
PA14_01240,,carbonic anhydrase,880767,PA0102
PA14_01250,,sulfate transporter,880802,PA0103
PA14_01270,,hypothetical protein,,PA0104
PA14_01290,coxB,cytochrome c oxidase subunit II,881940,PA0105
PA14_01300,coxA,cytochrome c oxidase subunit I,881877,PA0106
PA14_01310,,cytochrome C oxidase assembly protein,882009,PA0107
PA14_01320,coIII,cytochrome c oxidase subunit III,882001,PA0108
PA14_01330,,hypothetical protein,882044,PA0109
PA14_01340,,hypothetical protein,879416,PA0110
PA14_01350,,hypothetical protein,879275,PA0111
PA14_01360,,hypothetical protein,879408,PA0112
PA14_01380,,protoheme IX farnesyltransferase,879395,PA0113
PA14_01390,,hypothetical protein,879388,PA0114
PA14_01400,,hypothetical protein,880693,PA0115
PA14_01410,,hypothetical protein,877577,PA0116
PA14_01430,,short chain dehydrogenase,878370,PA0117
PA14_01440,,hypothetical protein,877585,PA0118
PA14_01460,,C4-dicarboxylate transporter DctA,877578,PA0119
PA14_01470,,transcriptional regulator,878231,PA0120
PA14_01480,,hypothetical protein,878358,PA0121
PA14_01490,,hemolysin,880611,PA0122
PA14_01500,,transcriptional regulator,877571,PA0123
PA14_01510,,hypothetical protein,879205,PA0124
PA14_01520,,hypothetical protein,880838,PA0125
PA14_01540,,hypothetical protein,880627,PA0126
PA14_01550,,lipoprotein,880815,PA0127
PA14_01560,,hypothetical protein,880831,PA0128
PA14_01580,gabP,gamma-aminobutyrate permease,880844,PA0129
PA14_01600,,aldehyde dehydrogenase,880875,PA0130
PA14_01610,,hypothetical protein,878383,PA0131
PA14_01620,aptA,beta alanine--pyruvate transaminase,879350,PA0132
PA14_01640,,LysR family transcriptional regulator,879432,PA0133
PA14_01660,,guanine deaminase,879331,PA0134
PA14_01670,,ABC transporter ATP-binding protein,879471,PA0136
PA14_01680,,ABC transporter permease,879286,PA0137
PA14_01690,,ABC transporter permease,879399,PA0138
PA14_01710,ahpC,alkyl hydroperoxide reductase,879431,PA0139
PA14_01720,ahpF,alkyl hydroperoxide reductase,879326,PA0140
PA14_01730,,hypothetical protein,879494,PA0141
PA14_01750,,hydroxydechloroatrazine ethylaminohydrolase,879447,PA0142
PA14_01760,nuh,nonspecific ribonucleoside hydrolase,879451,PA0143
PA14_01770,,nucleoside-binding outer membrane protein,,
PA14_01780,,nucleoside 2-deoxyribosyltransferase,879242,PA0144
PA14_01790,,nucleoside 2-deoxyribosyltransferase,879449,PA0145
PA14_01800,,hypothetical protein,879465,PA0146
PA14_01810,,oxidoreductase,879502,PA0147
PA14_01830,,adenosine deaminase,879249,PA0148
PA14_01840,,RNA polymerase ECF-subfamily sigma-70 factor,879673,PA0149
PA14_01860,,transmembrane sensor,878563,PA0150
PA14_01870,,TonB-dependent receptor,877893,PA0151
PA14_01890,pcaQ,transcriptional regulator PcaQ,878518,PA0152
PA14_01900,pcaH,"protocatechuate 3,4-dioxygenase subunit beta",878130,PA0153
PA14_01910,pcaG,"protocatechuate 3,4-dioxygenase subunit alpha",882145,PA0154
PA14_01930,pcaR,transcriptional regulator PcaR,882136,PA0155
PA14_01940,,RND efflux membrane fusion protein,882149,PA0156
PA14_01960,,RND efflux membrane fusion protein,882134,PA0157
PA14_01970,,RND efflux transporter,882140,PA0158
PA14_01980,,LysR family transcriptional regulator,882081,PA0159
PA14_01990,,hypothetical protein,882103,PA0160
PA14_02010,,hypothetical protein,,PA0161
PA14_02020,,outer membrane porin,879518,PA0162
PA14_02030,,AraC family transcriptional regulator,882025,PA0163
PA14_02050,,gamma-glutamyltranspeptidase,879444,PA0164
PA14_02060,,hypothetical protein,879418,PA0165
PA14_02070,,transporter,879314,PA0166
PA14_02090,,TetR family transcriptional regulator,879316,PA0167
PA14_02100,,hypothetical protein,879343,PA0168
PA14_02110,,diguanylate cyclase,879346,PA0169
PA14_02130,,hypothetical protein,878493,PA0170
PA14_02140,,hypothetical protein,882156,PA0171
PA14_02150,,hypothetical protein,879545,PA0172
PA14_02180,cheB,chemotaxis-specific methylesterase,882256,PA0173
PA14_02190,,hypothetical protein,877836,PA0174
PA14_02200,,chemotaxis protein methyltransferase,882282,PA0175
PA14_02220,,chemotaxis transducer,882219,PA0176
PA14_02230,cheW,purine-binding chemotaxis protein,879338,PA0177
PA14_02250,cheA,two-component sensor,878420,PA0178
PA14_02260,,two-component response regulator,879259,PA0179
PA14_02270,,chemotaxis transducer,879336,PA0180
PA14_02290,,LysR family transcriptional regulator,879304,PA0181
PA14_02300,fabG,3-ketoacyl-ACP reductase,878164,PA0182
PA14_02310,atsA,arylsulfatase,879288,PA0183
PA14_02330,,ABC transporter ATP-binding protein,882170,PA0184
PA14_02340,,ABC transporter permease,879256,PA0185
PA14_02360,,ABC transporter substrate-binding protein,879411,PA0186
PA14_02370,,porin,883120,PA0189
PA14_02380,,acid phosphatase,883097,PA0190
PA14_02390,,transcriptional regulator,883101,PA0191
PA14_02410,,TonB-dependent receptor,882990,PA0192
PA14_02420,,hypothetical protein,883039,PA0193
PA14_02435,,hypothetical protein,879577,PA0194
PA14_02450,,NAD(P) transhydrogenase subunit alpha part 1,878345,PA0195
PA14_02460,,NAD(P) transhydrogenase subunit alpha part 2,878346,PA0195.1
PA14_02470,pntB,pyridine nucleotide transhydrogenase subunit beta,878146,PA0196
PA14_02490,tonB2,hypothetical protein,879472,PA0197
PA14_02500,exbB1,transport protein ExbB,883080,PA0198
PA14_02510,exbD1,transport protein ExbD,879490,PA0199
PA14_02520,,hypothetical protein,879623,PA0200
PA14_02530,,hypothetical protein,879531,PA0201
PA14_02550,mdcA,malonate decarboxylase subunit alpha,879322,PA0208
PA14_02560,,triphosphoribosyl-dephospho-CoA synthase,879248,PA0209
PA14_02570,mdcC,malonate decarboxylase subunit delta,883035,PA0210
PA14_02580,mdcD,malonate decarboxylase subunit beta,879489,PA0211
PA14_02590,mdcE,malonate decarboxylase subunit gamma,879507,PA0212
PA14_02610,,phosphoribosyl-dephospho-CoA transferase,879254,PA0213
PA14_02620,,epsilon subunit of malonate decarboxylase,879334,PA0214
PA14_02630,,malonate carrier protein,883110,PA0215
PA14_02640,,malonate transporter subunit MadM,879529,PA0216
PA14_02650,,malonate utilization transcriptional regulator,883005,PA0217
PA14_02660,,LysR family transcriptional regulator,877906,PA0218
PA14_02680,,aldehyde dehydrogenase,879237,PA0219
PA14_02690,,amino acid permease,879442,PA0220
PA14_02700,,aminotransferase,879365,PA0221
PA14_02720,,hypothetical protein,877806,PA0222
PA14_02730,,dihydrodipicolinate synthetase,878110,PA0223
PA14_02740,,class II aldolase/adducin domain-containing protein,878177,PA0224
PA14_02750,,transcriptional regulator,880191,PA0225
PA14_02760,,"CoA transferase, subunit A",878086,PA0226
PA14_02770,,CoA transferase subunit B,877818,PA0227
PA14_02790,pcaF,beta-ketoadipyl CoA thiolase,877715,PA0228
PA14_02810,pcaT,dicarboxylic acid transporter PcaT,878155,PA0229
PA14_02830,pcaB,"3-carboxy-cis,cis-muconate cycloisomerase",881957,PA0230
PA14_02840,pcaD,beta-ketoadipate enol-lactone hydrolase,882150,PA0231
PA14_02850,pcaC,gamma-carboxymuconolactone decarboxylase,882116,PA0232
PA14_02870,,transcriptional regulator,877707,PA0233
PA14_02890,,hypothetical protein,881909,PA0234
PA14_02900,pcaK,4-hydroxybenzoate transporter PcaK,881907,PA0235
PA14_02910,,IclR family transcriptional regulator,881730,PA0236
PA14_02930,,oxidoreductase,881928,PA0237
PA14_02960,,hypothetical protein,882048,PA0238
PA14_02970,,hypothetical protein,882051,PA0239
PA14_02980,,porin,881911,PA0240
PA14_02990,,MFS transporter,881918,PA0241
PA14_03000,,hypothetical protein,880907,PA0242
PA14_03010,,TetR family transcriptional regulator,881956,PA0243
PA14_03020,,shikimate 5-dehydrogenase,879716,PA0244
PA14_03030,aroQ2,3-dehydroquinate dehydratase,882159,PA0245
PA14_03040,,MFS transporter,881952,PA0246
PA14_03050,pobA,4-hydroxybenzoate 3-monooxygenase,882128,PA0247
PA14_03070,,transcriptional regulator,881969,PA0248
PA14_03080,,acetyltransferase,880888,PA0249
PA14_03090,,hypothetical protein,879262,PA0250
PA14_03100,,hypothetical protein,881983,PA0251
PA14_03110,,hypothetical protein,879677,PA0252
PA14_03120,,transcriptional regulator,881936,PA0253
PA14_03130,,hypothetical protein,881878,PA0254
PA14_03150,,hypothetical protein,879587,PA0255
PA14_03160,,hypothetical protein,881894,PA0256
PA14_03163,,hypothetical protein,,
PA14_03166,,hypothetical protein,,
PA14_03170,,hypothetical protein,878336,PA0987
PA14_03180,,hypothetical protein,878309,PA0986
PA14_03190,,hypothetical protein,881892,PA0259
PA14_03200,,hypothetical protein,879499,PA0260
PA14_03210,,hypothetical protein,881884,PA0261
PA14_03220,,hypothetical protein,881981,PA0262
PA14_03240,hcpC,secreted protein Hcp,,"PA0263, PA1512, PA5267"
PA14_03250,,hypothetical protein,,
PA14_03265,,hypothetical protein,,
PA14_03270,,hypothetical protein,,
PA14_03285,,hypothetical protein,,
PA14_03290,,hypothetical protein,,
PA14_03300,,hypothetical protein,,
PA14_03310,,hypothetical protein,,
PA14_03320,,hypothetical protein,,
PA14_03330,,hypothetical protein,,
PA14_03340,,hypothetical protein,,
PA14_03350,,hypothetical protein,,
PA14_03360,,hypothetical protein,,
PA14_03370,,hypothetical protein,,
PA14_03380,,hypothetical protein,,
PA14_03390,,hypothetical protein,,
PA14_03400,,hypothetical protein,,
PA14_03410,,tRNA-Arg,,
PA14_03420,,hypothetical protein,,PA0264
PA14_03430,gabD,succinate-semialdehyde dehydrogenase I,881913,PA0265
PA14_03450,gabT,4-aminobutyrate aminotransferase,880917,PA0266
PA14_03470,,hypothetical protein,880697,PA0267
PA14_03480,,GntR family transcriptional regulator,880732,PA0268
PA14_03490,,hypothetical protein,883021,PA0269
PA14_03510,,hypothetical protein,880648,PA0270
PA14_03520,,hypothetical protein,880607,PA0271
PA14_03530,,transcriptional regulator,877827,PA0272
PA14_03550,,MFS transporter,883091,PA0273
PA14_03560,,hypothetical protein,880785,PA0274
PA14_03580,,transcriptional regulator,880776,PA0275
PA14_03590,,hypothetical protein,880723,PA0276
PA14_03610,,Zn-dependent protease with chaperone function,883050,PA0277
PA14_03620,,hypothetical protein,880729,PA0278
PA14_03630,,ArsR family transcriptional regulator,883024,PA0279
PA14_03650,cysA,sulfate transport protein CysA,877644,PA0280
PA14_03670,cysW,sulfate transport protein CysW,880705,PA0281
PA14_03680,cysT,sulfate transport protein CysT,880883,PA0282
PA14_03700,sbp,sulfate-binding protein,881922,PA0283
PA14_03710,,hypothetical protein,879699,PA0284
PA14_03720,,sensory box GGDEF domain-containing protein,879674,PA0285
PA14_03730,,fatty acid desaturase,879596,PA0286
PA14_03760,,sodium:solute symporter,879633,PA0287
PA14_03770,speB1,agmatinase,880781,PA0288
PA14_03780,,transcriptional regulator,879727,PA0289
PA14_03790,,sensory box GGDEF domain-containing protein,880764,PA0290
PA14_03800,oprE,anaerobically-induced outer membrane porin OprE precursor,879473,PA0291
PA14_03810,aguA,agmatine deiminase,879730,PA0292
PA14_03830,aguB,N-carbamoylputrescine amidohydrolase,880699,PA0293
PA14_03840,aguR,transcriptional regulator AguR,880857,PA0294
PA14_03855,,periplasmic polyamine binding protein,880681,PA0295
PA14_03860,,glutamine synthetase,880840,PA0296
PA14_03870,spuA,glutamine amidotransferase,880604,PA0297
PA14_03880,spuB,glutamine synthetase,880835,PA0298
PA14_03900,spuC,aminotransferase,878357,PA0299
PA14_03920,spuD,polyamine transport protein,880655,PA0300
PA14_03930,spuE,polyamine transport protein,877626,PA0301
PA14_03940,spuF,polyamine transport protein PotG,877636,PA0302
PA14_03950,spuG,polyamine transport protein PotH,880687,PA0303
PA14_03960,spuH,polyamine transport protein PotI,878265,PA0304
PA14_03980,,hypothetical protein,877593,PA0305
PA14_04000,,transcriptional regulator,877655,PA0306
PA14_04010,,hypothetical protein,,
PA14_04020,,hypothetical protein,877629,PA0307
PA14_04030,,hypothetical protein,877780,PA0308
PA14_04040,,hypothetical protein,878386,PA0309
PA14_04050,,proline hydroxylase,880668,PA0310
PA14_04060,,hypothetical protein,878303,PA0311
PA14_04070,,hypothetical protein,878375,PA0312
PA14_04080,,ABC transporter permease,878278,PA0313
PA14_04090,,ABC transporter substrate-binding protein,878270,PA0314
PA14_04100,,hypothetical protein,878297,PA0315
PA14_04110,serA,D-3-phosphoglycerate dehydrogenase,878305,PA0316
PA14_04140,,hypothetical protein,878323,PA0317
PA14_04150,,hypothetical protein,878356,PA0318
PA14_04160,,transcriptional regulator,878399,PA0319
PA14_04180,,hypothetical protein,878326,PA0320
PA14_04190,,acetylpolyamine aminohydrolase,878360,PA0321
PA14_04210,,transporter,878353,PA0322
PA14_04220,,ABC transporter substrate-binding protein,878380,PA0323
PA14_04230,,ABC transporter permease,879407,PA0324
PA14_04240,,ABC transporter permease,879238,PA0325
PA14_04250,,ABC transporter ATP-binding protein,880297,PA0326
PA14_04270,,transcriptional regulator,879241,PA0327
PA14_04290,,hypothetical protein,882183,PA0328
PA14_04300,,hypothetical protein,882179,PA0329
PA14_04310,rpiA,ribose-5-phosphate isomerase A,882171,PA0330
PA14_04320,ilvA1,threonine dehydratase,879435,PA0331
PA14_04330,,hypothetical protein,879348,PA0332
PA14_04340,,hypothetical protein,882211,PA0333
PA14_04350,,integral membrane protein,,
PA14_04370,,MFS transporter,882199,PA0334
PA14_04380,,hypothetical protein,882191,PA0335
PA14_04390,ygdP,dinucleoside polyphosphate hydrolase,882290,PA0336
PA14_04410,ptsP,phosphoenolpyruvate-protein phosphotransferase PtsP,882232,PA0337
PA14_04420,,hypothetical protein,882246,PA0338
PA14_04430,,hypothetical protein,882266,PA0339
PA14_04440,,permease,883093,PA0340
PA14_04460,lgt,prolipoprotein diacylglyceryl transferase,882221,PA0341
PA14_04480,thyA,thymidylate synthase,879417,PA0342
PA14_04490,,hypothetical protein,880294,PA0343
PA14_04510,,hypothetical protein,879284,PA0344
PA14_04520,,hypothetical protein,879415,PA0345
PA14_04530,,hypothetical protein,879318,PA0346
PA14_04550,glpQ,"glycerophosphoryl diester phosphodiesterase, periplasmic",879329,PA0347
PA14_04560,,hypothetical protein,879397,PA0348
PA14_04570,,hypothetical protein,879281,PA0349
PA14_04580,folA,dihydrofolate reductase,879233,PA0350
PA14_04590,,hypothetical protein,879375,PA0351
PA14_04610,,transporter,879278,PA0352
PA14_04630,ilvD,dihydroxy-acid dehydratase,879274,PA0353
PA14_04640,,hypothetical protein,879450,PA0354
PA14_04650,pfpI,protease PfpI,879351,PA0355
PA14_04660,,hypothetical protein,879235,PA0356
PA14_04670,mutM,formamidopyrimidine-DNA glycosylase,879307,PA0357
PA14_04680,,hypothetical protein,879453,PA0358
PA14_04690,,hypothetical protein,879498,PA0359
PA14_04700,,hypothetical protein,879422,PA0360
PA14_04710,,hypothetical protein,,
PA14_04730,,gamma-glutamyltranspeptidase,879505,PA0361
PA14_04750,fdx1,ferredoxin (4Fe-4S),879523,PA0362
PA14_04760,coaD,phosphopantetheine adenylyltransferase,879847,PA0363
PA14_04780,,oxidoreductase,879858,PA0364
PA14_04790,,hypothetical protein,879873,PA0365
PA14_04810,,aldehyde dehydrogenase,880299,PA0366
PA14_04820,,TetR family transcriptional regulator,880928,PA0367
PA14_04830,,acetyltransferase,,
PA14_04840,,hypothetical protein,881245,PA0368
PA14_04850,,hypothetical protein,882043,PA0369
PA14_04860,,methyltransferase,882281,PA0370
PA14_04870,,hypothetical protein,882994,PA0371
PA14_04890,,zinc protease,883000,PA0372
PA14_04900,ftsY,signal recognition particle receptor FtsY,883018,PA0373
PA14_04910,ftsE,cell division ATP-binding protein FtsE,883078,PA0374
PA14_04920,ftsX,cell division protein FtsX,883092,PA0375
PA14_04930,rpoH,RNA polymerase factor sigma-32,883126,PA0376
PA14_04940,,hypothetical protein,883137,PA0377
PA14_04950,mtgA,monofunctional biosynthetic peptidoglycan transglycosylase,879835,PA0378
PA14_04960,,hypothetical protein,879822,PA0379
PA14_04970,,sulfur carrier protein ThiS,879813,PA0380
PA14_04980,thiG,thiazole synthase,879802,PA0381
PA14_05000,trmB,tRNA (guanine-N(7)-)-methyltransferase,879787,PA0382
PA14_05010,,hypothetical protein,879731,PA0383
PA14_05020,,hypothetical protein,879608,PA0384
PA14_05030,,hypothetical protein,879510,PA0385
PA14_05040,,coproporphyrinogen III oxidase,878688,PA0386
PA14_05050,,deoxyribonucleotide triphosphate pyrophosphatase,878675,PA0387
PA14_05060,,hypothetical protein,878619,PA0388
PA14_05070,,methionine biosynthesis protein,878577,PA0389
PA14_05080,metX,homoserine O-acetyltransferase,878549,PA0390
PA14_05110,,hypothetical protein,878546,PA0391
PA14_05120,,hypothetical protein,,
PA14_05130,,hypothetical protein,878514,PA0392
PA14_05150,proC,pyrroline-5-carboxylate reductase,878413,PA0393
PA14_05160,,hypothetical protein,878395,PA0394
PA14_05180,pilT,twitching motility protein PilT,878389,PA0395
PA14_05190,pilU,twitching motility protein PilU,878362,PA0396
PA14_05200,,cation efflux system protein,878314,PA0397
PA14_05210,,hypothetical protein,878302,PA0398
PA14_05220,,cystathionine beta-synthase,878291,PA0399
PA14_05230,,cystathionine gamma-lyase,878286,PA0400
PA14_05250,pyrC,dihydroorotase,878275,PA0401
PA14_05260,pyrB,aspartate carbamoyltransferase,878267,PA0402
PA14_05270,pyrR,bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase,878259,PA0403
PA14_05280,yqgF,Holliday junction resolvase-like protein,878247,PA0404
PA14_05290,,hypothetical protein,878243,PA0405
PA14_05300,,TonB domain-containing protein,878224,PA0406
PA14_05310,gshB,glutathione synthetase,878223,PA0407
PA14_05320,pilG,twitching motility protein PilG,878203,PA0408
PA14_05330,pilH,twitching motility protein PilH,878198,PA0409
PA14_05340,pilI,twitching motility protein PilI,878186,PA0410
PA14_05360,pilJ,twitching motility protein PilJ,878180,PA0411
PA14_05380,pilK,methyltransferase PilK,878179,PA0412
PA14_05390,chpA,ChpA,878176,PA0413
PA14_05400,,methylesterase,878169,PA0414
PA14_05410,,chemotaxis protein,878148,PA0415
PA14_05420,,transcriptional regulator,878123,PA0416
PA14_05430,,chemotaxis protein,878115,PA0417
PA14_05440,,hypothetical protein,878071,PA0418
PA14_05450,,16S ribosomal RNA methyltransferase RsmE,878032,PA0419
PA14_05460,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,878017,PA0420
PA14_05480,,hypothetical protein,877975,PA0421
PA14_05500,,hypothetical protein,877961,PA0422
PA14_05510,,hypothetical protein,877902,PA0423
PA14_05520,mexR,multidrug resistance operon repressor MexR,877857,PA0424
PA14_05530,mexA,RND multidrug efflux membrane fusion protein MexA,877855,PA0425
PA14_05540,mexB,RND multidrug efflux transporter MexB,877852,PA0426
PA14_05550,oprM,major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,877851,PA0427
PA14_05560,,ATP-dependent RNA helicase,877822,PA0428
PA14_05580,,hypothetical protein,877779,PA0429
PA14_05590,metF,"5,10-methylenetetrahydrofolate reductase",877765,PA0430
PA14_05600,,hypothetical protein,877761,PA0431
PA14_05620,sahH,S-adenosyl-L-homocysteine hydrolase,877746,PA0432
PA14_05630,,hypothetical protein,877638,PA0433
PA14_05640,,hypothetical protein,877602,PA0434
PA14_05650,,hypothetical protein,877601,PA0435
PA14_05660,,transcriptional regulator,877591,PA0436
PA14_05690,codA,cytosine deaminase,877586,PA0437
PA14_05700,codB,cytosine permease,877581,PA0438
PA14_05740,,dihydropyrimidine dehydrogenase,877580,PA0439
PA14_05750,,oxidoreductase,877574,PA0440
PA14_05770,dhT,phenylhydantoinase,882285,PA0441
PA14_05775,,hypothetical protein,879371,PA0442
PA14_05790,,transporter,880435,PA0443
PA14_05810,amaB,allantoate amidohydrolase,880960,PA0444
PA14_05820,,hypothetical protein,880393,PA0446
PA14_05840,gcdH,glutaryl-CoA dehydrogenase,880534,PA0447
PA14_05850,,LysR family transcriptional regulator,881014,PA0448
PA14_05860,,hypothetical protein,881113,PA0449
PA14_05870,,phosphate transporter,881068,PA0450
PA14_05880,,membrane-bound protease,881211,PA0451
PA14_05890,,stomatin-like protein,881157,PA0452
PA14_05910,,periplasmic transport system,,
PA14_05920,,hypothetical protein,881270,PA0454
PA14_05950,dbpA,ATP-dependent RNA helicase DbpA,881459,PA0455
PA14_05960,,cold-shock protein,881394,PA0456
PA14_05970,,hypothetical protein,881578,PA0457
PA14_05990,,EmrB/QacA family drug resistance transporter,881500,PA0458
PA14_06000,,ClpA/B protease ATP binding subunit,881659,PA0459
PA14_06010,,hypothetical protein,881603,PA0460
PA14_06030,,acyltransferase,881755,PA0461
PA14_06040,,hypothetical protein,881706,PA0462
PA14_06060,creB,DNA-binding response regulator CreB,881852,PA0463
PA14_06070,creC,sensory histidine kinase CreC,881807,PA0464
PA14_06080,creD,hypothetical protein,881586,PA0465
PA14_06090,,hypothetical protein,881868,PA0466
PA14_06120,,hypothetical protein,880576,PA0467
PA14_06130,,hypothetical protein,881592,PA0468
PA14_06150,,hypothetical protein,878616,PA0469
PA14_06160,,hydroxamate-type ferrisiderophore receptor,880545,PA0470
PA14_06170,,transmembrane sensor,879576,PA0471
PA14_06180,,RNA polymerase sigma factor,880895,PA0472
PA14_06190,,glutathione S-transferase,878426,PA0473
PA14_06200,,hypothetical protein,877866,PA0474
PA14_06210,,transcriptional regulator,879516,PA0475
PA14_06230,,permease,877689,PA0476
PA14_06240,,LysR family transcriptional regulator,878447,PA0477
PA14_06250,,GNAT family acetyltransferase,878613,PA0478
PA14_06260,,LysR family transcriptional regulator,878427,PA0479
PA14_06270,,hydrolase,879639,PA0480
PA14_06280,,hypothetical protein,879761,PA0481
PA14_06290,glcB,malate synthase G,879477,PA0482
PA14_06300,,GNAT family acetyltransferase,879556,PA0483
PA14_06310,,ACT domain-containing protein,877920,PA0484
PA14_06320,,hypothetical protein,878192,PA0485
PA14_06330,,serine/threonine protein kinase,881857,PA0486
PA14_06340,,molybdenum transport regulator,878638,PA0487
PA14_06350,,hypothetical protein,880360,PA0488
