	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	enriched KEGG pathway	p-value	num shared genes	size module	size KEGG pathway	corrected p-value	operon_name	Anr_regulon	PhoB_regulon	PvdR_regulon	PchR_regulon	AlgU_regulon	LasR_regulon	RhlR_regulon	PqsR_regulon	QscR_regulon	VreI_regulon	Zur_regulon	Anr_short_list	PhoB_short_list	AlgU_short_list	LasR_short_list	RhlR_short_list	PqsR_short_list
PA1381	16		13.7629073359657	4.666666666666667	4.0	1.0	12.0	11.0							PA1381-PA1382	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA4105	14		10.5970655467063	2.6666666666666665	2.0	1.0	6.0	5.0							PA4107-PA4106-PA4105	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0203	15		19.943976017126	748.3809523809523	3.0	1.0	2616.0	2615.0	"2642    KEGG-Module-M00299: Spermidine/putrescine tran...
Name: enriched KEGG pathway, dtype: object"	5.198149755723911e-07	4.0	7.0	12.0	0.0016691258865628562	PA0206-PA0205-PA0204-PA0203	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0643	18		250.199557065238	872.8571428571429	1292.5	1.0	2011.0	2010.0							PA0643-PA0644-PA0645	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2228	17		81.4612581144145	368.61111111111114	232.0	1.0	1477.0	1476.0							PA2228-vqsM-PA2226	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA1392	16		98.3477270352737	4.666666666666667	4.0	1.0	12.0	11.0								False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA1391	16		60.0821247005024	4.666666666666667	4.0	1.0	12.0	11.0							PA1390-PA1391	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA2459	17		78.0055367465237	368.61111111111114	232.0	1.0	1477.0	1476.0								False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0187	7		25.053272359691	2006.8005263157893	1861.5	1.0	5165.0	5164.0							PA0187-PA0188	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA5060	1	phaF	3347.89917805559	1934.6227920227923	1708.0	1.0	5475.0	5474.0							PA5061-phaF	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
PA0716	0		521.897041853942	920.1060606060606	728.5	1.0	2020.0	2019.0								False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False
PA0644	18		103.36319008416001	872.8571428571429	1292.5	1.0	2011.0	2010.0							PA0643-PA0644-PA0645	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
