"operon-id","operon_name","locus_tag","start","end","strand","gene_name","source_database","pmid"
"operon-8977","PA14_01040-PA14_01060-PA14_01070-PA14_01080-PA14_01100-PA14_01110","PA14_01060",102506,103015,1,"tssE1","DOOR",18988623
"operon-8977","PA14_01040-PA14_01060-PA14_01070-PA14_01080-PA14_01100-PA14_01110","PA14_01070",103012,104871,1,"tssF1","DOOR",18988623
"operon-8977","PA14_01040-PA14_01060-PA14_01070-PA14_01080-PA14_01100-PA14_01110","PA14_01080",104835,105881,1,"tssG1","DOOR",18988623
"operon-8977","PA14_01040-PA14_01060-PA14_01070-PA14_01080-PA14_01100-PA14_01110","PA14_01100",105874,108582,1,"clpV1","DOOR",18988623
"operon-8977","PA14_01040-PA14_01060-PA14_01070-PA14_01080-PA14_01100-PA14_01110","PA14_01110",108629,110560,1,"vgrG1a","DOOR",18988623
"operon-8978","PA14_01140-PA14_01130-PA14_01120","PA14_01120",110675,110959,-1,"tsi6","DOOR",18988623
"operon-8978","PA14_01140-PA14_01130-PA14_01120","PA14_01130",110972,111205,-1,"","DOOR",18988623
"operon-8978","PA14_01140-PA14_01130-PA14_01120","PA14_01140",111195,112514,-1,"tse6","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01160",113281,115506,1,"","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01170",115534,115983,1,"","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01180",115913,117112,1,"","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01190",117109,118146,1,"","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01200",118146,119237,1,"","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01220",119248,120168,1,"","DOOR",18988623
"operon-8979","PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230","PA14_01230",120178,121410,1,"","DOOR",18988623
"operon-8980","coxB-coxA-PA14_01310-coIII","PA14_01290",125293,126417,1,"coxB","DOOR",18988623
"operon-8980","coxB-coxA-PA14_01310-coIII","PA14_01300",126427,128019,1,"coxA","DOOR",18988623
"operon-8980","coxB-coxA-PA14_01310-coIII","PA14_01310",128030,128584,1,"","DOOR",18988623
"operon-8980","coxB-coxA-PA14_01310-coIII","PA14_01320",128595,129482,1,"coIII","DOOR",18988623
"operon-8981","PA14_01340-PA14_01350","PA14_01340",129723,130517,1,"","DOOR",18988623
"operon-8981","PA14_01340-PA14_01350","PA14_01350",130492,131070,1,"","DOOR",18988623
"operon-8982","PA14_01360-PA14_01380-PA14_01390","PA14_01360",131135,132208,1,"","DOOR",18988623
"operon-8982","PA14_01360-PA14_01380-PA14_01390","PA14_01380",132234,133148,1,"","DOOR",18988623
"operon-8982","PA14_01360-PA14_01380-PA14_01390","PA14_01390",133174,133809,1,"","DOOR",18988623
"operon-8983","PA14_01430-PA14_01440","PA14_01430",135162,135890,1,"","DOOR",18988623
"operon-8983","PA14_01430-PA14_01440","PA14_01440",135915,136502,1,"","DOOR",18988623
"operon-8984","PA14_01460-PA14_01470","PA14_01460",136732,138081,1,"","DOOR",18988623
"operon-8984","PA14_01460-PA14_01470","PA14_01470",138130,138816,1,"","DOOR",18988623
"operon-8985","PA14_01520-PA14_01510","PA14_01510",141481,141762,-1,"","DOOR",18988623
"operon-8985","PA14_01520-PA14_01510","PA14_01520",141759,141986,-1,"","DOOR",18988623
"operon-8986","aptA-PA14_01610-PA14_01600","PA14_01600",145477,146970,-1,"","DOOR",18988623
"operon-8986","aptA-PA14_01610-PA14_01600","PA14_01610",147054,147341,-1,"","DOOR",18988623
"operon-8986","aptA-PA14_01610-PA14_01600","PA14_01620",147341,148687,-1,"aptA","DOOR",18988623
"operon-8987","PA14_01670-PA14_01680-PA14_01690","PA14_01670",152381,153952,1,"","DOOR",18988623
"operon-8987","PA14_01670-PA14_01680-PA14_01690","PA14_01680",153952,155049,1,"","DOOR",18988623
"operon-8987","PA14_01670-PA14_01680-PA14_01690","PA14_01690",155072,156052,1,"","DOOR",18988623
"operon-8988","PA14_01780-PA14_01770","PA14_01770",162413,163261,-1,"","DOOR",18988623
"operon-8988","PA14_01780-PA14_01770","PA14_01780",163296,163922,-1,"","DOOR",18988623
"operon-8989","PA14_01800-PA14_01810","PA14_01800",164828,165925,1,"","DOOR",18988623
"operon-8989","PA14_01800-PA14_01810","PA14_01810",165998,166960,1,"","DOOR",18988623
"operon-8990","PA14_01840-PA14_01860","PA14_01840",168212,168757,1,"","DOOR",18988623
"operon-8990","PA14_01840-PA14_01860","PA14_01860",168754,169749,1,"","DOOR",18988623
"operon-8991","pcaH-pcaG","PA14_01900",173624,174343,1,"pcaH","DOOR",18988623
"operon-8991","pcaH-pcaG","PA14_01910",174354,174959,1,"pcaG","DOOR",18988623
"operon-8992","PA14_01940-PA14_01960-PA14_01970","PA14_01940",176167,177318,1,"","DOOR",18988623
"operon-8992","PA14_01940-PA14_01960-PA14_01970","PA14_01960",177315,178385,1,"","DOOR",18988623
"operon-8992","PA14_01940-PA14_01960-PA14_01970","PA14_01970",178382,181429,1,"","DOOR",18988623
"operon-8993","PA14_02090-PA14_02100","PA14_02090",190557,191222,1,"","DOOR",18988623
"operon-8993","PA14_02090-PA14_02100","PA14_02100",191228,191818,1,"","DOOR",18988623
"operon-8994","PA14_02150-PA14_02140-PA14_02130","PA14_02130",192659,193039,-1,"","DOOR",18988623
"operon-8994","PA14_02150-PA14_02140-PA14_02130","PA14_02140",193066,193608,-1,"","DOOR",18988623
"operon-8994","PA14_02150-PA14_02140-PA14_02130","PA14_02150",193617,195608,-1,"","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02180",195871,196920,-1,"cheB","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02190",196940,197542,-1,"","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02200",197548,198390,-1,"","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02220",198460,200499,-1,"","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02230",200535,201020,-1,"cheW","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02250",201007,202926,-1,"cheA","DOOR",18988623
"operon-8995","PA14_02260-cheA-cheW-PA14_02220-PA14_02200-PA14_02190-cheB","PA14_02260",202954,203319,-1,"","DOOR",18988623
"operon-8996","PA14_02340-PA14_02330-atsA","PA14_02310",206784,208394,-1,"atsA","DOOR",18988623
"operon-8996","PA14_02340-PA14_02330-atsA","PA14_02330",208482,209321,-1,"","DOOR",18988623
"operon-8996","PA14_02340-PA14_02330-atsA","PA14_02340",209318,210934,-1,"","DOOR",18988623
"operon-8997","PA14_02410-PA14_02420-PA14_02435","PA14_02410",215908,218280,1,"","DOOR",18988623
"operon-8997","PA14_02410-PA14_02420-PA14_02435","PA14_02420",218321,219223,1,"","DOOR",18988623
"operon-8997","PA14_02410-PA14_02420-PA14_02435","PA14_02435",219291,220190,1,"","DOOR",18988623
"operon-8998","PA14_02460-pntB","PA14_02460",222031,222339,1,"","DOOR",18988623
"operon-8998","PA14_02460-pntB","PA14_02470",222339,223775,1,"pntB","DOOR",18988623
"operon-8999","tonB2-exbB1-exbD1","PA14_02490",224119,224931,1,"tonB2","DOOR",18988623
"operon-8999","tonB2-exbB1-exbD1","PA14_02500",224960,225679,1,"exbB1","DOOR",18988623
"operon-8999","tonB2-exbB1-exbD1","PA14_02510",225681,226082,1,"exbD1","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02550",227383,229047,1,"mdcA","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02560",229047,229928,1,"","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02570",229930,230229,1,"mdcC","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02580",230222,231085,1,"mdcD","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02590",231082,231888,1,"mdcE","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02610",231904,232596,1,"","DOOR",18988623
"operon-9000","mdcA-PA14_02560-mdcC-mdcD-mdcE-PA14_02610-PA14_02620","PA14_02620",232593,233525,1,"","DOOR",18988623
"operon-9001","PA14_02630-PA14_02640","PA14_02630",233582,233986,1,"","DOOR",18988623
"operon-9001","PA14_02630-PA14_02640","PA14_02640",233992,234756,1,"","DOOR",18988623
"operon-9002","PA14_02680-PA14_02690-PA14_02700","PA14_02680",237370,238860,1,"","DOOR",18988623
"operon-9002","PA14_02680-PA14_02690-PA14_02700","PA14_02690",238918,240351,1,"","DOOR",18988623
"operon-9002","PA14_02680-PA14_02690-PA14_02700","PA14_02700",240382,241764,1,"","DOOR",18988623
"operon-9003","PA14_02740-PA14_02730","PA14_02730",243064,243945,-1,"","DOOR",18988623
"operon-9003","PA14_02740-PA14_02730","PA14_02740",244005,244787,-1,"","DOOR",18988623
"operon-9004","PA14_02760-PA14_02770-pcaF","PA14_02760",245632,246483,1,"","DOOR",18988623
"operon-9004","PA14_02760-PA14_02770-pcaF","PA14_02770",246480,247262,1,"","DOOR",18988623
"operon-9004","PA14_02760-PA14_02770-pcaF","PA14_02790",247259,248464,1,"pcaF","DOOR",18988623
"operon-9005","pcaT-pcaB-pcaD-pcaC","PA14_02810",248614,249912,1,"pcaT","DOOR",18988623
"operon-9005","pcaT-pcaB-pcaD-pcaC","PA14_02830",249935,251314,1,"pcaB","DOOR",18988623
"operon-9005","pcaT-pcaB-pcaD-pcaC","PA14_02840",251329,252120,1,"pcaD","DOOR",18988623
"operon-9005","pcaT-pcaB-pcaD-pcaC","PA14_02850",252131,252532,1,"pcaC","DOOR",18988623
"operon-9006","PA14_02930-PA14_02960","PA14_02930",257439,258482,1,"","DOOR",18988623
"operon-9006","PA14_02930-PA14_02960","PA14_02960",258505,259320,1,"","DOOR",18988623
"operon-9007","PA14_02990-PA14_02980","PA14_02980",260374,261639,-1,"","DOOR",18988623
"operon-9007","PA14_02990-PA14_02980","PA14_02990",261705,263030,-1,"","DOOR",18988623
"operon-9008","aroQ2-PA14_03020","PA14_03020",266282,267136,-1,"","DOOR",18988623
"operon-9008","aroQ2-PA14_03020","PA14_03030",267133,267579,-1,"aroQ2","DOOR",18988623
"operon-9009","PA14_03130-PA14_03120","PA14_03120",274012,274488,-1,"","DOOR",18988623
"operon-9009","PA14_03130-PA14_03120","PA14_03130",274529,276019,-1,"","DOOR",18988623
"operon-9010","PA14_03163-PA14_03166","PA14_03163",278510,279133,1,"","DOOR",18988623
"operon-9010","PA14_03163-PA14_03166","PA14_03166",279133,279531,1,"","DOOR",18988623
"operon-9011","PA14_03180-PA14_03170","PA14_03170",279718,280557,-1,"","DOOR",18988623
"operon-9011","PA14_03180-PA14_03170","PA14_03180",280590,280853,-1,"","DOOR",18988623
"operon-9012","PA14_03220-PA14_03210-PA14_03200","PA14_03200",282565,284715,-1,"tle3","DOOR",18988623
"operon-9012","PA14_03220-PA14_03210-PA14_03200","PA14_03210",284712,285209,-1,"","DOOR",18988623
"operon-9012","PA14_03220-PA14_03210-PA14_03200","PA14_03220",285213,288272,-1,"vgrG2b","DOOR",18988623
"operon-9013","PA14_03250-PA14_03265","PA14_03250",291568,293184,1,"","DOOR",18988623
"operon-9013","PA14_03250-PA14_03265","PA14_03265",293187,293936,1,"","DOOR",18988623
"operon-9014","PA14_03270-PA14_03285","PA14_03270",294101,297238,1,"","DOOR",18988623
"operon-9014","PA14_03270-PA14_03285","PA14_03285",297222,298367,1,"","DOOR",18988623
"operon-9015","PA14_03290-PA14_03300","PA14_03290",298567,298875,1,"","DOOR",18988623
"operon-9015","PA14_03290-PA14_03300","PA14_03300",298872,299717,1,"","DOOR",18988623
"operon-9016","PA14_03340-PA14_03330-PA14_03320","PA14_03320",302683,303804,-1,"","DOOR",18988623
"operon-9016","PA14_03340-PA14_03330-PA14_03320","PA14_03330",303810,304676,-1,"","DOOR",18988623
"operon-9016","PA14_03340-PA14_03330-PA14_03320","PA14_03340",304673,305599,-1,"","DOOR",18988623
"operon-9017","PA14_03360-PA14_03350","PA14_03350",305950,306903,-1,"","DOOR",18988623
"operon-9017","PA14_03360-PA14_03350","PA14_03360",306896,307666,-1,"","DOOR",18988623
"operon-9018","PA14_03400-PA14_03390","PA14_03390",311665,312174,-1,"","DOOR",18988623
"operon-9018","PA14_03400-PA14_03390","PA14_03400",312167,312499,-1,"","DOOR",18988623
"operon-9019","PA14_03490-PA14_03510-PA14_03520","PA14_03490",319880,320317,1,"","DOOR",18988623
"operon-9019","PA14_03490-PA14_03510-PA14_03520","PA14_03510",320329,320736,1,"","DOOR",18988623
"operon-9019","PA14_03490-PA14_03510-PA14_03520","PA14_03520",320770,321054,1,"","DOOR",18988623
"operon-9020","PA14_03550-PA14_03530","PA14_03530",321051,321983,-1,"","DOOR",18988623
"operon-9020","PA14_03550-PA14_03530","PA14_03550",322033,323247,-1,"","DOOR",18988623
"operon-9021","cysT-cysW-cysA","PA14_03650",328093,329082,-1,"cysA","DOOR",18988623
"operon-9021","cysT-cysW-cysA","PA14_03670",329086,329955,-1,"cysW","DOOR",18988623
"operon-9021","cysT-cysW-cysA","PA14_03680",329966,330784,-1,"cysT","DOOR",18988623
"operon-9022","PA14_03760-speB1-PA14_03780","PA14_03760",336327,337712,1,"","DOOR",18988623
"operon-9022","PA14_03760-speB1-PA14_03780","PA14_03770",337768,338724,1,"speB1","DOOR",18988623
"operon-9022","PA14_03760-speB1-PA14_03780","PA14_03780",338777,339739,1,"","DOOR",18988623
"operon-9023","spuA-spuB-spuC","PA14_03870",348859,349611,1,"spuA","DOOR",18988623
"operon-9023","spuA-spuB-spuC","PA14_03880",349652,351010,1,"spuB","DOOR",18988623
"operon-9023","spuA-spuB-spuC","PA14_03900",351076,352446,1,"spuC","DOOR",18988623
"operon-9024","spuE-spuF-spuG-spuH","PA14_03930",354084,355181,1,"spuE","DOOR",18988623
"operon-9024","spuE-spuF-spuG-spuH","PA14_03940",355236,356390,1,"spuF","DOOR",18988623
"operon-9024","spuE-spuF-spuG-spuH","PA14_03950",356417,357298,1,"spuG","DOOR",18988623
"operon-9024","spuE-spuF-spuG-spuH","PA14_03960",357381,358250,1,"spuH","DOOR",18988623
"operon-9025","PA14_04090-PA14_04080","PA14_04080",367074,367766,-1,"","DOOR",18988623
"operon-9025","PA14_04090-PA14_04080","PA14_04090",367838,368608,-1,"","DOOR",18988623
"operon-9026","PA14_04140-PA14_04150","PA14_04140",370829,372223,1,"","DOOR",18988623
"operon-9026","PA14_04140-PA14_04150","PA14_04150",372315,372980,1,"","DOOR",18988623
"operon-9027","PA14_04160-PA14_04180","PA14_04160",373079,374068,1,"","DOOR",18988623
"operon-9027","PA14_04160-PA14_04180","PA14_04180",374152,374502,1,"","DOOR",18988623
"operon-9028","PA14_04210-PA14_04190","PA14_04190",374583,375617,-1,"","DOOR",18988623
"operon-9028","PA14_04210-PA14_04190","PA14_04210",375633,377027,-1,"","DOOR",18988623
"operon-9029","PA14_04250-PA14_04240-PA14_04230-PA14_04220","PA14_04220",377448,378491,-1,"","DOOR",18988623
"operon-9029","PA14_04250-PA14_04240-PA14_04230-PA14_04220","PA14_04230",378539,379327,-1,"","DOOR",18988623
"operon-9029","PA14_04250-PA14_04240-PA14_04230-PA14_04220","PA14_04240",379324,380253,-1,"","DOOR",18988623
"operon-9029","PA14_04250-PA14_04240-PA14_04230-PA14_04220","PA14_04250",380250,381299,-1,"","DOOR",18988623
"operon-9030","PA14_04330-PA14_04340-PA14_04350","PA14_04330",387894,388361,1,"","DOOR",18988623
"operon-9030","PA14_04330-PA14_04340-PA14_04350","PA14_04340",388412,389683,1,"","DOOR",18988623
"operon-9030","PA14_04330-PA14_04340-PA14_04350","PA14_04350",389680,390147,1,"","DOOR",18988623
"operon-9031","PA14_04380-PA14_04370","PA14_04370",390120,391361,-1,"","DOOR",18988623
"operon-9031","PA14_04380-PA14_04370","PA14_04380",391411,392064,-1,"","DOOR",18988623
"operon-9032","ygdP-ptsP-PA14_04420","PA14_04390",392268,392747,1,"ygdP","DOOR",18988623
"operon-9032","ygdP-ptsP-PA14_04420","PA14_04410",392770,395049,1,"ptsP","DOOR",18988623
"operon-9032","ygdP-ptsP-PA14_04420","PA14_04420",395075,396205,1,"","DOOR",18988623
"operon-9033","PA14_04440-lgt","PA14_04440",397086,397889,1,"","DOOR",18988623
"operon-9033","PA14_04440-lgt","PA14_04460",397899,398699,1,"lgt","DOOR",18988623
"operon-9034","PA14_04520-PA14_04510-PA14_04490","PA14_04490",399726,400523,-1,"","DOOR",18988623
"operon-9034","PA14_04520-PA14_04510-PA14_04490","PA14_04510",400558,401937,-1,"","DOOR",18988623
"operon-9034","PA14_04520-PA14_04510-PA14_04490","PA14_04520",401930,403315,-1,"","DOOR",18988623
"operon-9035","PA14_04560-PA14_04570-folA","PA14_04560",405267,406361,1,"","DOOR",18988623
"operon-9035","PA14_04560-PA14_04570-folA","PA14_04570",406358,407398,1,"","DOOR",18988623
"operon-9035","PA14_04560-PA14_04570-folA","PA14_04580",407469,407975,1,"folA","DOOR",18988623
"operon-9036","PA14_04660-mutM","PA14_04660",414409,415233,1,"","DOOR",18988623
"operon-9036","PA14_04660-mutM","PA14_04670",415292,416104,1,"mutM","DOOR",18988623
"operon-9037","PA14_04810-PA14_04790-PA14_04780","PA14_04780",421999,423594,-1,"laoA","DOOR",18988623
"operon-9037","PA14_04810-PA14_04790-PA14_04780","PA14_04790",423650,424198,-1,"laoB","DOOR",18988623
"operon-9037","PA14_04810-PA14_04790-PA14_04780","PA14_04810",424253,425683,-1,"laoC","DOOR",18988623
"operon-9038","PA14_04850-PA14_04840","PA14_04840",427077,428075,-1,"","DOOR",18988623
"operon-9038","PA14_04850-PA14_04840","PA14_04850",428112,428402,-1,"","DOOR",18988623
"operon-9039","PA14_04890-PA14_04870-PA14_04860","PA14_04860",428681,429277,-1,"","DOOR",18988623
"operon-9039","PA14_04890-PA14_04870-PA14_04860","PA14_04870",429277,430764,-1,"","DOOR",18988623
"operon-9039","PA14_04890-PA14_04870-PA14_04860","PA14_04890",430757,432154,-1,"","DOOR",18988623
"operon-9040","ftsY-ftsE-ftsX","PA14_04900",432275,433630,1,"ftsY","DOOR",18988623
"operon-9040","ftsY-ftsE-ftsX","PA14_04910",433627,434298,1,"ftsE","DOOR",18988623
"operon-9040","ftsY-ftsE-ftsX","PA14_04920",434298,435305,1,"ftsX","DOOR",18988623
"operon-9041","PA14_04970-thiG","PA14_04970",438196,438396,1,"","DOOR",18988623
"operon-9041","PA14_04970-thiG","PA14_04980",438455,439252,1,"thiG","DOOR",18988623
"operon-9042","PA14_05040-PA14_05030-PA14_05020","PA14_05020",441599,441856,-1,"","DOOR",18988623
"operon-9042","PA14_05040-PA14_05030-PA14_05020","PA14_05030",441918,442241,-1,"","DOOR",18988623
"operon-9042","PA14_05040-PA14_05030-PA14_05020","PA14_05040",442322,443476,-1,"","DOOR",18988623
"operon-9043","PA14_05060-PA14_05050","PA14_05050",443597,444190,-1,"","DOOR",18988623
"operon-9043","PA14_05060-PA14_05050","PA14_05060",444187,444606,-1,"","DOOR",18988623
"operon-9044","PA14_05110-metX-PA14_05070","PA14_05070",444738,445358,-1,"","DOOR",18988623
"operon-9044","PA14_05110-metX-PA14_05070","PA14_05080",445366,446505,-1,"metX","DOOR",18988623
"operon-9044","PA14_05110-metX-PA14_05070","PA14_05110",446594,448561,-1,"","DOOR",18988623
"operon-9045","PA14_05160-proC-PA14_05130","PA14_05130",448962,449555,-1,"","DOOR",18988623
"operon-9045","PA14_05160-proC-PA14_05130","PA14_05150",449566,450387,-1,"proC","DOOR",18988623
"operon-9045","PA14_05160-proC-PA14_05130","PA14_05160",450399,451091,-1,"","DOOR",18988623
"operon-9046","PA14_05220-PA14_05230","PA14_05220",455375,456748,1,"","DOOR",18988623
