PA14_ID	pathways present	label
PA14_65350	['KEGG-Pathway-pae03430: Mismatch repair']	most stable
PA14_12960	['KEGG-Pathway-pae00920: Sulfur metabolism']	most stable
PA14_42380	[]	most stable
PA14_65630	[]	most stable
PA14_72970	[]	most stable
PA14_65660	[]	most stable
PA14_41710	[]	most stable
PA14_42290	[]	most stable
PA14_20700	[]	most stable
PA14_01010	['KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_36710	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	most stable
PA14_14510	[]	most stable
PA14_00875	['KEGG-Pathway-pae03070: Bacterial secretion system']	most stable
PA14_51900	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_58240	[]	most stable
PA14_11400	['KEGG-Pathway-pae00740: Riboflavin metabolism', 'KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD']	most stable
PA14_12920	['KEGG-Pathway-pae00920: Sulfur metabolism']	most stable
PA14_64180	[]	most stable
PA14_55920	[]	most stable
PA14_42580	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_16640	[]	most stable
PA14_62490	[]	most stable
PA14_69910	[]	most stable
PA14_12940	['KEGG-Pathway-pae00920: Sulfur metabolism']	most stable
PA14_73310	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	most stable
PA14_08100	[]	most stable
PA14_33730	[]	most stable
PA14_66160	[]	most stable
PA14_06700	[]	most stable
PA14_33740	[]	most stable
PA14_73020	[]	most stable
PA14_66400	[]	most stable
PA14_56140	[]	most stable
PA14_62910	['KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism']	most stable
PA14_09010	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_13140	[]	most stable
PA14_42470	[]	most stable
PA14_62760	[]	most stable
PA14_72510	['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine']	most stable
PA14_03700	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00185: Sulfate transport system', 'KEGG-Module-M00616: Sulfate-sulfur assimilation']	most stable
PA14_64170	[]	most stable
PA14_14360	[]	most stable
PA14_33720	[]	most stable
PA14_08860	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_60970	[]	most stable
PA14_58090	[]	most stable
PA14_38740	[]	most stable
PA14_71630	['KEGG-Pathway-pae00071: Fatty acid degradation', 'KEGG-Pathway-pae00350: Tyrosine metabolism', 'KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation', 'KEGG-Pathway-pae01220: Degradation of aromatic compounds', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis']	most stable
PA14_72230	[]	most stable
PA14_07050	[]	most stable
PA14_62860	[]	most stable
PA14_52210	['KEGG-Pathway-pae00270: Cysteine and methionine metabolism', 'KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine']	most stable
PA14_36320	['KEGG-Pathway-pae00460: Cyanoamino acid metabolism']	most stable
PA14_08190	[]	most stable
PA14_45800	['KEGG-Pathway-pae02040: Flagellar assembly', 'KEGG-Pathway-pae02030: Bacterial chemotaxis']	most stable
PA14_00960	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_04650	[]	most stable
PA14_00670	[]	most stable
PA14_08070	[]	most stable
PA14_42860	[]	most stable
PA14_08900	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_68400	[]	most stable
PA14_08880	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_42440	[]	most stable
PA14_02910	[]	most stable
PA14_30320	[]	most stable
PA14_42270	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_41420	[]	most stable
PA14_19560	['KEGG-Pathway-pae00920: Sulfur metabolism']	most stable
PA14_14440	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_60230	[]	most stable
PA14_08780	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism']	most stable
PA14_16930	[]	most stable
PA14_69020	[]	most stable
PA14_73320	[]	most stable
PA14_06740	['KEGG-Pathway-pae00920: Sulfur metabolism']	most stable
PA14_33710	[]	most stable
PA14_44050	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00650: Butanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	most stable
PA14_56890	['KEGG-Pathway-pae00312: beta-Lactam resistance', 'KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC']	most stable
PA14_07660	[]	most stable
PA14_69420	[]	most stable
PA14_57540	['KEGG-Pathway-pae00190: Oxidative phosphorylation']	most stable
PA14_69470	[]	most stable
PA14_43970	['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis', 'KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA', 'KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	most stable
PA14_06720	[]	most stable
PA14_12070	[]	most stable
PA14_24070	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00331: Type II general secretion pathway']	most stable
PA14_37070	[]	most stable
PA14_19900	['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis', 'KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA']	most stable
PA14_11550	['KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis', 'KEGG-Pathway-pae00730: Thiamine metabolism']	most stable
PA14_73280	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	most stable
PA14_28000	[]	most stable
PA14_20320	['KEGG-Module-M00223: Phosphonate transport system']	most stable
PA14_72380	[]	most stable
PA14_62840	['KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism']	most stable
PA14_00925	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_00020	['KEGG-Pathway-pae03440: Homologous recombination', 'KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Pathway-pae03030: DNA replication', 'KEGG-Pathway-pae03430: Mismatch repair', 'KEGG-Module-M00260: DNA polymerase III complex, bacteria']	most stable
PA14_18910	[]	most stable
PA14_42480	[]	most stable
PA14_08870	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_58270	[]	most stable
PA14_72420	[]	most stable
PA14_30730	[]	most stable
PA14_60445	[]	most stable
PA14_08990	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_18920	[]	most stable
PA14_36310	['KEGG-Pathway-pae00460: Cyanoamino acid metabolism']	most stable
PA14_36550	[]	most stable
PA14_58230	[]	most stable
PA14_57560	['KEGG-Pathway-pae00190: Oxidative phosphorylation']	most stable
PA14_14630	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export', 'KEGG-Module-M00335: Sec (secretion) system']	most stable
PA14_64230	[]	most stable
PA14_49840	['KEGG-Pathway-pae00230: Purine metabolism']	most stable
PA14_08020	[]	most stable
PA14_66980	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export']	most stable
PA14_72260	[]	most stable
PA14_58070	[]	most stable
PA14_36420	[]	most stable
PA14_62850	['KEGG-Pathway-pae00790: Folate biosynthesis', 'KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF']	most stable
PA14_61990	[]	most stable
PA14_62770	[]	most stable
PA14_08010	[]	most stable
PA14_29400	[]	most stable
PA14_58190	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis']	most stable
PA14_18710	['KEGG-Pathway-pae00240: Pyrimidine metabolism']	most stable
PA14_57810	['KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism', 'KEGG-Pathway-pae00550: Peptidoglycan biosynthesis']	most stable
PA14_28680	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_09000	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_21190	[]	most stable
PA14_00890	['KEGG-Pathway-pae03070: Bacterial secretion system']	most stable
PA14_52040	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP']	most stable
PA14_42540	[]	most stable
PA14_03710	[]	most stable
PA14_01020	['KEGG-Module-M00334: Type VI secretion system']	most stable
