PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label	pathways present
PA14_10020	PA4164	0.2897545367487748	5.959527932937678e-104			[]
PA14_23830	PA3115	0.430100927677924	8.852303304855971e-240	fimV		[]
PA14_00080	PA0007	0.3965836362379117	6.202337756819016e-201			[]
PA14_23610	PA3132	0.3031977937776529	4.071441436734608e-114			[]
PA14_68460	PA5183	0.2883668970107094	6.215470454579328e-103			[]
PA14_39200	PA1958	0.2867693543486863	9.091684780965205e-102			[]
PA14_63910	PA4834	0.3449148899396403	2.914919228852747e-149			[]
PA14_61660	PA4662	0.4567150988586418	6.414835964616977e-274	murI		['KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism']
PA14_09730	PA4188	0.27606542754840485	3.7201905712083456e-94			['KEGG-Pathway-pae00300: Lysine biosynthesis', 'KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine']
PA14_57050	PA4389	0.4119516790548826	3.404603446363116e-218	fabG		['KEGG-Pathway-pae00780: Biotin metabolism', 'KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids', 'KEGG-Pathway-pae01212: Fatty acid metabolism', 'KEGG-Pathway-pae00061: Fatty acid biosynthesis', 'KEGG-Module-M00083: Fatty acid biosynthesis, elongation', 'KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP']
PA14_39790	PA1913	0.2841918137487594	6.646051993435355e-100			[]
PA14_70200	PA5317	0.5259526106710051	0.0	dppA5	most stable	[]
PA14_42790	PA1678	0.4684440985055939	5.87713731125534e-290			[]
PA14_42150	PA1731	0.4713869788897767	4.4234500399870755e-294			[]
PA14_06670	PA0511	0.5645899773095898	0.0	nirJ	most stable	[]
PA14_35500	PA2249	0.401900638165772	8.388151217597369e-207	bkdB		['KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation', 'KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA']
PA14_50910	PA1038	0.26286945499780945	3.1220584742272766e-85			[]
PA14_58500	PA4507	0.18404940360198066	5.830848324659312e-42		least stable	[]
PA14_47890	PA1263	0.460529074375766	4.578366359160502e-279			[]
PA14_05690	PA0437	0.3477926244230198	6.783735888569875e-152	codA		['KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism']
PA14_72890	PA5525	0.31955237278655474	3.1137453254753683e-127			[]
PA14_21690	PA3272	0.4573970117700503	7.795338307807375e-275			[]
PA14_08990	PA4249	0.5409058328457912	0.0	rpsH	most stable	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']
PA14_60230	PA4545	0.50755158173646	0.0	comL	most stable	[]
PA14_65795	PA4977	0.3042990559430783	5.657241657384464e-115			['KEGG-Pathway-pae00330: Arginine and proline metabolism']
PA14_31290	PA2570	0.3551607306428347	9.165346266772547e-159	pa1L		[]
PA14_19450	PA3453	0.3848357294376188	2.415082288177858e-188			[]
PA14_38750	PA1991	0.4874587866534537	2.5124567e-317			[]
PA14_38900	PA1980	0.2534090248295867	3.847349015173968e-79			[]
PA14_68340	PA5172	0.4075877102184534	3.3597741445518144e-213	arcB		['KEGG-Pathway-pae00330: Arginine and proline metabolism']
PA14_45910	PA1435	0.14075340846324935	4.529600772513884e-25		least stable	[]
PA14_59620	PA2222	0.07733268398166307	1.4918362732130163e-08		least stable	[]
PA14_05270	PA0403	0.4786690513608236	1.849867009131075e-304	pyrR		['KEGG-Pathway-pae00240: Pyrimidine metabolism']
PA14_01320	PA0108	0.4086146720416455	2.278907474194896e-214	coIII		['KEGG-Pathway-pae00190: Oxidative phosphorylation']
PA14_17730	PA3598	0.4008434003768432	1.2566830083622906e-205			[]
PA14_61020	PA4612	0.2823031478907592	1.499077097079871e-98			[]
PA14_04080	PA0313	0.3013560872683171	1.083640056623956e-112			[]
PA14_54670	PA0743	0.3641525987724078	2.123604218350958e-167			['KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation']
PA14_06350	PA0488	0.3145860337082381	3.670271006135088e-123			[]
PA14_51920	PA0954	0.3780634500900909	2.5688387228576397e-181			['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00627: Aminobenzoate degradation']
PA14_43940	PA1589	0.5678466397949402	0.0	sucD	most stable	['KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00640: Propanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']
PA14_38310	PA2027	0.27882901610881683	4.341110557465041e-96			[]
PA14_54820	PA0731	0.2750992060125565	1.7422395715939274e-93			[]
PA14_60350	PA4558	0.497897644399538	0.0			[]
PA14_05520	PA0424	0.2578586501060246	5.650184074861168e-82	mexR		['KEGG-Pathway-pae00312: beta-Lactam resistance', 'KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC']
PA14_67110	PA5080	0.3808607130521723	3.369515544741082e-184			['KEGG-Pathway-pae00330: Arginine and proline metabolism']
PA14_61910	PA4680	0.3141965980442543	7.597581672120997e-123			[]
PA14_71880	PA5444	0.4232799526057192	1.6426240366855602e-231			[]
PA14_38880	PA1981	0.33443325545741626	6.647143518890136e-140			[]
PA14_26080	PA2935	0.2367769916387095	4.835609623183346e-69			[]
PA14_24850	PA3033	0.3956736637768588	6.112626646611944e-200			[]
PA14_47060	PA1330	0.2566413552030654	3.409423860959339e-81			[]
PA14_13040	PA3929	0.360934473464462	2.816062540650992e-164	cioB		['KEGG-Pathway-pae00190: Oxidative phosphorylation']
PA14_19210	PA3469	0.21901034867825786	4.309581061046877e-59			[]
PA14_44170	PA1571	0.3151139775972459	1.3664039052216932e-123			[]
PA14_42700	PA1686	0.4621975056022945	2.4473592380492377e-281	alkA		['KEGG-Pathway-pae03410: Base excision repair']
PA14_68260	PA5167	0.3744357428261907	1.2750312121099212e-177			[]
PA14_34260	PA2351	0.2531628811484232	5.498599563082756e-79			['KEGG-Module-M00238: D-Methionine transport system']
PA14_06690	PA0513	0.4591422696931135	3.464272994142351e-277	nirG		[]
PA14_65370	PA4947	0.4536199792554854	8.624615078834499e-270	amiB		[]
PA14_02260	PA0179	0.3991214911890559	1.0108873435273564e-203			['KEGG-Pathway-pae02030: Bacterial chemotaxis', 'KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system']
PA14_35340	PA2261	0.31246188989744783	1.9160047754007003e-121			['KEGG-Pathway-pae00030: Pentose phosphate pathway']
PA14_50280	PA1093	0.4108819925326616	5.796253045472809e-217			[]
PA14_71160	PA5388	0.33818520682244635	3.2702278442664828e-143			['KEGG-Module-M00208: Glycine betaine/proline transport system']
PA14_20270	PA3387	0.3818981219246744	2.8278178706170175e-185	rhlG		[]
PA14_58560	PA4513	0.40632141103677344	9.153510864584217e-212			['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00616: Sulfate-sulfur assimilation', 'KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S']
PA14_16880	PA3671	0.4093803218882089	3.046590778870375e-215			['KEGG-Module-M00254: ABC-2 type transport system']
PA14_53810	PA0808	0.27728904399628984	5.217694003049684e-95			[]
PA14_66980	PA5070	0.5347799751014001	0.0	tatC	most stable	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export']
PA14_37900	PA2057	0.4066094823166724	4.321381058941103e-212	sppR		[]
PA14_64490	PA4877	0.44679868087337016	7.676144031731535e-261			[]
PA14_09480	PA4210	0.2863313731614511	1.8912907546093383e-101	phzA1		[]
PA14_06940	PA0532	0.21016604093790328	1.8680372592496556e-54			[]
PA14_11090	PA4083	0.4389627698542084	8.24842295551855e-251	cupB4		[]
PA14_53880	PA0801	0.4406739513490657	5.600729763519054e-253			[]
PA14_48890	PA0727	0.2160284949250287	1.6635725769259898e-57			[]
PA14_21590	PA3282	0.17023526982348433	4.624149933141682e-36		least stable	[]
PA14_04970	PA0380	0.38134585920029795	1.0587838356983936e-184			['KEGG-Pathway-pae04122: Sulfur relay system']
PA14_68940	PA5220	0.45035686402608543	1.747317312574231e-265			[]
PA14_20770	PA3347	0.3455349008091602	7.936993062238822e-150			[]
PA14_28660	PA2743	0.49125128462528794	5.4e-323	infC		[]
PA14_19850	PA3420	0.3428152391737793	2.3353349177584952e-147			[]
PA14_38790	PA1988	0.314019330143992	1.057664845882772e-122	pqqD		[]
PA14_11510	PA4047	0.3844303643264828	6.430432975454884e-188	ribA		['KEGG-Pathway-pae00740: Riboflavin metabolism', 'KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD']
PA14_06170	PA0471	0.5067603788087863	0.0		most stable	[]
PA14_50510	PA1075	0.3349540673431851	2.323802277988027e-140			[]
PA14_55140	PA0709	0.1226031370774224	2.302083999706028e-19		least stable	[]
PA14_20670	PA3356	0.3697764820273337	6.070135278526709e-173			['KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism', 'KEGG-Pathway-pae00910: Nitrogen metabolism']
PA14_04380	PA0335	0.2669691283057627	5.967787525691985e-88			[]
PA14_02910	PA0236	0.5055993662730641	0.0		most stable	[]
PA14_25500	PA2982	0.4335916890737734	4.377584364467506e-244			[]
PA14_66680	PA5046	0.4209210965257799	1.0735580134003611e-228	maeB		['KEGG-Pathway-pae00620: Pyruvate metabolism']
PA14_24830	PA3035	0.2486368410978989	3.645060923204948e-76			['KEGG-Pathway-pae00480: Glutathione metabolism']
PA14_30630	PA2587	0.4828057800503934	1.8128452851011e-310	pqsH		[]
PA14_58100	PA4477	0.4022041602642689	3.849321083623247e-207	cafA		[]
PA14_70730	PA5358	0.4459203285008633	1.0537574193098084e-259	ubiA		['KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis']
PA14_70120	PA5311	0.3190037194665193	8.849066025428091e-127			[]
PA14_46770	PA1354	0.3544295305710134	4.488482739320216e-158			[]
PA14_35070	PA2281	0.35691501133996073	1.9923703457654527e-160			[]
PA14_07200	PA0553	0.37253511442292303	1.05436898885768e-175			[]
PA14_49590	PA1145	0.39217656836841774	3.7669274676143314e-196			[]
PA14_35370	PA2259	0.3709338969181127	4.2502286076906865e-174	ptxS		[]
PA14_58550	PA4512	0.36945887757700585	1.2567592710575009e-172	lpxO1		[]
PA14_26260	PA2922	0.3881475964431412	7.682138095360982e-192			['KEGG-Pathway-pae00360: Phenylalanine metabolism']
PA14_27500	PA2828	0.4740008259474146	8.899008345697433e-298			['KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis', 'KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism']
PA14_64640	PA4890	0.4311957349900695	4.000134345254693e-241			[]
PA14_16910	PA3669	0.3266054784436052	3.772105315755245e-133			[]
PA14_44920	PA1509	0.3501505173260401	4.499994228637407e-154			[]
PA14_25430	PA2988	0.5290510578099985	0.0		most stable	[]
PA14_72920	PA5527	0.3603801583090566	9.635333644359593e-164			[]
PA14_62170	PA4697	0.36860292080329227	8.897224511345032e-172			[]
PA14_56410	PA4339	0.2841724574168569	6.862564396518147e-100			[]
PA14_50820	PA1047	0.3495126263575645	1.7553210416990318e-153			[]
PA14_55610	PA0669	0.13818314014465025	3.2561454540712004e-24	dnaE2	least stable	[]
PA14_49300	PA1169	0.2706797037368647	1.877242671415527e-90			[]
PA14_08010	PA0616	0.5269192522818322	0.0		most stable	[]
PA14_58080	PA4475	0.4603087571315434	9.115634742832581e-279			[]
PA14_28080	PA2785	0.25636789360194784	5.098794674033954e-81			[]
PA14_47360	PA1304	0.4294908296810594	4.947819847290755e-239			[]
PA14_41480	PA1786	0.480383419564938	6.123177949486786e-307	nasS		['KEGG-Pathway-pae00910: Nitrogen metabolism']
PA14_40290	PA1871	0.3966459770237283	5.301099702589164e-201	lasA		[]
PA14_11140	PA4078	0.4617905983099888	8.789753291642316e-281			[]
PA14_03940	PA0302	0.3157307383781742	4.296942372737503e-124	spuF		['KEGG-Module-M00300: Putrescine transport system']
PA14_06450	PA0494	0.2851541887190915	1.3456800330985001e-100			['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00640: Propanoate metabolism', 'KEGG-Pathway-pae01212: Fatty acid metabolism', 'KEGG-Pathway-pae00061: Fatty acid biosynthesis', 'KEGG-Module-M00082: Fatty acid biosynthesis, initiation']
PA14_65050	PA4926	0.3447823630621663	3.847882419918617e-149			[]
PA14_21150	PA3315	0.2890529047264685	1.9534180618183745e-103			['KEGG-Module-M00223: Phosphonate transport system']
PA14_44910	PA1510	0.3603711462674551	9.829770427102768e-164			[]
PA14_71260	PA5398	0.4116726761680751	7.138370428689425e-218			[]
PA14_07440	PA0573	0.20848846703705914	1.3412379778229023e-53			[]
PA14_14150	PA3854	0.36315699473581897	1.981370207124615e-166			[]
PA14_13830	PA3872	0.2417072230739038	5.898518848024699e-72	narI		['KEGG-Pathway-pae00910: Nitrogen metabolism', 'KEGG-Module-M00529: Denitrification, nitrate => nitrogen', 'KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia']
PA14_64890	PA4912	0.3561659903503689	1.0247387362847761e-159			['KEGG-Module-M00237: Branched-chain amino acid transport system']
PA14_13710	PA3881	0.2734219667450013	2.503921653139718e-92			[]
PA14_58090	PA4476	0.5456749273973827	0.0		most stable	[]
PA14_55860	PA4300	0.4607572620990347	2.2424268508530592e-279			[]
PA14_46750	PA1356	0.4458042150209604	1.4889307903846117e-259			[]
PA14_41760	PA1763	0.3287127404582986	5.996739535097088e-135			[]
PA14_52510	PA0908	0.3521490551690415	6.197447918225085e-156			[]
PA14_20970	PA3331	0.4042712377214625	1.8714008369703483e-209	cyp23		['KEGG-Pathway-pae00903: Limonene and pinene degradation', 'KEGG-Pathway-pae00363: Bisphenol degradation', 'KEGG-Pathway-pae00627: Aminobenzoate degradation']
PA14_17690	PA3602	0.3240987347792931	4.984730858331928e-131			[]
PA14_65270	PA4941	0.4915954783866502	1.5e-323	hflC		[]
PA14_64590	PA4887	0.254938251953794	4.147635015780097e-80			[]
PA14_68380	PA5176	0.4685111239691596	4.73917212386419e-290	nudE		['KEGG-Pathway-pae00230: Purine metabolism']
PA14_57260	PA4406	0.38080822037032597	3.8186924025650147e-184	lpxC		['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']
PA14_57300	PA4409	0.5200231688763366	0.0	ftsQ	most stable	[]
PA14_56980	PA4383	0.3175363786805841	1.4301510718664232e-125			[]
PA14_29480	PA2678	0.4061434891097517	1.4546325192079038e-211			[]
PA14_35110	PA2278	0.335146169644227	1.576224389954914e-140	arsB		[]
PA14_22340	PA3235	0.3857402812144398	2.702108535343752e-189			[]
PA14_21175	PA3313	0.4872681847691889	4.8208663e-317			['KEGG-Module-M00223: Phosphonate transport system']
PA14_32220	PA2509	0.2967711131929088	3.4498987344456615e-109	catB		['KEGG-Pathway-pae00364: Fluorobenzoate degradation', 'KEGG-Pathway-pae00362: Benzoate degradation', 'KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation', 'KEGG-Pathway-pae01220: Degradation of aromatic compounds', 'KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate']
PA14_06700	PA0514	0.511894631506266	0.0	nirL	most stable	[]
PA14_72380	PA5483	0.5595921330489679	0.0	algB	most stable	[]
PA14_10200	PA4156	0.34587305832534443	3.8992003165972556e-150			[]
PA14_29830	PA2650	0.3223267979942202	1.5304401757302813e-129			[]
PA14_65390	PA4949	0.4644100114374758	2.2710009388361036e-284			[]
PA14_07660	PA0587	0.5054029141807657	0.0		most stable	[]
PA14_15710	PA3765	0.2927849525274629	3.399409681155293e-106			[]
PA14_01910	PA0154	0.18602723030809715	7.608842812217834e-43	pcaG	least stable	['KEGG-Pathway-pae00362: Benzoate degradation', 'KEGG-Pathway-pae01220: Degradation of aromatic compounds']
PA14_34100	PA2363	0.4457552480530635	1.7225463737619036e-259	hsiJ3		['KEGG-Module-M00334: Type VI secretion system']
PA14_49530	PA1149	0.21397461946833124	1.9957065733100977e-56			[]
PA14_16530	PA3700	0.6326416326774387	0.0	lysS	most stable	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']
PA14_19205	PA3470	0.24978376484133466	7.114806485780006e-77			[]
PA14_45880	PA1437	0.3783545835282238	1.2914767223040853e-181			['KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system']
PA14_37470	PA2090	0.4497021137676716	1.2614127543020384e-264			[]
PA14_72810	PA5519	0.2407644835629287	2.1531371198783195e-71			[]
PA14_04060	PA0311	0.2801545511054787	5.041006391835057e-97			[]
PA14_15810	PA3759	0.1970657346266124	5.758881456145577e-48		least stable	[]
PA14_09280	PA4225	0.4281816594444692	1.9630551558740112e-237	pchF		['KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides']
PA14_66480	PA5028	0.4414139370433823	6.408999557357215e-254			[]
PA14_14590	PA3824	0.4325935881701068	7.543302649329463e-243	queA		[]
PA14_45590	PA1458	0.4716635302626941	1.8038107697528007e-294			['KEGG-Pathway-pae02030: Bacterial chemotaxis', 'KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system']
PA14_70720	PA5357	0.2872260215361457	4.23009493904447e-102	ubiC		['KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis']
PA14_56130	PA4320	0.5573590432507177	0.0		most stable	[]
PA14_12630	PA3961	0.43133560869036397	2.6907918380939977e-241			[]
PA14_34010	PA2369	0.4557922377732075	1.1031953529721698e-272	hsiG3		['KEGG-Module-M00334: Type VI secretion system']
PA14_24620	PA3052	0.4774432769872959	1.0759805578895758e-302			[]
PA14_45170	PA1489	0.2917559536392342	1.9787767366863163e-105			[]
PA14_30450	PA2601	0.2739139611699983	1.1479684629978363e-92			[]
PA14_40520	PA1855	0.3048681819166503	2.033181580805355e-115			[]
PA14_18210	PA3564	0.3020861610070538	2.959291085971718e-113			[]
PA14_26930	PA2873	0.3825966650594974	5.304399174952801e-186			[]
PA14_05410	PA0415	0.3423748212665175	5.831843943701543e-147			[]
PA14_27180	PA2854	0.3237385469650168	1.0017448383256557e-130			[]
PA14_33370	PA2422	0.29353739846657445	9.33236650107282e-107			[]
PA14_68040	PA5150	0.3119276305204053	5.1547323209890945e-121			[]
PA14_38700	PA1996	0.3374077449115781	1.599026826851621e-142	ppiC1		[]
PA14_70690	PA5355	0.20777348400457574	3.0912026323831166e-53	glcD		['KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism']
PA14_14960	PA3797	0.3325582683403521	2.874259902773236e-138			[]
PA14_57870	PA4455	0.36925207791084974	2.0176708534571718e-172			['KEGG-Module-M00210: Putative ABC transport system']
PA14_17250	PA3641	0.4157876994174825	1.2026321744950325e-222			[]
