gene id	pathways present	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label
PA1802	[]	PA14_41230	0.5143242677558258	0.0	clpX	most stable
PA0008	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_00090	0.5190191627186537	0.0	glyS	most stable
PA1787	['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism', 'KEGG-Pathway-pae00640: Propanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate']	PA14_41470	0.5353064033195752	0.0	acnB	most stable
PA0579	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_07560	0.5075364893832139	0.0	rpsU	most stable
PA3337	['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']	PA14_20890	0.5462543970289211	0.0	rfaD	most stable
PA4488	[]	PA14_58240	0.5275229239053634	0.0	magE	most stable
PA1074	['KEGG-Module-M00237: Branched-chain amino acid transport system']	PA14_50520	0.5153701715032943	0.0	braC	most stable
PA1715	[]	PA14_42360	0.5424304547477754	0.0	pscB	most stable
PA1443	['KEGG-Pathway-pae02040: Flagellar assembly', 'KEGG-Pathway-pae02030: Bacterial chemotaxis']	PA14_45800	0.5137464512316757	0.0	fliM	most stable
PA1694	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	PA14_42610	0.5454791781174831	0.0	pscQ	most stable
PA3744	[]	PA14_15980	0.5337110303425353	0.0	rimM	most stable
PA2395	[]	PA14_33710	0.509696090169855	0.0	pvdO	most stable
PA3667	[]	PA14_16930	0.5136646399116062	0.0		most stable
PA0616	[]	PA14_08010	0.5269464387869837	0.0		most stable
PA5531	[]	PA14_72970	0.5160227116693948	0.0	tonB1	most stable
PA3820	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export', 'KEGG-Module-M00335: Sec (secretion) system']	PA14_14650	0.6229966645771411	0.0	secF	most stable
PA1721	[]	PA14_42290	0.5214609895228451	0.0	pscH	most stable
PA4481	[]	PA14_58150	0.5047113310479887	0.0	mreB	most stable
PA2361	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	PA14_34130	0.5224993798390861	0.0	icmF3	most stable
PA4423	[]	PA14_57480	0.5433372861850501	0.0		most stable
PA2629	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism', 'KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP', 'KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP']	PA14_30110	0.5171490172343237	0.0	purB	most stable
PA0004	[]	PA14_00050	0.5373954942036185	0.0	gyrB	most stable
PA4321	[]	PA14_56140	0.5774741918235602	0.0		most stable
PA0516	[]	PA14_06720	0.5255321260139136	0.0	nirF	most stable
PA5004	[]	PA14_66160	0.5516992156847516	0.0	wapH	most stable
PA0903	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_52600	0.5060103703626749	0.0	alaS	most stable
PA0543	[]	PA14_07050	0.5003609115618739	0.0		most stable
PA3801	[]	PA14_14900	0.5133853092317155	0.0		most stable
PA4751	[]	PA14_62860	0.5127422228213506	0.0	ftsH	most stable
PA5008	[]	PA14_66210	0.515650978510675	0.0	wapP	most stable
PA2402	[]	PA14_33610	0.5271993768749733	0.0		most stable
PA0078	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	PA14_00925	0.5951759281152224	0.0	tssL1	most stable
PA1709	[]	PA14_42440	0.5499555204209714	0.0	popD	most stable
PA1697	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	PA14_42570	0.5318722843072938	0.0		most stable
PA3450	[]	PA14_19490	0.534943238447933	0.0	lsfA	most stable
PA2151	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	PA14_36740	0.5635045971534648	0.0		most stable
PA4348	[]	PA14_56540	0.5446102572995171	0.0		most stable
PA3019	[]	PA14_25020	0.5160024189915673	0.0		most stable
PA0959	[]	PA14_51860	0.5148179962765363	0.0		most stable
PA5441	[]	PA14_71840	0.5596411868172007	0.0		most stable
PA1276	['KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism', 'KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin']	PA14_47720	0.5055843219399095	0.0	cobC	most stable
PA4275	[]	PA14_08710	0.5038228739006535	0.0	nusG	most stable
PA2169	[]	PA14_36530	0.5384964624996234	0.0		most stable
PA4745	[]	PA14_62770	0.6312665349098028	0.0	nusA	most stable
PA1794	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_41380	0.5347800885764975	0.0	glnS	most stable
PA0578	[]	PA14_07550	0.5494937717364565	0.0		most stable
PA0300	['KEGG-Module-M00300: Putrescine transport system']	PA14_03920	0.5364002534984941	0.0	spuD	most stable
PA3643	['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']	PA14_17220	0.5269145944015595	0.0	lpxB	most stable
PA0079	['KEGG-Module-M00334: Type VI secretion system']	PA14_00940	0.5993668550319793	0.0	tssK1	most stable
PA4946	['KEGG-Pathway-pae03430: Mismatch repair']	PA14_65350	0.5878287967375164	0.0	mutL	most stable
PA0586	[]	PA14_07650	0.5429724693085333	0.0		most stable
PA5427	['KEGG-Pathway-pae00071: Fatty acid degradation', 'KEGG-Pathway-pae00350: Tyrosine metabolism', 'KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation', 'KEGG-Pathway-pae01220: Degradation of aromatic compounds', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis']	PA14_71630	0.5030272166570553	0.0	adhA	most stable
PA0588	[]	PA14_07680	0.5485529417046116	0.0		most stable
PA2998	[]	PA14_25305	0.527423096325754	0.0	nqrB	most stable
PA1658	['KEGG-Module-M00334: Type VI secretion system']	PA14_43030	0.5476901415899641	0.0	hsiC2	most stable
PA5458	[]	PA14_72040	0.5001352743108909	0.0		most stable
PA2851	[]	PA14_27210	0.5057722220350134	0.0	efp	most stable
PA5475	[]	PA14_72260	0.5601105913996105	0.0		most stable
PA4411	['KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism', 'KEGG-Pathway-pae00550: Peptidoglycan biosynthesis']	PA14_57330	0.5246775260718729	0.0	murC	most stable
PA4304	[]	PA14_55920	0.5047218398645787	0.0	rcpA	most stable
PA3687	['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00680: Methane metabolism']	PA14_16690	0.518498453991611	0.0	ppc	most stable
PA1714	[]	PA14_42380	0.5760229284818361	0.0	exsD	most stable
PA4854	['KEGG-Pathway-pae00670: One carbon pool by folate', 'KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP']	PA14_64200	0.5459647205461752	0.0	purH	most stable
PA4273	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_08730	0.5609676574192888	0.0	rplA	most stable
PA3107	['KEGG-Pathway-pae00270: Cysteine and methionine metabolism', 'KEGG-Pathway-pae00920: Sulfur metabolism']	PA14_23930	0.5223001217401355	0.0	metZ	most stable
PA3909	[]	PA14_13340	0.5174853098253019	0.0	eddB	most stable
PA2604	[]	PA14_30410	0.5034653458554009	0.0		most stable
PA4246	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_09020	0.5657158832965653	0.0	rpsE	most stable
PA1588	['KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00640: Propanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	PA14_43950	0.5770355394038629	0.0	sucC	most stable
PA4925	[]	PA14_65040	0.5256474145385007	0.0		most stable
PA1698	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	PA14_42550	0.5650688894530583	0.0	popN	most stable
PA3311	[]	PA14_21190	0.519454774353747	0.0	nbdA	most stable
PA0518	['KEGG-Pathway-pae00920: Sulfur metabolism']	PA14_06740	0.5074559206676394	0.0	nirM	most stable
PA2194	['KEGG-Pathway-pae00460: Cyanoamino acid metabolism']	PA14_36320	0.5093186088290321	0.0	hcnB	most stable
PA0392	[]	PA14_05130	0.5053151197992661	0.0		most stable
PA1408	[]	PA14_46240	0.5079476737141234	0.0		most stable
PA5345	['KEGG-Pathway-pae03440: Homologous recombination']	PA14_70570	0.5070639858596121	0.0	recG	most stable
PA3444	['KEGG-Pathway-pae00920: Sulfur metabolism']	PA14_19560	0.5713170411107666	0.0		most stable
PA1723	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	PA14_42270	0.5277434740951095	0.0	pscJ	most stable
PA2793	[]	PA14_28000	0.5185247165500378	0.0		most stable
PA0587	[]	PA14_07660	0.5058830345930188	0.0		most stable
PA5487	[]	PA14_72420	0.5195019259013797	0.0		most stable
PA0955	[]	PA14_51910	0.5629844954987879	0.0		most stable
PA4244	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_09040	0.5583569230969102	0.0	rplO	most stable
PA3028	[]	PA14_24910	0.5264111174925934	0.0	moeA2	most stable
PA1810	['KEGG-Module-M00349: Microcin C transport system']	PA14_41130	0.5723442231091979	0.0	nppA2	most stable
PA2687	[]	PA14_29360	0.515882348640415	0.0	pfeS	most stable
PA2572	[]	PA14_30830	0.5019872364033319	0.0		most stable
PA4274	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_08720	0.5820534950294911	0.0	rplK	most stable
PA1838	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00616: Sulfate-sulfur assimilation', 'KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S']	PA14_40770	0.5037596857109132	0.0	cysI	most stable
PA3440	[]	PA14_19610	0.5429120958777265	0.0		most stable
PA3937	['KEGG-Pathway-pae00920: Sulfur metabolism']	PA14_12940	0.5547631269291249	0.0		most stable
PA1586	['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00310: Lysine degradation', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	PA14_44000	0.5525773863819632	0.0	sucB	most stable
PA0072	['KEGG-Module-M00258: Putative ABC transport system']	PA14_00850	0.5388421047063611	0.0	tagS1	most stable
PA4750	['KEGG-Pathway-pae00790: Folate biosynthesis', 'KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF']	PA14_62850	0.5559430554008804	0.0	folP	most stable
PA4253	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_08950	0.5374562071863342	0.0	rplN	most stable
PA0381	['KEGG-Pathway-pae00730: Thiamine metabolism']	PA14_04980	0.5324840801152438	0.0	thiG	most stable
PA3656	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_17060	0.5911290481017709	0.0	rpsB	most stable
PA4476	[]	PA14_58090	0.5456938265991057	0.0		most stable
PA4248	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_09000	0.6099227048035065	0.0	rplF	most stable
PA1073	['KEGG-Module-M00237: Branched-chain amino acid transport system']	PA14_50530	0.5201382872242706	0.0	braD	most stable
PA5536	[]	PA14_73020	0.5044852331572863	0.0	dksA2	most stable
PA4965	[]	PA14_65630	0.5050217790480742	0.0		most stable
PA3495	['KEGG-Pathway-pae03410: Base excision repair']	PA14_18880	0.5069838952459279	0.0	nth	most stable
PA5113	[]	PA14_67520	0.5828127308417924	0.0		most stable
PA0525	[]	PA14_06840	0.5411383400171069	0.0		most stable
PA3729	[]	PA14_16180	0.5658428010159979	0.0		most stable
PA3981	[]	PA14_12330	0.5768148339732204	0.0		most stable
PA2366	['KEGG-Module-M00334: Type VI secretion system']	PA14_34050	0.5458823319801659	0.0	hsiC3	most stable
PA1562	['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate']	PA14_44290	0.5294844885774833	0.0	acnA	most stable
PA4385	['KEGG-Pathway-pae03018: RNA degradation']	PA14_57010	0.5185865544258672	0.0	groEL	most stable
PA0073	['KEGG-Module-M00258: Putative ABC transport system']	PA14_00860	0.5569280186881551	0.0	tagT1	most stable
PA0080	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	PA14_00960	0.5366873504697004	0.0	tssJ1	most stable
PA4483	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis']	PA14_58180	0.5615959682441535	0.0	gatA	most stable
PA4859	['KEGG-Module-M00323: Urea transport system']	PA14_64280	0.5047365664166817	0.0		most stable
PA2127	[]	PA14_37070	0.5181303981715716	0.0	cgrA	most stable
PA3491	[]	PA14_18920	0.5281431415043504	0.0		most stable
PA2621	[]	PA14_30210	0.5281921481993085	0.0	clpS	most stable
PA1587	['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis', 'KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA', 'KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	PA14_43970	0.532053303615526	0.0	lpd	most stable
PA2071	[]	PA14_37710	0.5314212550201913	0.0	fusA2	most stable
PA3746	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export', 'KEGG-Module-M00335: Sec (secretion) system']	PA14_15960	0.5181393347551647	0.0	ffh	most stable
PA0622	[]	PA14_08070	0.5494855977504745	0.0		most stable
PA2684	[]	PA14_29400	0.5140812105048669	0.0	tse5	most stable
PA0165	[]	PA14_02060	0.5106258235045196	0.0		most stable
PA5077	[]	PA14_67065	0.6128778196457587	0.0	opgH	most stable
PA5495	['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine']	PA14_72510	0.5103204971171389	0.0	thrB	most stable
PA2032	[]	PA14_38250	0.5287915484967108	0.0		most stable
PA3383	['KEGG-Module-M00223: Phosphonate transport system']	PA14_20320	0.5516166754801598	0.0		most stable
PA0075	['KEGG-Pathway-pae03070: Bacterial secretion system']	PA14_00890	0.5289599572888966	0.0	pppA	most stable
PA2164	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	PA14_36580	0.5427804592234455	0.0		most stable
PA1808	['KEGG-Module-M00349: Microcin C transport system']	PA14_41150	0.5512146204698376	0.0	nppC	most stable
PA4263	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_08850	0.5283780676904408	0.0	rplC	most stable
PA0519	['KEGG-Pathway-pae00910: Nitrogen metabolism', 'KEGG-Module-M00529: Denitrification, nitrate => nitrogen']	PA14_06750	0.5079378410868831	0.0	nirS	most stable
PA2163	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	PA14_36590	0.6057314480084584	0.0		most stable
PA0083	['KEGG-Module-M00334: Type VI secretion system']	PA14_01010	0.6368627687626474	0.0	tssB1	most stable
PA1770	['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00680: Methane metabolism']	PA14_41670	0.5674568481189873	0.0	ppsA	most stable
PA0624	[]	PA14_08100	0.5644448197286922	0.0		most stable
PA5556	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	PA14_73260	0.5469712257993437	0.0	atpA	most stable
PA1069	[]	PA14_50570	0.5046936890011676	0.0		most stable
PA3700	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_16530	0.6328191904486199	0.0	lysS	most stable
PA2153	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	PA14_36710	0.5808619235187469	0.0	glgB	most stable
PA4484	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis']	PA14_58190	0.5951596469242875	0.0	gatB	most stable
PA1804	[]	PA14_41210	0.5258049257639734	0.0	hupB	most stable
PA3743	[]	PA14_15990	0.550238772062339	0.0	trmD	most stable
PA2986	[]	PA14_25450	0.5157394014705007	0.0	lolC	most stable
PA5346	[]	PA14_70580	0.5033136353658434	0.0	sadB	most stable
PA0093	[]	PA14_01140	0.5086158963030529	0.0	tse6	most stable
PA0002	['KEGG-Pathway-pae03440: Homologous recombination', 'KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Pathway-pae03030: DNA replication', 'KEGG-Pathway-pae03430: Mismatch repair', 'KEGG-Module-M00260: DNA polymerase III complex, bacteria']	PA14_00020	0.5251406497981839	0.0	dnaN	most stable
PA4245	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_09030	0.5152085018427837	0.0	rpmD	most stable
PA0515	[]	PA14_06710	0.5390039093192036	0.0		most stable
PA4265	[]	PA14_08830	0.5797518192045381	0.0	tufA	most stable
PA3417	['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis', 'KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA']	PA14_19900	0.5011528845148963	0.0		most stable
PA1712	[]	PA14_42400	0.5081177555833409	0.0	exsB	most stable
PA5025	['KEGG-Pathway-pae00270: Cysteine and methionine metabolism']	PA14_66440	0.5199242933525896	0.0	metY	most stable
PA1789	[]	PA14_41440	0.5444687276937332	0.0		most stable
PA5244	[]	PA14_69250	0.5051823452355932	0.0		most stable
PA4112	[]	PA14_10770	0.5424424143001523	0.0		most stable
PA1673	[]	PA14_42860	0.5136474632907483	0.0		most stable
PA1584	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00650: Butanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	PA14_44020	0.5516013037883638	0.0	sdhB	most stable
PA4234	['KEGG-Pathway-pae03420: Nucleotide excision repair']	PA14_09180	0.5139739198319794	0.0	uvrA	most stable
PA5323	['KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine']	PA14_70280	0.5262214763794503	0.0	argB	most stable
PA4934	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_65170	0.5082102585221755	0.0	rpsR	most stable
PA5231	[]	PA14_69070	0.5005669603807232	0.0		most stable
PA3975	['KEGG-Pathway-pae00730: Thiamine metabolism']	PA14_12410	0.5029169052757483	0.0	thiD	most stable
PA2424	[]	PA14_33280	0.5650211022821182	0.0	pvdL	most stable
PA2467	[]	PA14_32720	0.5159130981120805	0.0	foxR	most stable
PA4568	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_60460	0.5000486929634133	0.0	rplU	most stable
PA0087	['KEGG-Module-M00334: Type VI secretion system']	PA14_01060	0.6226016003943949	0.0	tssE1	most stable
PA5317	[]	PA14_70200	0.5259277055680603	0.0	dppA5	most stable
PA0429	[]	PA14_05580	0.508664594031815	0.0		most stable
PA4237	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_09130	0.5880519329496736	0.0	rplQ	most stable
PA2392	[]	PA14_33740	0.5217699819004306	0.0	pvdP	most stable
PA4261	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	PA14_08870	0.5667245021280617	0.0	rplW	most stable
PA4044	['KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis', 'KEGG-Pathway-pae00730: Thiamine metabolism']	PA14_11550	0.5078262015375566	0.0	dxs	most stable
PA4319	[]	PA14_56110	0.5386733930344223	0.0		most stable
PA4701	[]	PA14_62230	0.5121745639119912	0.0		most stable
PA5047	[]	PA14_66690	0.5370798715263462	0.0		most stable
PA5027	[]	PA14_66460	0.5352189347598809	0.0		most stable
