PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label	pathways present
PA4988	PA14_65960	0.4747450215822076	6.847478104408654e-299	waaA		['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']
PA0814	PA14_53740	0.2830698373727741	4.0698098102020665e-99			[]
PA1228	PA14_48400	0.4062994146134922	8.85618095169065e-212			[]
PA1606	PA14_43730	0.35581532575092684	2.0582363658761311e-159			[]
PA1261	PA14_47910	0.3632914953189961	1.3657294969845904e-166	lhpR		[]
PA0956	PA14_51900	0.5810965730552355	0.0	proS	most stable	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']
PA0852	PA14_53250	0.4203005335855364	5.314725814227298e-228	cbpD		[]
PA1726	PA14_42230	0.3729752173512021	3.5283324528098025e-176	bglX		['KEGG-Pathway-pae00500: Starch and sucrose metabolism', 'KEGG-Pathway-pae00460: Cyanoamino acid metabolism']
PA4725	PA14_62530	0.4949975872883868	0.0	cbrA		[]
PA4471	PA14_58040	0.4733955121792233	5.66347322246342e-297			[]
PA2389	PA14_33770	0.3876549494774962	2.3599068197435688e-191	pvdR		[]
PA2645	PA14_29900	0.31823404301654984	3.6175629602592e-126	nuoJ		['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes']
PA3445	PA14_19540	0.5274969947261723	0.0		most stable	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00436: Sulfonate transport system']
PA5263	PA14_69500	0.4556373239315893	1.5816056911172904e-272	argH		['KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism']
PA2249	PA14_35500	0.4020262159545984	5.564529765636351e-207	bkdB		['KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation', 'KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA']
PA5351	PA14_70640	0.28247366198199925	1.0863851386318688e-98	rubA1		[]
PA2443	PA14_33030	0.29088563030507136	8.350315934287621e-105	sdaA		['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Pathway-pae00270: Cysteine and methionine metabolism']
PA1153	PA14_49500	0.04875834008633796	0.000360650836498578		least stable	[]
PA0759	PA14_54480	0.3527206393051201	1.6927064984231658e-156			[]
PA4013	PA14_11930	0.3317306813374761	1.417685773176081e-137			[]
PA5461	PA14_72070	0.44486433134741055	2.178016644738237e-258			[]
PA1576	PA14_44120	0.3786069682995735	6.581132313103778e-182			['KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation']
PA4746	PA14_62780	0.5771535121821204	0.0		most stable	[]
PA3673	PA14_16860	0.3893624118713509	3.6032611260590125e-193	plsB		['KEGG-Pathway-pae00561: Glycerolipid metabolism', 'KEGG-Pathway-pae00564: Glycerophospholipid metabolism']
PA0164	PA14_02050	0.25943257424095634	5.2643937784124886e-83			['KEGG-Pathway-pae00480: Glutathione metabolism', 'KEGG-Pathway-pae00590: Arachidonic acid metabolism', 'KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism', 'KEGG-Pathway-pae00460: Cyanoamino acid metabolism']
PA0948	PA14_52000	0.3065205947526041	9.787924673682733e-117			[]
PA4764	PA14_63020	0.4673627237254947	1.6620608920139454e-288	fur		[]
PA3554	PA14_18350	0.4770048100749866	4.028920451270033e-302	arnA		['KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism']
PA3812	PA14_14750	0.3931834914115647	2.8378807435318533e-197	iscA		[]
PA2384	PA14_33830	0.4612009119923749	4.958762903537608e-280			[]
PA2827	PA14_27510	0.38555512771132616	3.905425142377662e-189			[]
PA0825	PA14_53630	0.14810021208716934	1.2984658374985487e-27		least stable	[]
PA1128	PA14_49790	0.33976916009310193	1.1952053859108413e-144			[]
PA0637	PA14_08250	0.4780234278474639	1.3839598902647e-303			[]
PA5256	PA14_69400	0.4067865314195375	2.487729272533608e-212	dsbH		[]
PA4606	PA14_60950	0.3781694408946263	1.8513634525969758e-181			[]
PA0310	PA14_04050	0.28988412819564274	4.5784862952908494e-104			[]
PA0318	PA14_04150	0.3401345404770577	5.634379128917378e-145			[]
PA1961	PA14_39160	0.2494074924249799	1.1785890928395744e-76			[]
PA5261	PA14_69470	0.5854829750552255	0.0	algR	most stable	[]
PA0079	PA14_00940	0.5993668550319795	0.0	tssK1	most stable	['KEGG-Module-M00334: Type VI secretion system']
PA4739	PA14_62690	0.4269161524172397	6.13335050458114e-236			[]
PA2254	PA14_35430	0.2274638800888985	9.889827107373347e-64	pvcA		[]
PA4701	PA14_62230	0.5121745639119912	0.0		most stable	[]
PA3885	PA14_13660	0.2131494239469731	5.252165276660833e-56	tpbA		[]
PA1183	PA14_49130	0.19663746855813188	9.042641287614051e-48	dctA	least stable	[]
PA0056	PA14_00680	0.3527794915580729	1.4909035866073244e-156			[]
PA2884	PA14_26770	0.36549727510274055	9.559827529903253e-169			[]
PA5274	PA14_69630	0.4388578591675443	1.0055324122421907e-250	rnk		[]
PA3276	PA14_21650	0.2402463128006379	4.247730899889272e-71			[]
PA4243	PA14_09050	0.594333131321796	0.0	secY	most stable	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export', 'KEGG-Module-M00335: Sec (secretion) system']
PA1406	PA14_46260	0.2687444421335917	3.6918021054428414e-89			[]
PA4726	PA14_62540	0.4951607889594262	0.0	cbrB		[]
PA4223	PA14_09300	0.4230330440708737	2.940501421034641e-231			[]
PA3696	PA14_16590	0.3958552110343793	3.55780021857101e-200			[]
PA3477	PA14_19120	0.5157457631203144	0.0	rhlR	most stable	['KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD']
PA4135	PA14_10480	0.2023109894589911	1.6109280549847543e-50			[]
PA3343	PA14_20820	0.3528031080360733	1.4168458604328675e-156	hsbD		[]
PA2374	PA14_33940	0.27601609292474377	3.8691966891214167e-94			[]
PA5497	PA14_72540	0.29395427793595724	4.350630953836195e-107	nrdJa		['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP']
PA1309	PA14_47310	0.3526495035786211	1.973354214436896e-156			[]
PA1311	PA14_47280	0.2459005201369356	1.6830890006023555e-74	phnX		['KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism']
PA3656	PA14_17060	0.5911290481017707	0.0	rpsB	most stable	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']
PA1287	PA14_47550	0.296392119171739	6.375152364372481e-109			['KEGG-Pathway-pae00480: Glutathione metabolism', 'KEGG-Pathway-pae00590: Arachidonic acid metabolism']
PA2034	PA14_38210	0.5404244736434439	0.0		most stable	[]
PA4008	PA14_11990	0.2618479791231225	1.408843613945432e-84			[]
PA3117	PA14_23800	0.35130963170881485	3.5226737867203837e-155	asd		['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Pathway-pae00270: Cysteine and methionine metabolism', 'KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00300: Lysine biosynthesis', 'KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine', 'KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine']
PA1340	PA14_46930	0.36316697318585023	1.8051314261630168e-166	aatM		['KEGG-Module-M00230: Glutamate/aspartate transport system']
PA3687	PA14_16690	0.518498453991611	0.0	ppc	most stable	['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00680: Methane metabolism']
PA2312	PA14_34730	0.4869898087454506	1.08978866e-316			[]
PA2663	PA14_29650	0.2970618042753964	1.9838803966695155e-109	ppyR		[]
PA2528	PA14_31870	0.3264338986924427	4.987694813068781e-133	muxA		[]
PA2926	PA14_26210	0.3141203568910261	8.315353129036007e-123	hisP		[]
PA0916	PA14_52420	0.4953665823409821	0.0			[]
PA0608	PA14_07930	0.4409200537616004	2.4457624351423955e-253			['KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism']
PA3636	PA14_17310	0.4252563711384503	6.250870525828779e-234	kdsA		['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']
PA4897	PA14_64710	0.4146953788691344	2.0547226155742878e-221			[]
PA4400	PA14_57190	0.28229487756382843	1.4576495863738238e-98	mutT		[]
PA4143	PA14_10340	0.2556792975043045	1.3549868211128897e-80			[]
PA3571	PA14_18110	0.3734035309104381	1.3056674852983938e-176	mmsR		[]
PA2454	PA14_32880	0.35428939782294044	5.687908221668291e-158			[]
PA2413	PA14_33500	0.4324633321061169	9.853682813256395e-243	pvdH		['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism']
PA5389	PA14_71170	0.3911792800330233	4.094834709546146e-195	cdhR		[]
PA0452	PA14_05890	0.3218210133803456	3.834407978726593e-129			[]
PA1518	PA14_44820	0.2930461439406842	2.0757729986914944e-106			['KEGG-Pathway-pae00230: Purine metabolism']
PA2591	PA14_30580	0.4701288846120548	2.286672334134563e-292	vqsR		[]
PA5327	PA14_70330	0.2746155239134776	3.6198095620591903e-93	sphC		[]
PA3896	PA14_13500	0.2645063224750941	2.505932551028135e-86			['KEGG-Pathway-pae00030: Pentose phosphate pathway']
PA4009	PA14_11980	0.32999238840320755	4.503930029443779e-136			[]
PA4928	PA14_65080	0.4584305459246905	2.8134770793469876e-276			[]
PA0870	PA14_53010	0.3488825528177102	6.290478985135438e-153	phhC		['KEGG-Pathway-pae00360: Phenylalanine metabolism', 'KEGG-Pathway-pae00270: Cysteine and methionine metabolism', 'KEGG-Pathway-pae00350: Tyrosine metabolism', 'KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis', 'KEGG-Pathway-pae00401: Novobiocin biosynthesis', 'KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine', 'KEGG-Module-M00034: Methionine salvage pathway']
PA3491	PA14_18920	0.5281431415043504	0.0		most stable	[]
PA2705	PA14_29160	0.31968445453594874	2.293444048469619e-127			[]
PA5426	PA14_71620	0.4782624457598132	6.264150650453581e-304	purE		['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP']
PA1809	PA14_41140	0.4805174436757685	3.4311522480496294e-307	nppB		['KEGG-Module-M00349: Microcin C transport system']
PA4923	PA14_65010	0.33246329822260146	3.277973614619962e-138			[]
PA3376	PA14_20400	0.4647819233121282	6.185617054440859e-285			[]
PA0840	PA14_53400	0.3522000724410392	5.196724184777774e-156			[]
PA4944	PA14_65310	0.3373967732912413	1.5391646710776728e-142	hfq		['KEGG-Pathway-pae03018: RNA degradation']
PA4229	PA14_09230	0.4145202273427357	3.2853087699574357e-221	pchC		[]
PA2985	PA14_25470	0.3355640652423292	6.375159513990181e-141			[]
PA3299	PA14_21370	0.44956660680601596	1.6952168214915288e-264	fadD1		['KEGG-Pathway-pae00071: Fatty acid degradation', 'KEGG-Pathway-pae01212: Fatty acid metabolism']
PA5539	PA14_73050	0.4606477448274698	2.8034642749008892e-279			['KEGG-Pathway-pae00790: Folate biosynthesis', 'KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF']
PA4804	PA14_63480	0.3097809764782618	2.560111358005222e-119			[]
PA4605	PA14_60930	0.405676951376366	4.472705572592058e-211			[]
PA2350	PA14_34270	0.3307161258615478	1.0700915575917867e-136			['KEGG-Module-M00238: D-Methionine transport system']
PA5211	PA14_68830	0.4716193280633728	1.8357439564825633e-294			[]
PA5220	PA14_68940	0.4546376091941019	3.4097280171607466e-271			[]
PA4769	PA14_63070	0.2931996429498683	1.5945868697219953e-106			[]
PA2479	PA14_32580	0.10090653953190122	1.3913976243138441e-13		least stable	[]
PA5361	PA14_70760	0.3399666325337778	7.961336585949704e-145	phoR		[]
PA0426	PA14_05540	0.31861788445014416	1.7459859183922265e-126	mexB		['KEGG-Pathway-pae00312: beta-Lactam resistance', 'KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC']
PA4588	PA14_60710	0.24427543156061796	1.6329560020650132e-73	gdhA		['KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism', 'KEGG-Pathway-pae00910: Nitrogen metabolism']
PA4890	PA14_64640	0.4312323428507761	3.2531007891605646e-241	desT		[]
PA2806	PA14_27850	0.3381554266237265	3.270452329538244e-143			['KEGG-Pathway-pae00790: Folate biosynthesis']
PA3954	PA14_12710	0.2798126871726761	8.441724419046104e-97			['KEGG-Pathway-pae00920: Sulfur metabolism']
PA0958	PA14_51880	0.3659924627399716	3.1213437134427325e-169	oprD		['KEGG-Pathway-pae00312: beta-Lactam resistance']
PA4559	PA14_60360	0.5038660119240709	0.0	lspA	most stable	['KEGG-Pathway-pae03060: Protein export']
PA0172	PA14_02150	0.3580415933197167	1.5709017799817999e-161	siaA		[]
PA0419	PA14_05450	0.28613840150305875	2.5011887724710386e-101			[]
PA4233	PA14_09195	0.4345525461565605	2.521271981288359e-245			[]
PA1907	PA14_39860	0.28639974576257365	1.6162578153210683e-101			[]
PA2933	PA14_26110	0.18898546926045567	3.4027228070375785e-44		least stable	[]
PA5559	PA14_73300	0.5550776621767478	0.0	atpE	most stable	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']
PA3169	PA14_23250	0.30185205317743063	4.2789434120559926e-113			['KEGG-Pathway-pae00270: Cysteine and methionine metabolism', 'KEGG-Module-M00034: Methionine salvage pathway']
PA1162	PA14_49380	0.4032174744494784	2.599512778913016e-208	dapE		['KEGG-Pathway-pae00300: Lysine biosynthesis', 'KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine']
PA4961	PA14_65570	0.4591726578370365	2.799472413020541e-277			[]
PA1956	PA14_39220	0.29804394058339106	3.560750028100717e-110	fapA		[]
PA1155	PA14_49470	0.4367443251579827	4.5995848804101035e-248	nrdB		['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP']
PA4322	PA14_56160	0.41246388667325	7.951486903372533e-219			[]
PA2664	PA14_29640	0.25451053606223706	7.489404891288707e-80	fhp		[]
PA0267	PA14_03470	0.4456861198212098	1.8940225132342096e-259			[]
PA2984	PA14_25480	0.4322942576712001	1.594274796095071e-242			[]
PA5206	PA14_68770	0.4558288334100628	8.77233886708784e-273	argE		['KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine']
PA2565	PA14_31360	0.3245104926138085	2.1203899499512588e-131			[]
PA0155	PA14_01930	0.3826557697426634	4.252437191558755e-186	pcaR		[]
PA3623	PA14_17470	0.4596889907098386	5.601973349871505e-278			[]
PA3918	PA14_13230	0.3416339523314256	2.5466037154077276e-146	moaC		['KEGG-Pathway-pae04122: Sulfur relay system', 'KEGG-Pathway-pae00790: Folate biosynthesis']
PA4698	PA14_62180	0.37988398093282894	3.1862887744783426e-183			[]
PA1459	PA14_45580	0.4328587138954483	3.194979770190155e-243			['KEGG-Pathway-pae02030: Bacterial chemotaxis', 'KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system']
PA3399	PA14_20120	0.3618371039923263	3.523182286730666e-165			[]
PA0722	PA14_48950	0.2162617144059334	1.2228204651501818e-57			[]
PA0490	PA14_06390	0.47854408839800394	2.4595532923592313e-304			[]
PA1873	PA14_40270	0.33150773741629264	2.211913376562175e-137			[]
PA3467	PA14_19270	0.4223672831040536	1.8397950269310516e-230			[]
PA4127	PA14_10590	0.2262434554099293	4.734796325939313e-63	hpcG		['KEGG-Pathway-pae00350: Tyrosine metabolism']
PA3099	PA14_24050	0.33755060059423336	1.1247182687981387e-142	xcpV		['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00331: Type II general secretion pathway']
PA5129	PA14_67740	0.3772619676205298	1.5738146843628585e-180	grxC		[]
PA3121	PA14_23750	0.32309620311384435	3.2832957663247542e-130	leuC		['KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism', 'KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis', 'KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate']
PA4852	PA14_64180	0.5373158710414304	0.0		most stable	[]
PA3682	PA14_16740	0.4325020891688086	8.824308371155636e-243			[]
PA2217	PA14_36050	0.2595552844233538	4.383909444820957e-83			['KEGG-Pathway-pae00930: Caprolactam degradation', 'KEGG-Pathway-pae01220: Degradation of aromatic compounds']
PA1948	PA14_39320	0.3227260291050208	6.709586463201726e-130	rbsC		[]
PA0971	PA14_51730	0.3811988643812431	1.3902487812244778e-184	tolA		[]
PA2816	PA14_27720	0.2615800850737733	2.1090548667310835e-84			[]
PA2076	PA14_37660	0.34803756136777714	3.7843090587294085e-152			[]
PA2171	PA14_36520	0.5251581488808799	0.0		most stable	[]
PA0999	PA14_51390	0.2547455459058951	5.314416927549044e-80	pqsD		[]
PA1534	PA14_44610	0.3501743738796975	4.0052518946152324e-154	recR		['KEGG-Pathway-pae03440: Homologous recombination']
PA1319	PA14_47180	0.3714587616745125	1.177312528062778e-174	cyoC		['KEGG-Pathway-pae00190: Oxidative phosphorylation']
PA2653	PA14_29770	0.4904376463099608	7.8e-322			[]
PA5555	PA14_73250	0.5402410187103953	0.0	atpG	most stable	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']
PA2935	PA14_26080	0.2367826460521245	4.662064664386934e-69			[]
PA0199	PA14_02510	0.3101983370765732	1.1893244767189468e-119	exbD1		[]
PA0780	PA14_54190	0.27830400272534445	9.749722409499905e-96	pruR		[]
PA0009	PA14_00100	0.5592401027685503	0.0	glyQ	most stable	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']
PA5342	PA14_70530	0.33217937844352	5.784682085757636e-138			[]
PA0698	PA14_55290	0.4161364843388412	4.276815955697568e-223			[]
PA4687	PA14_62000	0.4238507866886474	3.0748125504216838e-232	hitA		['KEGG-Module-M00190: Iron(III) transport system']
PA1317	PA14_47210	0.3849476316689865	1.7003970331619467e-188	cyoA		['KEGG-Pathway-pae00190: Oxidative phosphorylation']
PA1516	PA14_44840	0.3617896509149472	3.916220497406376e-165			[]
PA1173	PA14_49260	0.3699053427056109	4.196360168451676e-173	napB		['KEGG-Pathway-pae00910: Nitrogen metabolism', 'KEGG-Module-M00529: Denitrification, nitrate => nitrogen', 'KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia']
PA0713	PA14_55110	0.3740079306530686	3.20249077833136e-177			[]
PA3941	PA14_12890	0.3090065728325987	1.0583313079286175e-118			[]
PA2634	PA14_30050	0.3714682702018293	1.1517697560680128e-174	aceA		['KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism']
PA2212	PA14_36100	0.21998106763662212	1.2647024025867176e-59			['KEGG-Pathway-pae00750: Vitamin B6 metabolism', 'KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P']
PA0777	PA14_54230	0.39066014273878974	1.4759933119478334e-194			['KEGG-Module-M00236: Putative polar amino acid transport system']
PA1978	PA14_38930	0.4458612715834997	1.124449914411485e-259	erbR		[]
PA4803	PA14_63470	0.3092958067794589	6.232076406448648e-119			[]
PA4432	PA14_57580	0.5739225762347093	0.0	rpsI	most stable	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']
PA1036	PA14_50930	0.24201356698624474	3.7526546730056435e-72			[]
PA4576	PA14_60550	0.36765230025867135	7.222007151206318e-171			[]
PA5349	PA14_70620	0.3251236097727372	6.435588045583268e-132	rubB		['KEGG-Pathway-pae00071: Fatty acid degradation']
PA3856	PA14_14130	0.3227336500252593	6.611654144315912e-130			[]
PA4573	PA14_60520	0.43228581658464493	1.6330243943413878e-242			[]
PA5095	PA14_67280	0.3271189889372583	1.303091908199144e-133			['KEGG-Module-M00208: Glycine betaine/proline transport system']
PA5380	PA14_71070	0.3901348701212976	5.388795837159771e-194	gbdR		[]
PA2392	PA14_33740	0.5217699819004306	0.0	pvdP	most stable	[]
PA2079	PA14_37630	0.3596984811721303	4.066792756113309e-163			[]
PA0061	PA14_00730	0.3700692122586504	2.8811010330382423e-173			[]
PA3328	PA14_21010	0.4239884189424115	2.101398959106356e-232			[]
PA0107	PA14_01310	0.43120492345310985	3.51603912796207e-241			['KEGG-Pathway-pae00190: Oxidative phosphorylation']
PA5160	PA14_68140	0.3468642571370402	4.529955577676073e-151			[]
PA1836	PA14_40790	0.2100056617386581	2.2065767973525436e-54			[]
PA0770	PA14_54330	0.506189336873174	0.0	rnc	most stable	[]
PA3465	PA14_19310	0.4826256142135105	2.9118118018683e-310			[]
PA2187	PA14_36360	0.31374626197256017	1.6708220024159442e-122			[]
PA3535	PA14_18630	0.4780830421320746	1.1357577994741344e-303			[]
PA2844	PA14_27310	0.3317644564946626	1.3252524676307479e-137			[]
PA5045	PA14_66670	0.35273956583637	1.6249978624648599e-156	ponA		['KEGG-Pathway-pae00312: beta-Lactam resistance', 'KEGG-Pathway-pae00550: Peptidoglycan biosynthesis']
PA4234	PA14_09180	0.5139739198319794	0.0	uvrA	most stable	['KEGG-Pathway-pae03420: Nucleotide excision repair']
PA2191	PA14_36345	0.4284450464447689	8.468776612706507e-238	exoY		[]
PA3222	PA14_22560	0.2957735810689621	1.8686925146078374e-108			[]
PA5250	PA14_69320	0.32212155029638223	2.150814873085351e-129			[]
PA4361	PA14_56720	0.5063663952264715	0.0		most stable	[]
PA4182	PA14_09790	0.2400041176863376	5.9143458544233885e-71			[]
PA1583	PA14_44030	0.6045086068875974	0.0	sdhA	most stable	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00650: Butanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']
PA0797	PA14_53920	0.28416963532241873	6.60985669414791e-100			[]
PA4158	PA14_10180	0.3174205201846433	1.6881465892442202e-125	fepC		['KEGG-Module-M00240: Iron complex transport system']
PA5374	PA14_70970	0.3002076277464625	7.902669976825444e-112	betI		[]
PA2622	PA14_30200	0.3884074160758331	3.7483461110703155e-192	cspD		[]
PA3217	PA14_22620	0.34862841408497103	1.0797397367483401e-152	cyaB		[]
PA1967	PA14_39090	0.3631686004042096	1.7985648425662756e-166			[]
