Cluster_ID,PA14_ID (for reference),Gene description (PATRIC),Turner K.H. et al 2015,Lee S.A. et al 2015,Skurnik D. et al 2013,Liberati N.T. et al 2006,This study
7000,PA14_12120,Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181),E,E,E,E,E
8814,PA14_12130,Lipoyl synthase (EC 2.8.1.8),,E,,E,E
7004,PA14_12200,DNA polymerase III delta subunit (EC 2.7.7.7),E,E,,E,E
7003,PA14_12210,LPS-assembly lipoprotein LptE,,E,E,E,E
9124,PA14_12230,Leucyl-tRNA synthetase (EC 6.1.1.4),E,E,E,,E
4162,PA14_12280,Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE,E,E,,E,E
4342,PA14_12310,"Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly",E,E,E,E,E
5838,PA14_14440,Valyl-tRNA synthetase (EC 6.1.1.9),E,E,E,E,E
5166,PA14_14500,Lipopolysaccharide export system permease protein LptF,E,E,E,,E
8861,PA14_14510,Lipopolysaccharide export system permease protein LptG,E,E,E,E,E
5865,PA14_14630,Protein translocase subunit SecD,E,E,E,,E
5807,PA14_14650,Protein translocase subunit SecF,,E,E,E,E
8852,PA14_14680,Inositol-1-monophosphatase (EC 3.1.3.25),,,,,E
4163,PA14_14730,Cysteine desulfurase (EC 2.8.1.7) => IscS,E,E,E,,E
3964,PA14_14750,Iron-sulfur cluster assembly iron binding protein IscA,,E,,E,E
4688,PA14_14770,Chaperone protein HscB,,E,E,E,E
3963,PA14_14780,Chaperone protein HscA,E,E,,,E
3965,PA14_14800,"Ferredoxin, 2Fe-2S",,E,E,E,E
9367,PA14_14880,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3),E,E,E,E,E
9368,PA14_14890,Histidyl-tRNA synthetase (EC 6.1.1.21),E,E,E,,E
5848,PA14_14930,GTP-binding protein EngA,E,E,E,E,E
7167,PA14_15310,Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain,E,E,,E,E
6714,PA14_15340,"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)",E,E,E,,E
8634,PA14_15680,tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),,,,E,E
6248,PA14_15960,Signal recognition particle protein Ffh,,E,E,,E
8463,PA14_15980,16S rRNA processing protein RimM,E,,E,E,E
7715,PA14_16510,Peptide chain release factor 2 @ programmed frameshift-containing,,E,E,,E
8083,PA14_16530,Lysyl-tRNA synthetase (class II) (EC 6.1.1.6),E,E,E,E,E
4728,PA14_16700,Adenylate kinase (EC 2.7.4.3),,E,E,,E
3503,PA14_16710,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,E,E,,E,E
4513,PA14_16950,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)",E,E,E,E,E
8884,PA14_17060,SSU ribosomal protein S2p (SAe),,E,E,E,E
3812,PA14_17070,Translation elongation factor Ts,E,E,E,,E
5971,PA14_17080,Uridine monophosphate kinase (EC 2.7.4.22),E,E,,E,E
6254,PA14_17100,Ribosome recycling factor,E,E,E,E,E
6202,PA14_17110,Undecaprenyl diphosphate synthase (EC 2.5.1.31),,E,E,E,E
6826,PA14_17120,Phosphatidate cytidylyltransferase (EC 2.7.7.41),E,E,,E,E
3629,PA14_17130,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),E,E,E,E,E
3844,PA14_17150,Outer membrane protein assembly factor YaeT,E,E,E,E,E
5856,PA14_17180,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191),E,E,E,,E
7219,PA14_17190,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)",E,E,E,E,E
8209,PA14_17210,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),E,E,E,E,E
8990,PA14_17220,Lipid-A-disaccharide synthase (EC 2.4.1.182),E,E,,E,E
7510,PA14_17260,DNA polymerase III alpha subunit (EC 2.7.7.7),E,E,E,E,E
5471,PA14_17270,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2),E,E,E,E,E
5754,PA14_17280,tRNA(Ile)-lysidine synthetase (EC 6.3.4.19),E,E,E,E,E
5755,PA14_17290,CTP synthase (EC 6.3.4.2),E,E,E,E,E
8571,PA14_17310,2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55),E,E,E,,E
5625,PA14_17340,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60),,E,E,,E
7783,PA14_17420,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)",E,E,,,E
6858,PA14_18710,Dihydroorotase (EC 3.5.2.3),,,,,E
8564,PA14_19050,Methionyl-tRNA synthetase (EC 6.1.1.10),,E,,,E
6114,PA14_19065,[4Fe-4S] cluster assembly scaffold protein Mrp (=ApbC),E,E,,,E
3117,PA14_20140,Ferredoxin--NADP(+) reductase (EC 1.18.1.2),E,E,,,E
8631,PA14_23220,3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222),,E,E,E,E
8317,PA14_23260,DNA gyrase subunit A (EC 5.99.1.3),E,E,E,E,E
8662,PA14_23320,Cytidylate kinase (EC 2.7.4.25),,,E,E,E
8663,PA14_23330,SSU ribosomal protein S1p,E,E,,,E
3289,PA14_23560,Glutamyl-tRNA synthetase (EC 6.1.1.17),E,E,E,E,E
4889,PA14_23800,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11),E,E,E,E,E
4884,PA14_23860,Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2),E,E,E,E,E
4287,PA14_23880,Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17),,E,E,,E
8736,PA14_24220,NAD kinase (EC 2.7.1.23),E,E,E,,E
9185,PA14_24640,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2),,,E,,E
8556,PA14_25110,DNA topoisomerase I (EC 5.99.1.2),E,E,,,E
3821,PA14_25430,Lipoprotein releasing system transmembrane protein LolC/LolE,E,E,E,E,E
8335,PA14_25440,Lipoprotein-releasing system ATP-binding protein LolD,E,E,E,E,E
3820,PA14_25450,Lipoprotein releasing system transmembrane protein LolC/LolE,E,E,E,E,E
8019,PA14_25510,Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130),E,E,E,E,E
8830,PA14_25530,3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38),E,E,E,E,E
7847,PA14_25550,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98),E,E,E,E,E
6391,PA14_25560,Ribonuclease E (EC 3.1.26.12),,E,,,E
6403,PA14_25650,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),,E,,,E
6406,PA14_25660,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),E,E,,E,E
6134,PA14_25740,Thymidylate kinase (EC 2.7.4.9),E,E,E,E,E
6703,PA14_25760,DNA polymerase III delta prime subunit (EC 2.7.7.7),,E,E,,E
4798,PA14_25840,Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1),E,E,,,E
7538,PA14_25860,"Electron transfer flavoprotein, beta subunit",E,E,E,E,E
6111,PA14_25880,"Electron transfer flavoprotein, alpha subunit",E,E,,,E
3241,PA14_25900,Short-chain alcohol dehydrogenase family,,,,E,E
8646,PA14_28650,Threonyl-tRNA synthetase (EC 6.1.1.3),E,E,,,E
4002,PA14_28660,Translation initiation factor 3,E,E,E,,E
7263,PA14_28680,LSU ribosomal protein L20p,E,E,E,E,E
5739,PA14_28690,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),E,E,E,E,E
5709,PA14_28710,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20),E,E,E,,E
6259,PA14_30110,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2),E,E,,E,E
3994,PA14_30150,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),E,E,E,E,E
6906,PA14_30290,DNA translocase FtsK,E,E,,,E
6060,PA14_30310,Outer membrane lipoprotein carrier protein LolA,E,E,E,E,E
6223,PA14_30330,Seryl-tRNA synthetase (EC 6.1.1.11),E,E,E,E,E
6276,PA14_30370,tRNA 2-thiouridine synthesis protein TusE,,E,E,E,E
7037,PA14_30380,tRNA 5-methylaminomethyl-2-thiouridine synthase subunit TusB,,E,E,E,E
7038,PA14_30390,tRNA 5-methylaminomethyl-2-thiouridine synthase subunit TusC,,E,E,E,E
4458,PA14_30400,tRNA 5-methylaminomethyl-2-thiouridine synthase subunit TusD,E,E,,E,E
5845,PA14_30670,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),E,E,,E,E
6999,PA14_33690,"PvdE, pyoverdine ABC export system, fused ATPase and permease components",,,,,E
3496,PA14_41050,DNA polymerase III epsilon subunit (EC 2.7.7.7),E,E,E,E,E
6880,PA14_41350,Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5),E,E,,E,E
6879,PA14_41360,Cysteinyl-tRNA synthetase (EC 6.1.1.16),E,E,E,E,E
6876,PA14_41380,Glutaminyl-tRNA synthetase (EC 6.1.1.18),E,E,,E,E
3936,PA14_41400,"UDP-2,3-diacylglucosamine diphosphatase (EC 3.6.1.54)",E,E,E,E,E
6900,PA14_41470,Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99),E,E,,,E
9203,PA14_42760,Chorismate synthase (EC 4.2.3.5),,,,,E
7841,PA14_43690,"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)",E,,E,,E
6814,PA14_43970,Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4),E,E,E,,E
6631,PA14_44000,Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61),E,E,E,E,E
5850,PA14_44010,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),E,E,E,E,E
7055,PA14_44630,DNA polymerase III subunits gamma and tau (EC 2.7.7.7),E,E,,,E
7054,PA14_44660,DNA ligase (NAD(+)) (EC 6.5.1.2),E,E,,E,E
8652,PA14_49340,"4'-phosphopantetheinyl transferase entD (EC 2.7.8.-); Holo-[acyl-carrier protein] synthase, alternative (EC 2.7.8.7)",,E,,E,E
5075,PA14_49380,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)",E,E,,,E
6984,PA14_49460,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)",E,E,E,E,E
6781,PA14_49470,"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)",E,E,E,E,E
8536,PA14_51710,Tol-Pal system peptidoglycan-associated lipoprotein PAL,,E,,,E
5853,PA14_51720,Tol-Pal system beta propeller repeat protein TolB,E,E,E,E,E
4770,PA14_51730,TolA protein,E,E,,E,E
4771,PA14_51740,"Tol biopolymer transport system, TolR protein",E,E,E,E,E
9271,PA14_51750,Tol-Pal system protein TolQ,E,E,E,,E
7558,PA14_51820,Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23),E,E,,,E
3619,PA14_51900,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type",E,E,,E,E
9329,PA14_52010,DnaA inactivator Hda (shorter homolog of DnaA),E,E,,E,E
9123,PA14_52580,Aspartokinase (EC 2.7.2.4),E,E,E,,E
5674,PA14_52600,Alanyl-tRNA synthetase (EC 6.1.1.7),E,E,,,E
9055,PA14_54320,GTP-binding protein Era,E,E,E,E,E
9051,PA14_54350,Signal peptidase I (EC 3.4.21.89),E,E,E,,E
3204,PA14_54480,tRNA-modifying protein YgfZ,E,E,,E,E
4733,PA14_55660,Exodeoxyribonuclease V alpha chain (EC 3.1.11.5),,,E,,E
8945,PA14_55670,Exodeoxyribonuclease V beta chain (EC 3.1.11.5),,,E,,E
7803,PA14_55690,Exodeoxyribonuclease V gamma chain (EC 3.1.11.5),,,,,E
8418,PA14_56780,Superoxide dismutase [Fe] (EC 1.15.1.1),E,E,E,E,E
3696,PA14_57010,Heat shock protein 60 family chaperone GroEL,E,E,,,E
4454,PA14_57020,Heat shock protein 60 family co-chaperone GroES,,E,E,E,E
4385,PA14_57220,Protein translocase subunit SecA,E,E,E,E,E
7909,PA14_57250,"Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives",E,E,,E,E
3635,PA14_57260,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108),E,E,,,E
3339,PA14_57275,Cell division protein FtsZ,E,E,E,,E
3638,PA14_57290,Cell division protein FtsA,E,E,E,E,E
3640,PA14_57300,Cell division protein FtsQ,,E,E,,E
8099,PA14_57330,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8),E,E,E,E,E
3636,PA14_57340,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227),,E,E,E,E
8156,PA14_57360,Cell division protein FtsW,E,E,,E,E
6040,PA14_57370,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9),E,E,E,,E
9276,PA14_57380,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13),E,E,E,E,E
4139,PA14_57390,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10),E,E,E,E,E
7204,PA14_57410,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)",E,E,E,E,E
7202,PA14_57425,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129),E,E,,,E
7257,PA14_57440,Cell division protein FtsL,,E,E,E,E
7699,PA14_57450,16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199),,,E,,E
5728,PA14_57500,DnaA initiator-associating protein DiaA,E,E,E,E,E
4347,PA14_57580,SSU ribosomal protein S9p (S16e),E,E,,,E
7284,PA14_57590,LSU ribosomal protein L13p (L13Ae),E,E,E,E,E
6477,PA14_57670,Tryptophanyl-tRNA synthetase (EC 6.1.1.2),E,E,,,E
7952,PA14_57810,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7),E,E,E,,E
3621,PA14_57890,D-arabinose 5-phosphate isomerase (EC 5.3.1.13),E,E,,,E
8544,PA14_57910,Lipopolysaccharide export system protein LptC,E,E,E,,E
8004,PA14_57920,Lipopolysaccharide export system protein LptA,E,E,E,E,E
8266,PA14_57930,"Lipopolysaccharide ABC transporter, ATP-binding protein LptB",E,E,E,,E
4024,PA14_57940,RNA polymerase sigma-54 factor RpoN,,,,,E
3129,PA14_58120,Rod shape-determining protein MreD,,E,E,E,E
5868,PA14_58130,Rod shape-determining protein MreC,,E,E,,E
8767,PA14_58150,Rod shape-determining protein MreB,E,E,,E,E
8619,PA14_58180,Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7),E,E,E,,E
8939,PA14_58190,Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7),E,E,E,E,E
7628,PA14_58780,Dephospho-CoA kinase (EC 2.7.1.24),E,,E,E,E
5929,PA14_60230,Outer membrane beta-barrel assembly protein BamD,,E,,,E
7165,PA14_60330,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4),E,E,,E,E
3556,PA14_60370,Isoleucyl-tRNA synthetase (EC 6.1.1.5),E,E,,E,E
6651,PA14_60380,FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26),E,E,,,E
8416,PA14_60390,Proposed peptidoglycan lipid II flippase MurJ,E,E,,E,E
8040,PA14_60400,SSU ribosomal protein S20p,,E,,E,E
5628,PA14_60445,GTP-binding protein Obg,,E,,,E
4145,PA14_60470,Nonaprenyl diphosphate synthase (geranyl-diphosphate specific) (EC 2.5.1.84),E,E,,,E
8991,PA14_61360,Glycerol-3-phosphate O-acyltransferase,E,E,,E,E
6554,PA14_61660,Glutamate racemase (EC 5.1.1.3),,E,E,E,E
5967,PA14_61670,Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80),,,,,E
6923,PA14_61700,Peptide chain release factor 1,E,E,E,E,E
4054,PA14_61740,Outer membrane lipoprotein component of lipoprotein transport system LolB,E,E,E,E,E
4818,PA14_61750,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148),E,E,E,E,E
3795,PA14_61790,Peptidyl-tRNA hydrolase (EC 3.1.1.29),E,E,,E,E
6742,PA14_61890,hypothetical protein,E,E,E,E,E
4519,PA14_62120,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),,E,E,,E
7854,PA14_62570,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3),E,E,E,,E
6546,PA14_62710,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),E,E,,,E
3697,PA14_62720,SSU ribosomal protein S15p (S13e),,,E,E,E
6585,PA14_62760,Translation initiation factor 2,E,E,E,E,E
5743,PA14_62770,Transcription termination protein NusA,E,E,E,,E
6428,PA14_62780,Bacterial ribosome SSU maturation protein RimP,E,,E,E,E
4074,PA14_62840,Phosphoglucosamine mutase (EC 5.4.2.10),E,E,,,E
9097,PA14_62850,Dihydropteroate synthase (EC 2.5.1.15),E,E,,E,E
5652,PA14_62940,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8),E,E,,E,E
5930,PA14_62960,Chaperone protein DnaJ,,,E,,E
7081,PA14_62990,Heat shock protein GrpE,,E,,E,E
8959,PA14_63020,Ferric uptake regulation protein FUR,,E,,,E
3867,PA14_63030,Outer membrane beta-barrel assembly protein BamE,E,E,E,E,E
4579,PA14_64100,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,E,E,E,E,E
5913,PA14_64110,Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14),E,E,,E,E
5648,PA14_64190,DNA-binding protein Fis,,,E,,E
8443,PA14_64980,NAD synthetase (EC 6.3.1.5),E,E,,,E
5559,PA14_65130,Replicative DNA helicase (DnaB) (EC 3.6.4.12),E,E,,,E
5827,PA14_65170,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent",,E,E,,E
4744,PA14_65180,SSU ribosomal protein S6p,E,E,E,,E
6218,PA14_65230,Adenylosuccinate synthetase (EC 6.3.4.4),E,E,,,E
8721,PA14_65380,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,,E,E,,E
7913,PA14_65570,Signal transduction histidine kinase,,,,,E
8355,PA14_65605,Topoisomerase IV subunit A (EC 5.99.1.-),E,E,E,,E
6894,PA14_65660,Topoisomerase IV subunit B (EC 5.99.1.-),E,E,E,E,E
6878,PA14_65960,3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13),E,E,E,E,E
3367,PA14_66000,Glycerol-3-phosphate dehydrogenase,E,E,E,E,E
8071,PA14_66010,"Oxidoreductase, aldo/keto reductase family",E,E,E,E,E
4003,PA14_66060,ADP-heptose synthase (EC 2.7.-.-) / D-glycero-beta-D-manno-heptose 7-phosphate kinase,E,E,,E,E
8486,PA14_66080,Lipid A export permease/ATP-binding protein MsbA,E,E,,E,E
7677,PA14_66090,"toluene tolerance protein, putative",E,E,,E,E
4794,PA14_66190,Serine/threonine protein kinase,E,E,E,E,E
5700,PA14_66210,"Heptose kinase WapQ, eukaryotic type",E,E,E,,E
6483,PA14_66220,Lipopolysaccharide core heptose(I) kinase RfaP,E,E,E,,E
7488,PA14_66230,"UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG",E,E,E,E,E
7552,PA14_66240,Lipopolysaccharide core heptosyltransferase I,E,E,E,,E
7597,PA14_66250,ADP-heptose--lipooligosaccharide heptosyltransferase II,E,E,E,,E
7540,PA14_66600,3-dehydroquinate synthase (EC 4.2.3.4),,,E,,E
3398,PA14_66750,Arginyl-tRNA synthetase (EC 6.1.1.19),E,E,E,,E
7619,PA14_66760,Cell division protein,,,E,,E
6832,PA14_66900,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase (EC 2.1.1.201)",E,E,,E,E
3990,PA14_66910,Ubiquinone biosynthesis protein UbiJ,,,E,,E
8219,PA14_66920,Ubiquinone biosynthesis regulatory protein kinase UbiB,E,E,E,E,E
