PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label
PA1054	PA14_50730	0.6342248143813256	0.0	shaA	most stable
PA2426	PA14_33260	0.38874086811602837	1.6560438554863253e-192	pvdS
PA4228	PA14_09240	0.6366677489216266	0.0	pchD	most stable
PA1345	PA14_46880	0.7068834902725659	0.0		most stable
PA4667	PA14_61720	0.7819419216754262	0.0		most stable
PA0345	PA14_04520	0.64425202304964	0.0		most stable
PA2831	PA14_27470	0.7136820370624987	0.0		most stable
PA3589	PA14_17880	0.8323080179381996	0.0		most stable
PA2151	PA14_36740	0.6034225149524908	0.0		most stable
PA2625	PA14_30160	0.45123739329028995	1.0849363134609448e-266
PA2941	PA14_26000	0.6419613724382832	0.0		most stable
PA3386	PA14_20280	0.4235743838955076	6.600447132113414e-232
PA4945	PA14_65320	0.5628513568291843	0.0	miaA	most stable
PA0184	PA14_02330	0.7590449006868534	0.0		most stable
PA1964	PA14_39130	0.8030383895612679	0.0		most stable
PA3549	PA14_18430	0.4391549734148815	4.235435277969592e-251	algJ
PA1569	PA14_44190	0.8731211403892414	0.0		most stable
PA3834	PA14_14440	0.8469216557349929	0.0	valS	most stable
PA4065	PA14_11290	0.37583477825096884	4.494944930419169e-179
PA1506	PA14_44960	0.5264397416093758	0.0		most stable
PA2197	PA14_36290	0.35677853587779856	2.5089955338181634e-160
PA4399	PA14_57180	0.6363952125022251	0.0		most stable
PA4886	PA14_64580	0.4122103611692985	1.560266164947698e-218
PA2712	PA14_29070	0.49996013199826317	0.0
PA5188	PA14_68530	0.5850081941735175	0.0		most stable
PA3613	PA14_17580	0.6306381957752534	0.0		most stable
PA4293	PA14_55780	0.8144413762109792	0.0	pprA	most stable
PA5008	PA14_66210	0.8403937562896302	0.0	wapP	most stable
PA5042	PA14_66640	0.4473787297533137	1.212048324090433e-261	pilO
PA0423	PA14_05510	0.5816481802915682	0.0	pasP	most stable
PA5381	PA14_71080	0.374689759097407	6.537101319311388e-178
PA1264	PA14_47880	0.7781801094503317	0.0		most stable
PA0397	PA14_05200	0.810001635258563	0.0		most stable
PA3055	PA14_24590	0.6143830014112475	0.0		most stable
PA2499	PA14_32340	0.706746172777676	0.0		most stable
PA0437	PA14_05690	0.6068262881269462	0.0	codA	most stable
PA4687	PA14_62000	0.5453164269555463	0.0	hitA	most stable
PA3874	PA14_13800	0.45395489248717596	2.7599958713736794e-270	narH
PA0875	PA14_52940	0.8058193687046514	0.0		most stable
PA1336	PA14_46980	0.5007115879358671	0.0	aauS	most stable
PA3907	PA14_13360	0.6982000281748291	0.0		most stable
PA3592	PA14_17820	0.855999253479175	0.0		most stable
PA3872	PA14_13830	0.439908738157077	4.705367297070919e-252	narI
PA2705	PA14_29160	0.38979498630116205	1.2441049676373392e-193
PA0385	PA14_05030	0.65527039610827	0.0		most stable
PA1866	PA14_40350	0.7522601026484879	0.0		most stable
PA0446	PA14_05820	0.3035111829648863	2.214021565363718e-114
PA1941	PA14_39440	0.6583930195497829	0.0		most stable
PA3760	PA14_15790	0.7057504354245189	0.0		most stable
PA3550	PA14_18410	0.3994518652645591	4.0012631681160265e-204	algF
PA3982	PA14_12310	0.7245575044980417	0.0		most stable
PA2677	PA14_29490	0.839039228747871	0.0		most stable
PA2492	PA14_32410	0.2891094189473135	1.6995226802530692e-103	mexT
PA2910	PA14_26450	0.6944722035517978	0.0		most stable
PA3098	PA14_24060	0.6065649578382077	0.0	xcpW	most stable
PA1580	PA14_44070	0.7209525580378452	0.0	gltA	most stable
PA5549	PA14_73170	0.7740933748509227	0.0	glmS	most stable
PA3554	PA14_18350	0.4549269930801326	1.4032629423127872e-271	arnA
PA1801	PA14_41240	0.7044894705517933	0.0	clpP	most stable
PA0973	PA14_51710	0.8071650786864307	0.0	oprL	most stable
PA0487	PA14_06340	0.48727196379997995	4.1554063e-317
PA1198	PA14_48800	0.6879794878616464	0.0		most stable
PA0109	PA14_01330	0.7536935856165593	0.0		most stable
PA2832	PA14_27460	0.28333125265117987	2.6440356600778158e-99	tpm
PA0226	PA14_02760	0.6181526975555413	0.0		most stable
PA3725	PA14_16220	0.8458504710852376	0.0	recJ	most stable
PA0148	PA14_01830	0.474042521190132	6.836066064931091e-298
PA3598	PA14_17730	0.35804584475206874	1.5562856138559146e-161
PA1033	PA14_50970	0.6201191468997823	0.0		most stable
PA2175	PA14_36460	0.6293591718910642	0.0		most stable
PA4128	PA14_10570	0.6911817009107182	0.0		most stable
PA4308	PA14_55980	0.32976025040759355	7.135661334614919e-136
PA3283	PA14_21580	0.0337768753385086	0.013493863413804296		least stable
PA5476	PA14_72280	0.34869638917395906	9.34505675789617e-153	citA
PA5032	PA14_66530	0.8274224750468533	0.0		most stable
PA1581	PA14_44060	0.7913670839291866	0.0	sdhC	most stable
PA2877	PA14_26880	0.21810313709392556	1.2854073914779265e-58
PA3221	PA14_22570	0.6895102149956656	0.0	csaA	most stable
PA4508	PA14_58510	0.032760114078231095	0.016572606578977193		least stable
PA3191	PA14_22960	0.6083625268393578	0.0	gtrS	most stable
PA1735	PA14_42100	0.5539716149514669	0.0		most stable
PA3546	PA14_18480	0.5429147592119862	0.0	algX	most stable
PA1106	PA14_50070	0.5978833622912314	0.0		most stable
PA2929	PA14_26160	0.1135087780093779	8.315671077388457e-17		least stable
PA2598	PA14_30490	0.503441763715549	0.0		most stable
PA2596	PA14_30520	0.7566032499284163	0.0		most stable
PA3484	PA14_19020	0.5412608435654731	0.0	tse3	most stable
PA4470	PA14_58030	0.7614559436000323	0.0	fumC1	most stable
PA3268	PA14_21730	0.8245797266529099	0.0		most stable
PA0239	PA14_02970	0.7705556974399541	0.0		most stable
PA2510	PA14_32200	0.7044024899227165	0.0	catR	most stable
PA0668	PA14_08560	0.6506133217971486	0.0	tyrZ	most stable
PA3674	PA14_16840	0.5839019579200364	0.0		most stable
PA3134	PA14_23560	0.8503965304729283	0.0	gltX	most stable
PA3439	PA14_19620	0.6940568750424406	0.0	folX	most stable
PA0529	PA14_06890	0.3363717603267407	1.2391653860638641e-141
PA3049	PA14_24650	0.7446279643449232	0.0	rmf	most stable
PA0442	PA14_05775	0.6272639252867794	0.0		most stable
PA2512	PA14_32160	0.43370536390065734	2.8501946250390646e-244	antA
PA0223	PA14_02730	-0.011029313320224608	0.4199630662733419		least stable
PA2505	PA14_32270	-0.21027029198072192	1.6146469994930409e-54	opdT	least stable
PA4971	PA14_65710	0.5507249389606654	0.0	aspP	most stable
PA5089	PA14_67220	0.5385847822467502	0.0	pldB	most stable
PA0435	PA14_05650	0.4009567192540939	8.616487442505817e-206
PA3038	PA14_24790	0.525433744883588	0.0	opdQ	most stable
PA4087	PA14_11050	0.8653285990979003	0.0		most stable
PA5164	PA14_68210	0.5112329202425061	0.0	rmlC	most stable
PA3970	PA14_12490	0.5768377188598426	0.0	amn	most stable
PA3771	PA14_15290	0.8030323326098937	0.0		most stable
PA2717	PA14_29020	0.8228368891680775	0.0	cpo	most stable
PA2439	PA14_33070	0.6953400202276122	0.0		most stable
PA2748	PA14_28590	0.4984046631495651	0.0
PA2275	PA14_35150	0.5493505243144848	0.0		most stable
PA4475	PA14_58080	0.4415741012760977	3.593951651197652e-254
PA3897	PA14_13490	0.2936568960024885	7.261941644148123e-107
PA2878	PA14_26870	0.7463382665909197	0.0		most stable
PA2090	PA14_37470	0.7666436536734116	0.0		most stable
PA0173	PA14_02180	0.8411157963102732	0.0		most stable
PA1821	PA14_40980	0.713367438366488	0.0		most stable
PA4543	PA14_60200	0.7078922544579684	0.0		most stable
PA2391	PA14_33750	0.6770019160344183	0.0	opmQ	most stable
PA5094	PA14_67270	0.6643442692834558	0.0		most stable
PA5111	PA14_67500	0.06514498485009862	1.856473481725097e-06	gloA3	least stable
PA0649	PA14_08340	0.7147708271128002	0.0	trpG	most stable
PA0427	PA14_05550	0.6478040328985123	0.0	oprM	most stable
PA5112	PA14_67510	0.6254014742621705	0.0	estA	most stable
PA3465	PA14_19310	0.7930443801144553	0.0		most stable
PA4376	PA14_56900	0.7060039891590694	0.0	pncB2	most stable
PA5281	PA14_69720	0.5938770433629214	0.0		most stable
PA2196	PA14_36300	0.512031380954683	0.0		most stable
PA2745	PA14_28630	0.4021501211231673	4.048467047049422e-207
PA0976	PA14_51670	0.3882947377324036	4.938872891588863e-192
PA3329	PA14_21000	0.5317984630968604	0.0		most stable
PA3321	PA14_21080	0.6507828194743959	0.0		most stable
PA0229	PA14_02810	0.43678522221866395	4.087148322513958e-248	pcaT
PA4767	PA14_63050	0.5241860840529234	0.0		most stable
PA2006	PA14_38560	0.2718982193256142	2.6692598341338733e-91
PA2291	PA14_34960	0.5844125509270308	0.0		most stable
PA4159	PA14_10170	0.7416868947346928	0.0	fepB	most stable
PA4315	PA14_56070	0.5302823533776899	0.0	mvaT	most stable
PA5043	PA14_66650	0.4516230699522018	3.3670391213484597e-267	pilN
PA4287	PA14_55720	0.8032144775605923	0.0		most stable
PA5128	PA14_67720	0.7599574388012571	0.0	secB	most stable
PA0794	PA14_53970	0.6618464602448962	0.0		most stable
PA2354	PA14_34210	0.7100735080479329	0.0		most stable
PA2484	PA14_32500	0.37191570409157826	4.0996024993895465e-175
PA2728	PA14_28895	0.6780966287470116	0.0		most stable
PA4068	PA14_11260	0.8179122249367804	0.0		most stable
PA2855	PA14_27170	0.6878512561965567	0.0		most stable
PA2481	PA14_32540	0.27894364842945907	3.4618530025708783e-96
PA3837	PA14_14380	0.780823974301843	0.0		most stable
PA1444	PA14_45790	0.5343991884325784	0.0	fliN	most stable
PA1505	PA14_44970	0.5282520747927795	0.0	moaA2	most stable
PA0006	PA14_00070	0.7721389137581732	0.0		most stable
PA2563	PA14_31380	0.74829290407759	0.0		most stable
PA3198	PA14_22840	0.6781759312443477	0.0		most stable
PA0476	PA14_06230	0.3326875331418511	2.092189851736826e-138
PA2914	PA14_26360	0.404861296788974	3.714592839819928e-210
PA3791	PA14_15050	0.48300347033097496	8.154653307559e-311
PA0608	PA14_07930	0.7998879770984508	0.0		most stable
PA0480	PA14_06270	0.5008705267453907	0.0		most stable
PA1440	PA14_45840	0.4524032144572047	3.143017193612183e-268
PA3556	PA14_18330	0.28490867711086576	1.9396766920360917e-100	arnT
PA1133	PA14_49730	0.6085406763336891	0.0		most stable
PA4302	PA14_55890	0.725015097693656	0.0	tadA	most stable
PA4869	PA14_64400	0.2802127645866268	4.400838865890301e-97
PA2693	PA14_29290	0.377261555947589	1.5753409680687153e-180
PA5405	PA14_71350	0.7203360657409491	0.0		most stable
PA2680	PA14_29460	0.7232297068192852	0.0		most stable
PA1872	PA14_40280	0.7236998690133496	0.0		most stable
PA4944	PA14_65310	0.5544037845788888	0.0	hfq	most stable
PA3469	PA14_19210	0.6840980021040987	0.0		most stable
PA4084	PA14_11080	0.8053842992214825	0.0	cupB3	most stable
PA3957	PA14_12680	0.8043198491246318	0.0		most stable
PA2517	PA14_32100	0.8266893421835688	0.0	xylY	most stable
PA2469	PA14_32700	0.5779158639887825	0.0		most stable
PA4954	PA14_65450	0.5959228011345203	0.0	motA	most stable
PA0895	PA14_52720	0.6459267693428387	0.0	aruC	most stable
PA2511	PA14_32190	0.6527230671619773	0.0	antR	most stable
PA0932	PA14_52210	0.7789883769408712	0.0	cysM	most stable
PA5154	PA14_68080	0.7417590263772343	0.0		most stable
PA1592	PA14_43900	0.6495835133315074	0.0		most stable
PA4780	PA14_63200	0.5691876582625159	0.0		most stable
PA0392	PA14_05130	0.7064975853895548	0.0		most stable
PA4905	PA14_64810	0.7999952474326336	0.0	vanB	most stable
PA1239	PA14_48210	0.5434460135258639	0.0		most stable
PA1443	PA14_45800	0.6960328867928416	0.0	fliM	most stable
PA0588	PA14_07680	0.731545342999899	0.0		most stable
PA5302	PA14_69990	0.5277802247554214	0.0	dadX	most stable
PA2128	PA14_37060	0.05919776475219404	1.475421818713938e-05	cupA1	least stable
PA2382	PA14_33860	0.31102856902287934	2.5784136811580366e-120	lldA
PA1660	PA14_43000	0.6075848709222108	0.0	hsiG2	most stable
PA3042	PA14_24740	0.7567890157455529	0.0		most stable
PA5131	PA14_67770	0.6057726677361162	0.0	pgm	most stable
PA0477	PA14_06240	0.7032119948447553	0.0		most stable
PA1379	PA14_46420	0.7875285899731346	0.0		most stable
PA0677	PA14_55530	0.5672338128524275	0.0	hxcW	most stable
PA1597	PA14_43840	0.5064478354909915	0.0		most stable
PA5098	PA14_67320	0.6904462742839413	0.0	hutH	most stable
PA2440	PA14_33060	0.34703327481209	3.170114453182684e-151
PA2676	PA14_29500	0.8103128375751394	0.0		most stable
PA3115	PA14_23830	0.675057516225106	0.0	fimV	most stable
PA5347	PA14_70590	0.4292577360053647	8.615438406049692e-239
PA0506	PA14_06600	0.5927386403093732	0.0		most stable
PA1341	PA14_46920	0.5876862752517894	0.0	aatQ	most stable
PA3552	PA14_18370	0.4624769076343773	9.009122379054944e-282	arnB
PA4058	PA14_11370	0.6039176479149978	0.0		most stable
PA4463	PA14_57950	0.505907499536596	0.0		most stable
PA0319	PA14_04160	0.8333501711328394	0.0		most stable
PA4651	PA14_61530	0.7468864273192264	0.0	cupE4	most stable
PA1679	PA14_42780	0.4875457513506521	1.62902e-317
PA1844	PA14_40660	0.38749783177596536	3.463188572297404e-191	tse1
PA3891	PA14_13580	0.6191908808209621	0.0	opuCA	most stable
PA3561	PA14_18260	0.6220010625262616	0.0	fruK	most stable
PA4760	PA14_62960	0.4522598599637233	4.861794463972595e-268	dnaJ
PA3290	PA14_21490	0.6400406352451442	0.0	tle1	most stable
PA0010	PA14_00110	0.4003451473251269	4.109480104055215e-205	tag
PA1049	PA14_50800	0.5544969089443873	0.0	pdxH	most stable
PA3189	PA14_22990	0.43044166660013294	3.05106379750886e-240
PA0767	PA14_54370	0.8559044636446008	0.0	lepA	most stable
PA5540	PA14_73060	0.42756358902278196	1.002937550609735e-236
PA2901	PA14_26550	0.745761713531938	0.0		most stable
PA3693	PA14_16620	0.3495564439728536	1.4978000083520273e-153
PA2566	PA14_31350	0.7844479873296424	0.0		most stable
PA2863	PA14_27090	0.7719910534690718	0.0	lipH	most stable
PA5165	PA14_68230	0.6519095964420933	0.0	dctB	most stable
PA0137	PA14_01680	0.5348165537551731	0.0		most stable
PA0670	PA14_55600	0.7195786323812096	0.0		most stable
PA2975	PA14_25580	0.6487176408255352	0.0	rluC	most stable
PA3842	PA14_14330	0.45179174040147485	2.0174690352873717e-267	spcS
PA0580	PA14_07570	0.8259196847509876	0.0	gcp	most stable
PA4546	PA14_60250	0.7530474212122484	0.0	pilS	most stable
PA0157	PA14_01960	0.5815073591328291	0.0	triB	most stable
PA5275	PA14_69640	0.469089319216217	6.524810875266214e-291
PA4497	PA14_58360	0.44983257571726026	7.600041476582274e-265	dppA2
PA0833	PA14_53500	0.638469038704776	0.0		most stable
PA4598	PA14_60830	0.14071970222565147	4.602727340206546e-25	mexD	least stable
PA1705	PA14_42480	0.4181103767409079	2.06227839645443e-225	pcrG
PA5196	PA14_68640	0.4011510228756768	5.241761596802247e-206
PA1357	PA14_46740	0.4199505302461844	1.3819589485660295e-227
PA3360	PA14_20620	0.7616540984945465	0.0		most stable
PA0915	PA14_52430	0.7988979932480422	0.0		most stable
PA0979	PA14_51620	0.5332798426569979	0.0		most stable
PA3212	PA14_22670	0.702902043798252	0.0		most stable
PA1570	PA14_44180	0.08246061124333312	1.5431648674372303e-09		least stable
PA0579	PA14_07560	0.8296738702089095	0.0	rpsU	most stable
PA1831	PA14_40850	0.44385953947451295	4.275365528999072e-257
PA2514	PA14_32140	0.48462590924207755	3.388911023e-313	antC
PA0503	PA14_06540	0.5633613363968578	0.0		most stable
PA2999	PA14_25280	0.8369410044330261	0.0	nqrA	most stable
PA2886	PA14_26750	0.22895515495692884	1.4409935430048083e-64	atuA
PA0230	PA14_02830	0.656599704928073	0.0	pcaB	most stable
PA3635	PA14_17320	0.7810886841224507	0.0	eno	most stable
PA3608	PA14_17630	0.7114570669879131	0.0	potB	most stable
PA4985	PA14_65920	0.4499089373045089	6.035702574204517e-265
PA3784	PA14_15130	0.6798336997110151	0.0		most stable
PA1090	PA14_50310	0.5122480245649556	0.0		most stable
PA5048	PA14_66700	0.5419245272779621	0.0		most stable
PA0411	PA14_05360	0.7758358695886259	0.0	pilJ	most stable
PA2603	PA14_30430	0.3189351436711726	9.554166899925348e-127
PA2005	PA14_38570	0.4262718015791211	3.703955777503898e-235	hbcR
PA2320	PA14_34660	0.35120075459848543	4.449532309932865e-155	gntR
PA1649	PA14_43180	0.5613838827480134	0.0		most stable
PA3245	PA14_22010	0.7622881541547388	0.0	minE	most stable
PA3073	PA14_24400	0.7069563598532623	0.0		most stable
PA2038	PA14_38170	0.5944860606018649	0.0		most stable
PA5258	PA14_69430	0.3819730793684081	2.1840290661249746e-185
PA3008	PA14_25150	0.3023324454553281	1.8188860688703665e-113
PA1035	PA14_50940	0.7497290479235909	0.0		most stable
PA4691	PA14_62100	0.4071428102140537	9.815044363871947e-213
PA2041	PA14_38130	0.572437462525804	0.0		most stable
PA2007	PA14_38550	0.7216301743916675	0.0	maiA	most stable
PA2580	PA14_30740	0.5805975282944621	0.0		most stable
PA0770	PA14_54330	0.7242301098393107	0.0	rnc	most stable
PA3980	PA14_12350	0.8579918826137134	0.0		most stable
PA3951	PA14_12750	0.5515360219673348	0.0		most stable
PA0429	PA14_05580	0.6860559213592027	0.0		most stable
PA2826	PA14_27520	0.3958977029704233	3.1975178959449925e-200
PA4915	PA14_64920	0.7807387328979276	0.0		most stable
PA0444	PA14_05810	0.5235607858147209	0.0		most stable
PA2887	PA14_26730	0.23483924137592135	6.294947493591555e-68	atuB
PA1121	PA14_49880	0.7978562655321014	0.0	yfiR	most stable
PA5407	PA14_71370	0.016486846635899704	0.22797319296426963		least stable
PA3968	PA14_12540	0.7567141478046993	0.0		most stable
PA0254	PA14_03130	0.019338819122733875	0.1573084283960424	hudA	least stable
PA1496	PA14_45070	0.26420336317125687	3.9757386425636495e-86
PA4609	PA14_60990	0.31925511206258816	5.197399643186171e-127	radA
PA4800	PA14_63410	0.12496737748029695	4.5762501312589744e-20		least stable
PA0007	PA14_00080	0.7784494118740558	0.0		most stable
PA5367	PA14_70830	0.2742222066065808	6.766398878724792e-93	pstA
PA4324	PA14_56180	0.5190649250204142	0.0		most stable
PA2477	PA14_32600	0.2147548695701392	7.606790421322234e-57
PA3435	PA14_19660	0.7192833425810958	0.0		most stable
PA3316	PA14_21140	-0.4807676454284907	1.4861429334868112e-307		least stable
PA2541	PA14_31700	0.5862574548279557	0.0		most stable
PA3571	PA14_18110	0.1310385889433273	6.392007898983427e-22	mmsR	least stable
PA3272	PA14_21690	0.4643369965639146	2.5344008506736267e-284
PA4746	PA14_62780	0.7953882422783654	0.0		most stable
PA0909	PA14_52500	0.5599078326420233	0.0	alpC	most stable
PA0893	PA14_52740	0.6102868363440741	0.0	argR	most stable
PA0514	PA14_06700	0.5881888246317661	0.0	nirL	most stable
PA2111	PA14_37290	0.36603286079935043	2.848697233330695e-169
PA2136	PA14_36930	0.46069145866912464	2.4450828576524034e-279
PA5019	PA14_66340	0.5169152077471666	0.0		most stable
PA2559	PA14_31440	0.5752647971149851	0.0		most stable
PA1228	PA14_48400	0.8461342297444873	0.0		most stable
PA1961	PA14_39160	0.35296928030605296	9.898682290760102e-157
PA0610	PA14_07950	0.3723717778780473	1.427979850198873e-175	prtN
PA2773	PA14_28220	-0.050152189336451866	0.00024309626378161785		least stable
PA4389	PA14_57050	0.7025677845994238	0.0		most stable
PA1621	PA14_43550	0.20523994040846325	5.686628899050672e-52
PA4140	PA14_10370	0.2619958842027319	1.1272824813743799e-84
PA5084	PA14_67150	0.03990790612419984	0.00350908938736004	dguA	least stable
PA2760	PA14_28400	0.7505114936071903	0.0	oprQ	most stable
PA3551	PA14_18380	0.38657844579385114	3.253955086596199e-190	algA
PA5312	PA14_70140	0.6464140786465115	0.0	pauC	most stable
PA1165	PA14_49340	0.6410584940863591	0.0	pcpS	most stable
PA5538	PA14_73040	0.6317794165867953	0.0	amiA	most stable
PA2430	PA14_33220	0.8399756721627939	0.0		most stable
PA4880	PA14_64520	0.6555916339509543	0.0		most stable
PA0781	PA14_54180	0.27932948801489865	1.8512909143819773e-96
PA2713	PA14_29060	0.6744720503865811	0.0		most stable
PA2493	PA14_32400	0.30887244286698484	1.3526611255781665e-118	mexE
PA0016	PA14_00170	0.8263322936572612	0.0	trkA	most stable
PA1676	PA14_42830	0.19271218756640363	6.447201759559449e-46		least stable
PA4535	PA14_58840	0.5982273363562852	0.0		most stable
PA1108	PA14_50050	0.8612354521131381	0.0		most stable
PA3269	PA14_21720	0.5602075697336534	0.0		most stable
PA4368	PA14_56800	0.6984063218672225	0.0		most stable
PA3020	PA14_25000	0.6872487835883969	0.0		most stable
PA3702	PA14_16500	0.6361224039134328	0.0	wspR	most stable
PA2775	PA14_28200	0.8149151652681377	0.0	tsi4	most stable
PA4830	PA14_63860	0.5810913930870549	0.0		most stable
PA0908	PA14_52510	0.5769428520290989	0.0	alpB	most stable
PA3001	PA14_25250	0.7597824920614489	0.0		most stable
PA5396	PA14_71240	0.5965733955980179	0.0		most stable
PA5175	PA14_68370	0.43996858312813414	3.951146516287083e-252	cysQ
PA5487	PA14_72420	0.5672657153343018	0.0		most stable
PA1338	PA14_46960	0.659160902782285	0.0	ggt	most stable
PA1491	PA14_45130	0.7626151573740313	0.0		most stable
PA1117	PA14_49920	0.4666292912978102	1.7319399205830078e-287
PA5283	PA14_69750	0.03510250146083171	0.010244133268015541		least stable
PA1179	PA14_49180	0.41884853128057853	2.7794962549018274e-226	phoP
PA4428	PA14_57530	0.8156471108160825	0.0	sspA	most stable
PA0888	PA14_52790	0.7320128069882679	0.0	aotJ	most stable
PA4473	PA14_58060	0.39675413916311597	3.704999006495695e-201
PA1962	PA14_39150	0.37491979097704115	3.821082455440134e-178	azoR2
PA2349	PA14_34280	0.6400532468246634	0.0		most stable
PA0951	PA14_51960	0.5718282229283002	0.0		most stable
PA3649	PA14_17140	0.6157004827061564	0.0	mucP	most stable
PA3900	PA14_13450	0.6813899486435187	0.0	fecR	most stable
PA4567	PA14_60450	0.7876827122010833	0.0	rpmA	most stable
PA0653	PA14_08380	0.6619543328748816	0.0		most stable
PA3622	PA14_17480	0.6171216805381671	0.0	rpoS	most stable
PA1480	PA14_45310	0.7792382863450014	0.0	ccmF	most stable
PA3088	PA14_24220	0.6196287488769597	0.0		most stable
PA0552	PA14_07190	0.6983444583653531	0.0	pgk	most stable
PA0044	PA14_00560	0.37270304505315577	6.630971894043182e-176	exoT
PA1468	PA14_45450	0.6186161185190961	0.0		most stable
PA5292	PA14_69870	0.6527938852830064	0.0	pchP	most stable
PA2507	PA14_32240	0.5184049271702024	0.0	catA	most stable
PA4982	PA14_65860	0.6789597757078646	0.0		most stable
PA0124	PA14_01510	0.5761258912428465	0.0		most stable
PA0190	PA14_02380	0.7839104842489643	0.0		most stable
PA3461	PA14_19350	0.6757495311935422	0.0		most stable
PA4224	PA14_09290	0.7745641439953642	0.0	pchG	most stable
PA0821	PA14_53660	0.5796321449812444	0.0		most stable
PA0911	PA14_52480	0.5893595777504167	0.0	alpE	most stable
PA2091	PA14_37460	0.71206020595077	0.0		most stable
PA4364	PA14_56750	0.2778637016231281	1.98534031897363e-95
PA5530	PA14_72960	0.3025931900357076	1.142488542770943e-113
PA2624	PA14_30180	0.777439059659602	0.0	idh	most stable
PA0742	PA14_54680	0.6020659334153592	0.0		most stable
PA3405	PA14_20040	0.613496651181997	0.0	hasE	most stable
PA1689	PA14_42670	0.7683175459490486	0.0		most stable
PA5009	PA14_66220	0.6935455540988265	0.0	waaP	most stable
PA4185	PA14_09760	0.1297028259786748	1.664867452135958e-21		least stable
PA2982	PA14_25500	0.8427780302212978	0.0		most stable
PA0368	PA14_04840	0.5924434119927534	0.0		most stable
PA3441	PA14_19590	0.3802381359332773	1.3726005102269056e-183
PA3692	PA14_16630	0.7314485802798231	0.0	lptF	most stable
PA3267	PA14_21750	0.4499512872731768	5.311389424881621e-265
PA2498	PA14_32350	0.2266003101246117	2.998139220327394e-63
PA3016	PA14_25050	0.5162018238218019	0.0		most stable
PA3264	PA14_21780	0.6633200739998384	0.0		most stable
PA4891	PA14_64650	0.20541757401519928	4.6350792594147676e-52	ureE
PA1350	PA14_46820	0.831680200482524	0.0		most stable
PA0072	PA14_00850	0.7147636036188889	0.0	tagS1	most stable
PA5511	PA14_72720	0.7205723507391522	0.0	mifR	most stable
PA4150	PA14_10260	0.5674858258368181	0.0		most stable
PA2895	PA14_26610	0.708546696334986	0.0	sbrR	most stable
PA5464	PA14_72110	0.801242305256019	0.0		most stable
PA3596	PA14_17760	0.7047971178264112	0.0		most stable
PA3390	PA14_20250	0.5966045357561557	0.0		most stable
PA4942	PA14_65280	0.7960237122498658	0.0	hflK	most stable
PA1107	PA14_50060	0.6552955017638208	0.0	roeA	most stable
PA2627	PA14_30140	0.7926332485672335	0.0		most stable
PA2114	PA14_37250	0.20910713512424123	6.351779379928818e-54
PA1247	PA14_48100	0.7426992358531386	0.0	aprE	most stable
PA0186	PA14_02360	0.6879878106048551	0.0		most stable
PA5109	PA14_67470	0.7777358653731771	0.0		most stable
PA3402	PA14_20080	0.5389805524940601	0.0		most stable
PA3203	PA14_22770	0.6332327479900336	0.0		most stable
PA5492	PA14_72480	0.5230420903780456	0.0		most stable
PA2888	PA14_26720	0.3106891052482245	4.820430675705082e-120	atuC
PA1178	PA14_49200	0.49056326198841615	5.1e-322	oprH
