PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label
PA14_30730	PA2581	0.7655694980561994	0.0		most stable
PA14_17720	PA3599	0.4589799945351865	5.739863614408129e-277
PA14_09850	PA4179	0.6616537251442433	0.0		most stable
PA14_14610	PA3822	0.8229240884978027	0.0	yajC	most stable
PA14_56280	PA4332	0.4205246234398387	3.175464767388851e-228
PA14_25730	PA2963	0.48414154331092335	1.99698799035e-312
PA14_04440	PA0340	0.8204371143325013	0.0		most stable
PA14_37870	PA2059	0.8674681502012253	0.0	sppB	most stable
PA14_30770	PA2577	0.336471278353881	1.0751359891869078e-141
PA14_10630	PA4123	0.7503995554472099	0.0	hpcC	most stable
PA14_18080	PA3574	0.19281687565073652	5.8713062362312536e-46		least stable
PA14_08950	PA4253	0.8278405712434044	0.0	rplN	most stable
PA14_61870	PA4677	0.6431586509913759	0.0		most stable
PA14_66850	PA5059	0.8063477073021273	0.0		most stable
PA14_56990	PA4384	0.6880807844154277	0.0		most stable
PA14_18670	PA3531	0.5377408472996328	0.0	bfrB	most stable
PA14_73110	PA5544	0.6805308227112211	0.0		most stable
PA14_21240	PA3307	0.7135766784114441	0.0		most stable
PA14_26420	PA2911	0.32944605303666313	1.4080899459403207e-135
PA14_37060	PA2128	0.059462340780664785	1.3532279526016224e-05	cupA1	least stable
PA14_52070	PA0942	0.7325119250467141	0.0		most stable
PA14_23070	PA3183	0.4330884563927113	1.841188825202031e-243	zwf
PA14_43710	PA1608	0.25862279977176056	1.8192328374815402e-82
PA14_62720	PA4741	0.7953523679502127	0.0	rpsO	most stable
PA14_28320	PA2766	0.49837751361562144	0.0
PA14_51430	PA0996	0.5128482183135287	0.0	pqsA	most stable
PA14_00280	PA0024	0.8218732680083313	0.0	hemF	most stable
PA14_00460	PA0037	0.5833104145457222	0.0	trpI	most stable
PA14_50510	PA1075	0.6382219643496074	0.0		most stable
PA14_03210	PA0261	0.5436625928752423	0.0		most stable
PA14_03080	PA0249	0.4698355682905095	6.6765231017540425e-292
PA14_43130	PA1654	0.7308254157448135	0.0		most stable
PA14_67940	PA5144	0.8147668040823429	0.0		most stable
PA14_30750	PA2579	0.2661684998430511	2.044213996090386e-87
PA14_60280	PA4550	0.37692992102158707	3.712104668341249e-180	fimU
PA14_54810	PA0732	0.6253041559604905	0.0		most stable
PA14_57510	PA4426	0.7726343541516709	0.0		most stable
PA14_20630	PA3359	0.7281292210397897	0.0		most stable
PA14_12810	PA3947	0.7934642883277889	0.0		most stable
PA14_46320	PA1400	0.8380496591069517	0.0		most stable
PA14_48200	PA1240	0.1542048069545242	8.101830008513728e-30		least stable
PA14_39320	PA1948	0.6490672960967802	0.0	rbsC	most stable
PA14_34550	PA2325	0.724027647349939	0.0		most stable
PA14_38560	PA2006	0.27153274324941434	4.927547218258716e-91
PA14_72470	PA5491	0.2633560558526468	1.4937534026120187e-85
PA14_67650	PA5123	0.444855774254213	2.4946854290641003e-258
PA14_00660	PA0054	0.5397345124769959	0.0		most stable
PA14_58540	PA4511	0.6833808465935131	0.0		most stable
PA14_64090	PA4846	0.836076582641693	0.0	aroQ1	most stable
PA14_67440	PA5106	0.6571703440684198	0.0		most stable
PA14_28070	PA2786	0.5654361542435538	0.0		most stable
PA14_18060	PA3575	0.11519765618294471	2.8985085289214e-17		least stable
PA14_45560	PA1460	0.3496200841194481	1.3959501149625806e-153	motC
PA14_39850	PA1908	0.8816089583013755	0.0		most stable
PA14_56070	PA4315	0.5303300166123855	0.0	mvaT	most stable
PA14_10670	PA4119	0.6687927634491727	0.0	aph	most stable
PA14_43950	PA1588	0.8369456436343461	0.0	sucC	most stable
PA14_47850	PA1267	0.8703744673414209	0.0		most stable
PA14_60920	PA4604	0.6613129232381756	0.0		most stable
PA14_14100	PA3858	0.8331668820151215	0.0		most stable
PA14_48790	PA1199	0.5951250911635202	0.0		most stable
PA14_65270	PA4941	0.8563011603683844	0.0	hflC	most stable
PA14_29460	PA2680	0.7232269529479152	0.0		most stable
PA14_52640	PA0900	0.7464180354721831	0.0		most stable
PA14_42450	PA1708	0.5841671489044628	0.0	popB	most stable
PA14_27530	PA2825	0.35925839727774517	1.1527040842988712e-162
PA14_10590	PA4127	0.6707404326406415	0.0	hpcG	most stable
PA14_02570	PA0210	0.74872380378079	0.0	mdcC	most stable
PA14_05530	PA0425	0.6450349858788718	0.0	mexA	most stable
PA14_00860	PA0073	0.7342996136595943	0.0		most stable
PA14_36820	PA2146	0.6293049193003986	0.0		most stable
PA14_31850	PA2529	0.550124044747994	0.0		most stable
PA14_01760	PA0143	0.36553465298323584	9.440014871547363e-169	nuh
PA14_47320	PA1308	0.6024016323429664	0.0		most stable
PA14_63650	PA4815	0.7698466851197544	0.0		most stable
PA14_49180	PA1179	0.41998892202300053	1.3714384812739594e-227	phoP
PA14_44030	PA1583	0.8392152739951418	0.0	sdhA	most stable
PA14_69600	PA5271	0.5144302043734951	0.0		most stable
PA14_54270	PA0774	0.8531076254093628	0.0		most stable
PA14_24675	PA3048	0.6714502460736061	0.0		most stable
PA14_58040	PA4471	0.7338939830388427	0.0		most stable
PA14_65880	PA4983	0.5763191157624954	0.0		most stable
PA14_73070	PA5541	0.6719312281491501	0.0	pyrQ	most stable
PA14_38010	PA2049	0.3921659204958397	3.8677305137818936e-196
PA14_35190	PA2272	0.23018389643278633	2.9973010742518527e-65	pbpC
PA14_24410	PA3072	0.720361837512194	0.0		most stable
PA14_13580	PA3891	0.6192492191944334	0.0		most stable
PA14_07520	PA0576	0.7215394811937441	0.0	rpoD	most stable
PA14_15130	PA3784	0.6797087321682994	0.0		most stable
PA14_50330	PA1088	0.48062846642813484	2.6996804537669794e-307
PA14_67640	PA5122	0.5379360731968675	0.0		most stable
PA14_58810	PA4532	0.6166668684112346	0.0		most stable
PA14_61040	PA4613	0.23950989175715495	1.1956682227107613e-70	katB
PA14_46710	PA1359	0.39197398470896117	6.224720215083161e-196
PA14_42770	PA1680	0.1657024834929133	3.1306006429327725e-34		least stable
PA14_09200	PA4232	0.7253735605588859	0.0	ssb	most stable
PA14_70830	PA5367	0.27427637205744204	6.456456362518317e-93	pstA
PA14_14770	PA3811	0.20566176638859004	3.575004940893361e-52	hscB
PA14_57340	PA4412	0.6526858963007756	0.0	murG	most stable
PA14_70420	PA5334	0.8359336849190143	0.0	rph	most stable
PA14_10350	PA4142	0.7363821745326494	0.0		most stable
PA14_51260	PA1011	0.8380034056361012	0.0		most stable
PA14_22910	PA3194	0.44733830130891167	1.529649753317371e-261	edd
PA14_70570	PA5345	0.7661684171648033	0.0	recG	most stable
PA14_54800	PA0733	0.5808568313141813	0.0		most stable
PA14_05290	PA0405	0.6960864384873102	0.0		most stable
PA14_66580	PA5037	0.18392694701448556	6.609377927638069e-42		least stable
PA14_46400	PA1380	0.4482486730629707	9.996470704603964e-263
PA14_54700	PA0740	0.5872705873293115	0.0		most stable
PA14_66800	PA5055	0.49803742855060973	0.0
PA14_23670	PA3127	0.7474080468225611	0.0		most stable
PA14_28220	PA2773	-0.05030029296111679	0.00023329702943950713		least stable
PA14_10280	PA4148	0.5436091408384931	0.0		most stable
PA14_38910	PA1979	0.6643746416949716	0.0		most stable
PA14_68210	PA5164	0.5108060127178655	0.0	rmlC	most stable
PA14_07680	PA0588	0.7315493352050944	0.0		most stable
PA14_57320	PA4410	0.6261228496274641	0.0	ddl	most stable
PA14_51500	PA0989	0.6091391515069042	0.0		most stable
PA14_62930	PA4758	0.8120788022959269	0.0	carA	most stable
PA14_32350	PA2498	0.22654065429852915	3.323008266051125e-63
PA14_16880	PA3671	0.6122149470191823	0.0		most stable
PA14_26080	PA2935	0.6273018368319109	0.0		most stable
PA14_42960	PA1664	0.5877791885566308	0.0	lip2.2	most stable
PA14_55960	PA4307	0.6872125928997427	0.0	pctC	most stable
PA14_44520	PA1541	0.5293583262450631	0.0		most stable
PA14_32360	PA2497	0.49601712460696307	0.0
PA14_50010	PA1112	0.7041656606050889	0.0		most stable
PA14_69130	PA5235	0.7866652660809791	0.0	glpT	most stable
PA14_52330	PA0922	0.6350385490365037	0.0		most stable
PA14_17590	PA3612	0.7513922360255006	0.0		most stable
PA14_48650	PA1210	0.62921140903005	0.0		most stable
PA14_13000	PA3932	0.6582521134710307	0.0		most stable
PA14_51120	PA1020	0.6194870221734678	0.0		most stable
PA14_26150	PA2930	0.3680064602357737	3.4676657933183476e-171
PA14_34440	PA2337	0.40395608880057177	4.2257622649669925e-209	mtlR
PA14_57070	PA4391	0.5368984915842228	0.0		most stable
PA14_32750	PA2465	0.8704910553691754	0.0		most stable
PA14_41840	PA1756	0.39625327504312513	1.424508593203329e-200	cysH
PA14_58070	PA4474	0.3785193795666515	8.747822652480095e-182
PA14_44900	PA1511	0.7123870256091708	0.0		most stable
PA14_38180	PA2037	0.4047747518961039	5.0839737931860613e-210
PA14_30110	PA2629	0.7969557853628271	0.0	purB	most stable
PA14_69060	PA5230	0.5332263824049384	0.0		most stable
PA14_02750	PA0225	0.5577287157335705	0.0		most stable
PA14_59620	PA2222	0.22537329746852316	1.4761130249573215e-62
PA14_23810	PA3116	0.7684556538455333	0.0		most stable
PA14_45850	PA1439	0.23839786700151305	5.4189746293863596e-70
PA14_73300	PA5559	0.7967867688841073	0.0	atpE	most stable
PA14_40050	PA1892	0.31747706967701217	1.5998713223184519e-125
PA14_02410	PA0192	0.6966765085984388	0.0		most stable
PA14_50730	PA1054	0.6341160987688679	0.0	shaF	most stable
PA14_62180	PA4698	0.6200693512492103	0.0		most stable
PA14_17280	PA3638	0.6326472660353147	0.0		most stable
PA14_33510	PA2412	0.6646027874337334	0.0		most stable
PA14_72180	PA5469	0.5890344397583365	0.0		most stable
PA14_14860	PA3804	0.7892072573433329	0.0		most stable
PA14_67240	PA5091	0.7869990561418377	0.0	hutG	most stable
PA14_56430	PA4341	0.6265014118876187	0.0		most stable
PA14_23270	PA3167	0.827764933922617	0.0	serC	most stable
PA14_51830	PA0962	0.4474837438967663	9.89822668855505e-262
PA14_35530	PA2247	0.6384905100708813	0.0	bkdA1	most stable
PA14_20880	PA3338	0.45742382531855313	7.174634629089883e-275
PA14_33440	PA2417	0.5961436361590732	0.0		most stable
PA14_07400	PA0569	0.39554690575505286	8.402280861693448e-200
PA14_09260	PA4227	0.6281141962309515	0.0	pchR	most stable
PA14_67340	PA5099	0.7402633565056098	0.0		most stable
PA14_55230	PA0702	0.8082357503748264	0.0		most stable
PA14_03880	PA0298	0.7394979536219206	0.0	spuB	most stable
PA14_63070	PA4769	0.21508541972989603	5.222804925574929e-57
PA14_28590	PA2748	0.49821041481501416	0.0
PA14_68840	PA5212	0.7361078018291946	0.0		most stable
PA14_64520	PA4880	0.6551759877838931	0.0		most stable
PA14_26310	PA2918	0.7490038175940179	0.0		most stable
PA14_25530	PA2979	0.8040455997432905	0.0	kdsB	most stable
PA14_57910	PA4459	0.63510942793291	0.0		most stable
PA14_13280	PA3914	0.31225901948035284	2.7906799408180367e-121	moeA1
PA14_70140	PA5312	0.6464199603145131	0.0		most stable
PA14_49290	PA1170	0.5640971303284353	0.0		most stable
PA14_03710	PA0284	0.3349436849983982	2.3730498128090975e-140
PA14_14440	PA3834	0.8469121602268612	0.0	valS	most stable
PA14_18040	PA3577	0.5392926481425023	0.0		most stable
PA14_49170	PA1180	0.2553731084265102	2.1954015539428447e-80	phoQ
PA14_73060	PA5540	0.4277838674949211	5.987480278606841e-237
PA14_04250	PA0326	0.728186144529623	0.0		most stable
PA14_53210	PA0855	0.49029919767650326	1.45e-321
PA14_10780	PA4111	0.5667423327384026	0.0		most stable
PA14_23360	PA3160	0.6645583738469344	0.0	wzz	most stable
PA14_41530	PA1781	0.6644981544542596	0.0	nirB	most stable
PA14_49130	PA1183	0.5490633402268189	0.0	dctA	most stable
PA14_60290	PA4552	0.3256971847435861	2.2256504688843363e-132	pilW
PA14_02060	PA0165	0.7709125442717033	0.0		most stable
PA14_68550	PA5189	0.5156494322343694	0.0		most stable
PA14_52980	PA0873	0.5836420479590497	0.0	phhR	most stable
PA14_25180	PA3006	0.5237942086867365	0.0	psrA	most stable
PA14_40620	PA1848	0.5690916864760726	0.0		most stable
PA14_10750	PA4113	0.7645255177586563	0.0		most stable
PA14_19940	PA3414	0.5660503212137008	0.0		most stable
PA14_58690	PA4523	0.7385461039307185	0.0		most stable
PA14_48780	PA1200	0.5350847253795107	0.0		most stable
PA14_00010	PA0001	0.7955953461157116	0.0	dnaA	most stable
PA14_57560	PA4430	0.8105099888423076	0.0		most stable
PA14_69000	PA5224	0.817738646690762	0.0	pepP	most stable
PA14_18320	PA3557	0.10835568612001907	1.9324637978326397e-15		least stable
PA14_13710	PA3881	0.25509919826521	3.2779726418872064e-80
PA14_53780	PA0811	0.7307974443873608	0.0		most stable
PA14_30330	PA2612	0.8004636894636651	0.0	serS	most stable
PA14_06600	PA0506	0.5931069562810594	0.0		most stable
PA14_60230	PA4545	0.8494726274716682	0.0	comL	most stable
PA14_18830	PA3517	0.39088816642098656	9.13411370702283e-195
PA14_41610	PA1774	0.35720432565672045	1.0571389675695093e-160
PA14_27900	PA2802	0.5554240778682321	0.0		most stable
PA14_39810	PA1911	0.7026288029924389	0.0		most stable
PA14_33580	PA2405	0.5653631233697001	0.0		most stable
PA14_17620	PA3609	0.675189879398212	0.0	potC	most stable
PA14_67740	PA5129	0.8571351763797279	0.0	grx	most stable
PA14_03770	PA0288	0.8071064397360447	0.0	speB1	most stable
PA14_21140	PA3316	-0.4807017787298163	2.112756619926359e-307		least stable
PA14_60650	PA4583	0.22427298738587303	5.972360542670407e-62
PA14_42230	PA1726	0.7437768955595688	0.0	bglX	most stable
PA14_51290	PA1008	0.666358221327562	0.0	bcp	most stable
PA14_06060	PA0463	0.7468480380662815	0.0	creB	most stable
PA14_04950	PA0378	0.782925376030965	0.0	mtgA	most stable
PA14_21730	PA3268	0.8245807268499032	0.0		most stable
PA14_11310	PA4064	0.3466706125467327	7.268184761945393e-151
PA14_51900	PA0956	0.8042559097055533	0.0	proS	most stable
PA14_49070	PA1188	0.8041163555711954	0.0		most stable
PA14_14390	PA3836	0.8099897567138555	0.0		most stable
PA14_00210	PA0020	0.8529022407163894	0.0		most stable
PA14_68510	PA5187	0.6804228397866103	0.0		most stable
PA14_32500	PA2484	0.3720084970927239	3.564495332513389e-175
PA14_62900	PA4755	0.8018658337533533	0.0	greA	most stable
PA14_26750	PA2886	0.22894088002125065	1.5080964422027438e-64
PA14_25760	PA2961	0.6931049707635416	0.0	holB	most stable
PA14_43650	PA1613	0.6676299484680485	0.0		most stable
PA14_40020	PA1895	0.45799791555322317	1.2119808565539732e-275
PA14_53040	PA0867	0.49544600864906363	0.0
PA14_33910	PA2377	0.5286476332314822	0.0		most stable
PA14_23190	PA3174	0.44296821498289995	6.633035688851137e-256
PA14_19650	PA3436	0.6328280352323724	0.0		most stable
PA14_28310	PA2767	0.6889852485800374	0.0		most stable
PA14_18550	PA3542	0.5960853310236224	0.0	alg44	most stable
PA14_73140	PA5546	0.544423943423235	0.0		most stable
PA14_24020	PA3101	0.6828455968167825	0.0	xcpT	most stable
PA14_16250	PA3724	0.7680192391348157	0.0	lasB	most stable
PA14_72380	PA5483	0.36584682306679467	4.6627556458762825e-169	algB
PA14_32770	PA2464	0.567643323809613	0.0		most stable
PA14_57200	PA4401	0.5724408086879599	0.0		most stable
PA14_58440	PA4503	0.5115171092118305	0.0	dppB	most stable
PA14_08720	PA4274	0.836985409881749	0.0	rplK	most stable
PA14_08010	PA0616	0.608313600104684	0.0		most stable
PA14_40780	PA1837	0.402292498255578	3.0680547279343005e-207
